"encriptado"	"seg_gol"	"sex_enc"	"p3 pensando en su cuenta empresa, en general, con escala 1 a 7, donde 1 = muy insatisfecho y 7 = muy satisfecho, ¿cuán satisfecho está usted con entel?"	"p4 ¿por qué evalúa con esa nota?"	"fecha_stock"
"2968"	"CoVqFIOml3ub"	"MP"	"Hombre"	"5"	"PORQUE LOS PLANES DE MANUTENCIÓN O CAMBIOS DE SERVICIO SON MUY COPURAMICHOS."	"2020_q2"
"2969"	"KV0Ns7fxxK5G"	"Mas"	"Hombre"	"5"	"PORQUE TIENE RESTRICCIONES NO ESTOY SATISFECHO NO SON CAPACES DE ENTREGARME UN IT  FIJO"	"2020_q2"
"2970"	"zvriz0uHAupK"	"AV"	"Hombre"	"3"	"PORQUE MAL SERVICIO DE CONECTIVIDAD. NO ENTREGA LA  VELOCIDAD QUE CORRESPONDE, SE CAE EL SERVICIO, NO ES CONSTANTE."	"2020_q2"
"2971"	"HUey8yj75FCY"	"Mas"	"Mujer"	"7. Muy satisfecho"	"PORQUE NUNCA HE TENIDO PROBLEMAS CON ENTEL, LA VERDAD ESTOY SATISFECHA NO HE TENIDO MAYORES PROBLEMAS CON ELLOS NI CON LA PAGINA, SOLO ESO."	"2020_q2"
"2972"	"679YHWeybt1s"	"Mas"	"Hombre"	"6"	"PORQUE ES CASI PERFECTO FALLA UN POCO"	"2020_q2"
"2973"	"gk708P0opkAz"	"MV"	"Hombre"	"5"	"POR SU POST VENTA, NO TIENEN BUENAS RESPUESTA SON MUY BUROCRATICOS, TENGO UN PROBLEMA QUE QUIERO CANCELAR UN SERVICIO Y NO HE PODIDO POR CULPA DE ELLOS, POR ERROR INTERNO DE ELLOS, EL INTERNET ES SUPER BUENO."	"2020_q2"
"2974"	"7wbuK458zFt6"	"AV"	"Hombre"	"7. Muy satisfecho"	"Nunca he tenido problemas, siempre me atienen los requerimientos."	"2020_q2"
"2975"	"4m4WELjRDFPp"	"Mas"	"Hombre"	"6"	"POR QUE UN 7 SOLO LO TIENE PARA DIOS, SOLO POR ESO."	"2020_q2"
"2976"	"gUwUoqwpwMwU"	"Mas"	"Hombre"	"5"	"PORQUE TIENE PROBLEMA POST VENTA LA TELEFONIA FIJA, PROBLEMA DE CONECTIVIDAD NUMEROS BLOQUEADOS, DE RESOLVER ESO, SOLO ESO."	"2020_q2"
"2977"	"XzSG5qqroBB1"	"Mas"	"Hombre"	"6"	"PORQUE CUMPLE CON LO QUE NOSOTROS ESTÁBAMOS CONTRATANDO GENERALMENTE; EN VELOCIDAD, EN FUNCIONALIDAD, EN SEÑAL, EN ESO."	"2020_q2"
"2978"	"Jerdpp0MhIUz"	"AP"	"Hombre"	"7. Muy satisfecho"	"CONTINUIDAD EN EL SERVICIO A LA ESTABILIDAD EN QUE NOS DA SEGURIDAD DE MANTENER SIEMPRE EL SERVICIO CON ESTA COMPAÑÍA PORQUE ES UN SERVICIO ESTABLE QUE NO TIENE INTERMITENCIA Y QUE TIENE UN BUEN SOPORTE. BUENA ATENCIÓN DEL PUNTO DE VISTA COMERCIAL Y TÉCNICO."	"2020_q2"
"2979"	"sRhuHw5PtKq2"	"Mas"	"Hombre"	"2"	"por el internet es pesimo se cae a cada rato es muy mala  llamo a telefonica y otra empresas pero no llegan a donde esta usted"	"2020_q2"
"2980"	"j6Ei3xIxxCaV"	"AV"	"Mujer"	"5"	"CREO QUE EL SERVICIO DE POST VENTA DE ENTEL ES MALO.LOS TIEMPOS DE RESPUESTA ES LENTO."	"2020_q2"
"2981"	"CoPiYa23GfVT"	"Mas"	"Hombre"	"5"	"COMUNICACION Y EL INTERNET FALLA, COMUNICACION CON LOS OPERADORES DE ENTEL ES NEFASTO, Y EL SERVICIO DE INTERNET ES PESIMO."	"2020_q2"
"2982"	"1IgnJgBlEDHl"	"AV"	"Hombre"	"6"	"LO EVALÚO PORQUE TODAVÍA LE FALTA PARA TENER EL 7 CON ALGUNOS REQUERIMIENTOS QUE SE PIDEN, SOBRETODO CUANDO TENEMOS FALLAS CON LOS SERVICIO, LA RESPUESTA DEBERÍA SER UN POCO MÁS RAPIDA, LA CONEXIÓN CON EL EJECUTIVO CON LAS PERSONAS DIGAMOS QUE ESTAN."	"2020_q2"
"2983"	"XL1RKaTD8X11"	"AV"	"Mujer"	"7. Muy satisfecho"	"PORQUE EL SERVICIO ES EXCELENTE, NO TENEMOS CAIDAS DE SISTEMA, SIEMPRE ESTA CON COBERTURA DESDE DONDE NOS ENCONTREMOS, PODEMOS CAMBIAR NUESTROS EQUIPOS, LA ATENCION TECNICA RESUELVE LOS PROBLEMAS QUE POCOS HAY, Y SON RAPIDOS EN SUS RESPUESTAS, SOLO ESO."	"2020_q2"
"2984"	"XCrh9BPBdxPN"	"AP"	"Hombre"	"6"	"PORQUE EL 7 NO EXISTE PARA MI. PORQUE PARA MI EL 7 ES EXCELENTE, O SEA MUY BUENO, YO CREO QUE ES BUENO ENTEL EL SERVICIO QUE HE TENIDO; HASTA EL MUCHO ES MUY PREOCUPADO EL QUE ME ESTA ATENDIENDO, ME MANDA CORREOS, ME INFORMA DE TARIFAS NUEVAS, DE DESCUENTOS Y NUEVOS PLANES Y NUEVAS MODALIDADES DE LO MISMO DE INTERNET Y TELEFONÍA."	"2020_q2"
"2985"	"gjvnm0VvxCFP"	"Mas"	"Mujer"	"6"	"NO EXISTE LA PERFECCION SOLO POR ESO."	"2020_q2"
"2986"	"BoQ4ACtMgLlh"	"MV"	"Hombre"	"7. Muy satisfecho"	"PORQUE NUNCA HE TENIDO PROBLEMAS CON ELLOS,SERVCIO A SIDO NORMAL PAREJO BUENO"	"2020_q2"
"2987"	"UCUuSUVLNpal"	"Mas"	"Mujer"	"6"	"PORQUE  IGUAL SE CAE NO HAY INTERNET O QUE MUERE EL TELEFONO UNA VEZ AL MES EL SISTEMA  HAY QUE REINICIARLO Y LLAMAR PARA SOLUCIONAR EL PROBLEMA"	"2020_q2"
"2988"	"T8dMCL7zhiqN"	"AV"	"Hombre"	"7. Muy satisfecho"	"PORQUE ES LA MEJOR CONPAÑIA QUE LLEGA A MI SECTOR TODO LO QUE  NECESITAMOS POR SU CONECTIVIDAS Y SERVICIO NO SON BUROCARTICOS."	"2020_q2"
"2989"	"wa2LAnGm92uu"	"AV"	"Hombre"	"6"	"MUY BUENA, PERO TAMBIÉN TIENE SUS PROBLEMAS, QUE AHORA ESTOY PIDIENDO UN TRASLADO Y SE HAN DEMORADO MUCHO EN HACER EL TRASLADO ENTONCES POR ESO ESTOY UN POCO MOLESTO."	"2020_q2"
"2990"	"Ow5YRh8uEUHK"	"Mas"	"Mujer"	"7. Muy satisfecho"	"NO HA TENIDO PROBLEMAS DE CONECTIVIDAD."	"2020_q2"
"2991"	"IzGTORYJPABm"	"MP"	"Hombre"	"6"	"A VECES HAY UNA LENTA RESPUESTA  EN REPOSICION DEL SERVICIO"	"2020_q2"
"2992"	"fSnArC3LzCcH"	"Mas"	"Hombre"	"5"	"PORQUE TENGO UN PROBLEMA CON LA FIBRA ÓPTICA. CADA 3 O 4 MESES DE ME DESCONECTA LA FIBRA. NO SE SI TIENE QUE VER DONDE LA CONECTAN ES DECIR EL LUGAR DONDE LO CONECTAN PORQUE CADA CIERTO TIEMPO TENGO PROBLEMAS CON ESO Y LLAMO Y YA SE LA RESPUESTA QUE ME VAN A DAR."	"2020_q2"
"2993"	"8sbmgLlNP4fo"	"AV"	"Hombre"	"7. Muy satisfecho"	"POR SU CALIDAD DE ATENCION,POR SU COMPROMISO EN ENTREGAR UN BUEN SERVICIO"	"2020_q2"
"2994"	"OVoXQGsPfBlP"	"Mas"	"Hombre"	"5"	"el soporte tecnico no a sido muy buena LO QUE PASA ES QUE ME CREE UN SERVICIO DE OTRA CAMPAÑIA QUE YO YA TENIA A ENTEL UTILIZANDO EQUIPOS QUE YO YA TENIA Y ENTEL ME DEJO EL PROBLEMA DE LOS EQUIPOS A MI EN LUGAR DE HACERSE CARGO."	"2020_q2"
"2995"	"STLNKzzWaiBs"	"Mas"	"Hombre"	"5"	"con el servicio no tendgo problema, lo unico es que  no puede montar un ancho banda en la empresa."	"2020_q2"
"2996"	"qKZoPMNEIzz0"	"MP"	"Hombre"	"6"	"IGUAL TIENE PROBLEMAS, SE CAE EL INTENET, NO INFORMAN BIEN LOS PLANES, CAMBIAN DE VALOR DE PLANES Y NUNCA LO INFORMAN Y COBRAN EL VALOR DEL PLAN QUE UNO CONTRATO, EL MAS CARO."	"2020_q2"
"2997"	"L9bIINbZ3Bn0"	"Mas"	"Hombre"	"5"	"EL 7 DE DIOS, EL 6 ES MIO, EL 5 ES DE ENTEL, SERVICIO NO ES PERFECTO"	"2020_q2"
"2998"	"v8GpzktezIVK"	"Mas"	"Hombre"	"5"	"MUCHOS PROBLEMAS CON SERVICIO DE INTERNET. APLICABAN MI N DE USUARIO QUE SE DUPLICABA Y SE BLOQUEABA INTERNET."	"2020_q2"
"2999"	"WP3tTSTA07XE"	"MV"	"Hombre"	"4"	"porque cuando uno incia el sistema maravilloso cuando uno lo llama si tengo problema de conexion se tardan en responder"	"2020_q2"
"3000"	"rWpkYRg5PzpK"	"AP"	"Hombre"	"4"	"ENCUENTRA QUE ES CARO Y POCA COMUNICACION CON ELLOS, NO HACEN PROMOCIONES SI NO LOS LLAMAN NO SE COMUNICAN CON USTED"	"2020_q2"
"3001"	"ijmzaMK3LJ4y"	"Mas"	"Hombre"	"6"	"PORQUE EN GENERAL FUNCIONA MUY BIEN EL EDIFICIO QUE TENEMOS ES CABLEADO PERO IGUAL ES POCO FRECUENTE LAS FALLAS FUNCIONA BIEN EN GENERAL"	"2020_q2"
"3002"	"n5IRWHrOdBWI"	"AV"	"Hombre"	"5"	"ESTAMOS PIDIENDO UNA FACTIBILIDAD PARA AUMENTAR EL TRAFICO LA CUOTA ASIGNADA DE BANDA ANCHA Y NO ME HAN DADO RESPUESTA DE LA SOLICITUD"	"2020_q2"
"3003"	"DTljwLy9ZKJ3"	"MP"	"Mujer"	"1. Muy insatisfecho"	"Porque cuando un necesita el servico nunca hay con quien comunicarse, en tiempo de pandenmia sirgieron cobra igual la oficina estuvo cerrada, pero siguieron cobrando, se cae el inernet, se cae al telefono, el servicio no esta fucionando."	"2020_q2"
"3004"	"qxsQR28j0mCy"	"Mas"	"Hombre"	"4"	"porque he tienido problemas en las celuare las lineas caidas solo banda ancha."	"2020_q2"
"3005"	"Gta0ctMJGom1"	"AV"	"Mujer"	"6"	"es un buen servicio, no hay problemas en la comunicación. Hay una falla en la realización de los pagos, y la actualización de los pagos, y problemas comerciales, en cuanto al internet no hay problema."	"2020_q2"
"3006"	"PiaK6fqjaXPf"	"Mas"	"Hombre"	"5"	"ES BUENO EL INTERNET PERO A VECES NO ES TAN RAPIDO."	"2020_q2"
"3007"	"fe3YROxW3Hit"	"AP"	"Hombre"	"5"	"HAN TENIDO FALLAS, SIN INTERNET EN OFICINA Y EN CUANTO A TELEFONIA SIN PROBLEMAS"	"2020_q2"
"3008"	"AVALGT1uoWKk"	"AV"	"Hombre"	"7. Muy satisfecho"	"PORQUE EL SERVICIO PARA UNO SOLICITAR ALGO TE RESPONDEN RAPIDAMENTE SIEMPRE ESTAN EN FRECUENTE CONTACTO EN GENERAL NO HEMOS TENIDO PROBLEMAS CON ENTEL EL SOPORTE ES MUY BUENO"	"2020_q2"
"3009"	"at1ePFNVlxiI"	"Mas"	"Hombre"	"6"	"POR EL TEMA DE PRECIO , NO HE TENIDO NINGUN PROBLEMA CON ELLOS"	"2020_q2"
"3010"	"WEmovs7JyKmz"	"Mas"	"Hombre"	"7. Muy satisfecho"	"PORQUE SIEMPRE HE TENIDO BUENA RELACIÓN NO HE TENIDO NUNCA UN PROBLEMA CON ENTEL JAMÁS, HA SIDO LO MEJOR COMPARANDO POR EJEMPLO CON CLARO QUE ES UNA MUGRE"	"2020_q2"
"3011"	"yBHg3qrwSmvm"	"Mas"	"Hombre"	"1. Muy insatisfecho"	"PORQUE ES IMPOSIBLE COMUNICARSE CON UN EJECUTIVO EN ENTEL SOBRE TODO EN ÉPOCA DE PANDEMÍA; A UNO LE PIDEN UNA CLAVE, PERO ELLOS TIENEN MALOS MIS DATOS ENTONCES YO SOLICITO LA CLAVE Y ME LO MANDAN A OTRO CORREO QUE NO ES EL MÍO, NO SE DE DONDE LO SACAN, ENTONCES NO PUEDO SUSCRIBIR NINGÚN SERVICIO, NO PUEDO PRESENTAR NINGÚN RECLAMO, NO PUEDO IR A NINGUNA SUCURSAL PORQUE ACÁ EN CONCEPCIÓN DONDE YO VIVO Y NO ME PUEDEN ATENDER TAMPOCO PORQUE ESTA TODO CERRADO, ENTONCES ENTEL ME HA PARECIDO PÉSIMO, MUY MUY MALO, SE LO HE HECHO SABER Y NO ME TIENEN NINGUNA RESPUESTA Y LA VERDAD QUE COMO OPERADORES SON REALMENTE MALO, O SEA APENAS YO PUEDA CAMBIARME ME VOY A CAMBIAR."	"2020_q2"
"3012"	"nGNNMQIJVQpd"	"Mas"	"Hombre"	"3"	"Porque hemos tenido dificultades para pagar, no es muy facil de usar quisimos cortar el servicio de telefonia fija, y no fue facil tambien hubo que llamar que hablar con muchas personas, lo que nos ofrecen muchos servicios que no hemos tomado, es dificil hubicar a la persona de la empresa entel, para que nos resuelva el tema nos llaman muchos vendedores externos que no pueden resolver el tema, y cuando hemos mandado correo a las personas que nos dicen que son la que pueden resolver no obtenemos respuesta satisfactoria, en una oportunidad tuvimos suerte y contantamos a alguien que nos mando a otra persona, y a otra, y asi contactamos a algui que si nos elimino ese tema de telefonia fija, que no queriamos seguir usando, tambien hubo una poca claridad en el momento que nos dieron el servicio de telefonia fija, que no queriamos contratarlo pero no dijeron no si este servicio va gratis claro que iba sin cobro por los primeros meses, pero despues si lo empezaron a cobrar entonces nos sentimos estafados, cuando no nos trasmitieron exactamente como eran las condiciones, entoces pues despue tratamos de suspenderlo y creo que se logro esa gestion la hicimos hace un tiempo."	"2020_q2"
"3013"	"gvfl1THhrIHg"	"MV"	"Mujer"	"4"	"PORQUE DE REPENTE LOS SERVICIOS SE HAN CORTADO SIN NIIGUN TIPO DE AVIS HAN HECHO COBROS INDEBIDOS QUE EN EL FONDO HEMOS TENIDO QUE IR A LA SUBTEL PARA INGRESAR RECLAMOS Y DEVOLUCION DE DINERO PORQUE TAMBIEN TENEMOS CELULARES QUE NO TIENE NINGUN TIPO DE FIDELIDAD CON EL CLIENTE QUE NOSOTROS LLEVAMOS AÑOS EN LA EMPRESA  Y NOS HACEN COBROS EXCESIVOS IGUAL Y EL TEMA DE LOS COBROS INDEBIDOS DA LO MISMO ENTONCES ENCUENTRO QUE NO SON MUY FIELES Y SON LOS QUE MEJOR TE PROPORCIONA EL TEMA DE LA PORTABILIDAD PORQUE HAY SEÑAL EN TODAS PARTES Y POR ESO EXISTE ESE ABUSO"	"2020_q2"
"3014"	"LaN0AqAspEDQ"	"Mas"	"Hombre"	"5"	"PORQUE HA TENIDO DESVALENCIAS EL SERVICIO, PROBLEMAS EN BANDA ANCHA, INESTABLE. TUVO QUE CAMBIAR ROUTER Y TIENE QUE VER CON CABLE CON PROBLEMAS. BUEN SOPORTE POR SER EMPRESAS ATENCION DIFERENCIADA"	"2020_q2"
"3015"	"u7lB06bm17p2"	"MP"	"Mujer"	"5"	"PORQUE SE DEMORAN MUCHO EN DAR RESPUESTA A LAS SOLICITUDES EN MAL SERVICIO TÉCNICO Y NO ÁREA COMERCIAL."	"2020_q2"
"3016"	"I9lPo8XPgQUV"	"AV"	"Mujer"	"7. Muy satisfecho"	"PORQUE CUANDO UNO NECESITA UN REQUERIMIENTOS EN LA PARTE DE FACTURACION SE DEMORA MUCHO,CON EL TEMA DE LA PANDEMIA ENTEL NO NOS DIO UNA SOLUCION CON EL TEMA DE TELETRABAJO OSEA TUBIMOS QUE SEGUIR PAGANDO LA FACTURA COMPLETA Y AHORA QUE ME ACEPTARON EL RECLAMO EN 3 MESES MAS SE ME VA A VER REFLEJADO EN LA BOLETA,  EL RECLAMO LO HICE POR TELEFONO HACE COMO 2 MESES ATRAS Y YA ME PASO AL EJECUTIVO Y ME DIJO DE QUE TODAVIA HAY UN PROBLEMA  PORQUE UN NUMERO NO CORRESPONDIA, NO LE ENTENDI BIEN"	"2020_q2"
"3017"	"EpiaJxYbr7hq"	"Mas"	"Hombre"	"7. Muy satisfecho"	"PORQUE DESDE QUE ESTAMOS CON EL SERVICIO NO HEMOS TENIDO PROBLEMAS, COMO CALIDAD TECNICA, SOLO ESO."	"2020_q2"
"3018"	"IBu0leIP8keN"	"MP"	"Hombre"	"5"	"PORQUE ELLOS NO TIENEN LA FACTIBILIDAD TECNICA PARA DARME UN MEJOR SERVICIO, EN EL EDIFICIO ME LLEGA CON FIBRA SOLAMENTE CON COBRE ENTONCES NO ES LA OPTIMA, DE HECHO USO ESTE INTERNET SOLO COMO RESPALDO NO COMO PRINCIPAL, SOLO ESO."	"2020_q2"
"3019"	"POx42oisvQeO"	"Mas"	"Hombre"	"6"	"PORQUE 7 ES PERFECTO SI FUERA PERFECTO DARIA 7 TIENE SUS COSAS QUE NO ALCANZAN AL 7"	"2020_q2"
"3020"	"hQFjSmCYEihe"	"Mas"	"Hombre"	"6"	"PORQUE SI, SE HAN PORTADO BIEN, HA FUNCIONADO BIEN, RELATIVAMENTE TODO BIEN CON NOSOTROS, LO QUE PASA ES QUE YA HABÍAMOS TENIDO EXPERIENCIA ANTERIORES CON OTRAS COMPAÑÍAS PERO NO FUNCIONAN."	"2020_q2"
"3021"	"EkF34jocVLB9"	"Mas"	"Hombre"	"5"	"PORQUE NORMALMENTE CUANDO VENDEN EL SERVICIO ATIENDEN BIEN Y EN EL FUTURO CUANDO UNO NECESITA LA ATENCION ES DIFICIL QUE LO ORIENTEN EL PLAN MIO ESTA OBSOLETO PLANES NUEVOS MAS ECONONOMICOS Y MAS EFIICIENTES"	"2020_q2"
"3022"	"N3YADEIIsTt9"	"AV"	"Mujer"	"5"	"PORQUE ELLOS NO SON UNA EMPRESA PROACTIVA, NUNCA OFRECEN PROMOCIONES QUE HAY, MUY POCO Y TAMPOCO TENGO MUCHO CONTACTO CON EL EJECUTIVO Y CUANDO LO HE NECESITADO NO HE TENIDO UNA RESPUESTA SATISFACTORIA."	"2020_q2"
"3023"	"G2DTnp5wYZoz"	"Mas"	"Hombre"	"7. Muy satisfecho"	"porque no he tenido ningún problema"	"2020_q2"
"3024"	"AEmlhF6uv7Mb"	"AV"	"Hombre"	"2"	"PORQUE SOLICITE BAJA DEL PRODUCTO EN PANDEMIA PORQUE CERREO OFICNA Y TENGO QUE SEGIR PAGANDO POR TRES MESES MAS EL COSTO DE SALIDA ES CASI DE 5 MILLONES"	"2020_q2"
"3025"	"KGZRRJ0FVeNA"	"AV"	"Hombre"	"6"	"PORQUE HEMOS TENIDO UN EXCELENTE SERVICIO PERO SIEMPRE SE PUEDE MEJORAR, NO HEMOS TENIDO NINGUN PROBLEMA NO SLLCUC"	"2020_q2"
"3026"	"i9nBHhWUQFBe"	"Mas"	"Mujer"	"5"	"SE CAE MUCHO EL INTERNET, A VECES NO FUNCIONABA, A LAS 3PM HABIA UNA BAJA Y A ESA HORA ERA DONDE REALIZABAMOS MAYOR ACTIVIDAD, APARTE HICIMOS SUSPENCION DEL SERVICIO Y SE LO SIGUIERON COBRANDO."	"2020_q2"
"3027"	"lnIGkHOV0qRU"	"MV"	"Mujer"	"6"	"PORQUE ES UN BUEN SERVICIO A EXCEPCIÓN QUE A VECES POR ALGÚN TEMA TÉCNICO SE HA CORTADO Y HAN TENIDO QUE REPARAR; SON POCAS LAS VECES, PERO HA OCURRIDO. ES UN BUEN SERVICIO A VELOCIDAD, CONECTIVIDAD Y TODO."	"2020_q2"
"3028"	"Nejil8o9D9aR"	"AP"	"Mujer"	"6"	"PORQUE LA CONEXIÓN FIJA DE INTERNET ES MUY FRÁGIL EL SISTEMA QUE DEPENDE DE UNA ANTENA QUE TIENE EL SUMINISTRO ELÉCTRICO EN BASE A PANELES DE CELDA FOTOVOLTAÍCA Y UNA BATERIA Y ESO FRECUENTEMENTE SUFREN ROBOS O HURTOS Y NOS QUEDAMOS SIN SERVICIO Y DEMORA BASTANTE, MAS DE 24 HORAS EN PODER REPONER EL SERVICIO Y CUANDO TENEMOS FUERTES VIENTOS TAMBIÉN SE TIENDE A CAER EL SISTEMA. INTERNET NOSOTROS LO TENEMOS CON UN SISTEMA QUE NO SE COMO LLAMAN TÉCNICAMENTE USTEDES, COMO UN BAND, UNA ANTENA BLANCA CHIQUITA QUE APUNTA HACÍA UNA ANTENA ARRIBA A UN CERRO, ESA ES LA ÚNICA DISPONIBILIDAD QUE TENEMOS PARA LA LOCALIDAD DONDE ESTAMOS, NO HAY OTRA POSIBILIDAD POR LO TANTO ES UNA CONEXIÓN DEDICADA NUESTRA."	"2020_q2"
"3029"	"a0IJ4qQGHNqF"	"Mas"	"Hombre"	"7. Muy satisfecho"	"PORQUE EL SERVICIO HA SIDO BUENO, SON RAPIDOS, LA FAC ES CLARITA, LA SUGERENCIA SON RAPIDO, RAPIDAS LAS SOLICITUDES, RAPIDA EN LAS RESPUESTA. ES FACIL ACCEDER A ELLOS"	"2020_q2"
"3030"	"BOluCMEaUVEb"	"Mas"	"Hombre"	"6"	"PORQUE HAY VECES QUE SE CAE, SE ME CAE EL INTERNET."	"2020_q2"
"3031"	"lYIIYJWCcgaI"	"Mas"	"Hombre"	"5"	"PORQUE EL 5 G ES PEOR QUE EL 3 G,LA CONECTIVIDAD"	"2020_q2"
"3032"	"S8kZPIIv13uc"	"Mas"	"Hombre"	"4"	"PORQUE ES CARO PARA LO QUE MEDAN, ME COBRAN 40 LUCAS Y TENGO UN INTERNET QUE NO ES BUENO"	"2020_q2"
"3033"	"bBM7zHdp4o7b"	"Mas"	"Hombre"	"6"	"PORQUE SIEMPRE LAS EMPRESAS PUEDEN MEJORAR POR EJEMPLO NO ME HA OFRECIDO NUEVAS PROMOCIONES DESPUES DEL TIMEPO QUE LLEVO CONTRADO LE FALTA FIDELIZACION DEL CLIENTE"	"2020_q2"
"3034"	"XppJhkpwiUSA"	"Mas"	"Hombre"	"6"	"PORQUE ETPY SATISFECHO Y QUEDAN DETALLES PARA SATISFACCION TOTAL, HA TENIDO CAIDA DE SERVICIO QUE LO HAN DEJADO SIN PODER OPERAR"	"2020_q2"
"3035"	"2qTjdqFlRH3s"	"Mas"	"Mujer"	"7. Muy satisfecho"	"por que no ha tenido problemas y cuando ha tenido algun problema solucionan rapido y lo intalaron bine"	"2020_q2"
"3036"	"Vp2rg4uKkZuT"	"AV"	"Hombre"	"6"	"PORQUE EN EL ENLACE DE FIBRA OPTICA NO TENGO NINGUN PROBLEMA.HAN ATENDIDO LAS EMERGENCIAS RAPIDO.HAN RESPONDIDO RAPIDO. HA SIDO BUENO EN ESE SENTIDO EL SERVICIO."	"2020_q2"
"3037"	"VRXHLTz3T8hV"	"MP"	"Hombre"	"3"	"MAL SERVICIO, CORTE FIBRA OPTICA DIA POR MEDIO, SE CAE LA SEÑAL"	"2020_q2"
"3038"	"CkaE01ZdhkDj"	"Mas"	"Hombre"	"1. Muy insatisfecho"	"PORQUE TENGO PROBLEMA CON INTERNET Y CON EL CABLE, MUCHA INTERMITENCIA, SE CORTA LA SEÑAL, TENGO QUE LLAMAR A SERVICIO TECNICO Y PASAN COMO 30 DIAS, YO LO ARREGLO CON TANTAS VECES QUE HAN VENIDO, LE COBRAN MAS DE LO QUE DICE EL CONTRATO, LO TENGO HACE COMO 3 AÑOS Y EL CHICO QUE ME VENDIO EL SERVICIO ME DIJO QUE IBAN A SER 34 O 35 FIJO Y ME LO SUBIERON A 46."	"2020_q2"
"3039"	"BtPe9tyDf0Zx"	"AV"	"Hombre"	"6"	"PORQUE EL SERVICIO EN GENERAL FUNCIONA BIEN; SI ABARCAMOS EL ÁREA TÉCINA COMO PRODUCTO POR LO MENOS CONSIDERO QUE HA SIDO ESTABALE, HA TENIDO POCAS FALLAS SI LO VEMOS EN ESE ÁMITO. EL ÁREA COMERCIAL ES VARIABLE PORQUE VARÍA MUCHO EL TEMA DE EJECUTIVO Y ESA CUESTIÓN SIEMPRE YO LA CRITICO."	"2020_q2"
"3040"	"evEDHUpb3Uwx"	"MV"	"Mujer"	"3"	"PORQUE FUNCIONA TODO A MEDIAS, LA INTERNET DE LA OFICINA ES DE FIBRA OPTICA IBA A TENER UN MEJOR ALCANCE Y NO ES ASI SIMPLEMENTE NO FUNCIONA, ESTAMOS HACE MUCHO RATO, NOS VIVEN CAMBIANDO EL EJECUTIVO NO TENGO A DONDE DIRIGIRME CUANDO SOLICITAMOS ALGO, SIEMPRE LO CAMBIAN NUNCA ME SOLUCIONAN NADA NUNCA LOS UBICO"	"2020_q2"
"3041"	"IWHD8nmNTvhV"	"Mas"	"Hombre"	"6"	"PORQUE NO ES ANDA PERFECTODA, ASTENCIA COMECIAL CUANDO ERA PRESENCIAL NO ES MAYOR EXPERECIA"	"2020_q2"
"3042"	"TP9CQuKCZWJC"	"MV"	"Mujer"	"5"	"PORQUE CONSTANTEMENTE SE ME BAJA EL SERVICIO Y TENGO QUE ESTAR LLAMANDO POR TELEFONO Y TENGO QUE ESPERAR QUE VAYA UN TECNICO Y LO VEA."	"2020_q2"
"3043"	"uMseEHBdYE5S"	"MP"	"Hombre"	"1. Muy insatisfecho"	"SE CAE EL SERVICIO, NO ESTA FUNCIONANDO EN ESTOS MOMENTOS EL DE ESTACION CENTRAL"	"2020_q2"
"3044"	"ZIu3YMLs7n3Y"	"Mas"	"Hombre"	"7. Muy satisfecho"	"TIENE UN BUEN SERVICIO, NO FALLA Y LAS POCAS VECES QUE HE TENIDO QUE CONTACTARME CON ALGÚN EJECUTIVO, ME RESPONDEN RÁPIDAMENTE. TIENE UN BUEN SERVICIO EN CONECTIVIDAD, SERVICIO AL CLIENTE, CLARIDAD DE LA BOLETA, LO QUE CONTRATÉ SE CUMPLE EN CUANTO A LA VELOCIDAD, POR EJEMPLO."	"2020_q2"
"3045"	"XFf8M7XTf4Nq"	"AV"	"Hombre"	"7. Muy satisfecho"	"NUNCA HE TENIDO PROBLEMAS CON ENTEL"	"2020_q2"
"3046"	"gc9ExY9PIlNA"	"Mas"	"Hombre"	"6"	"PORQUE ES BUENO; ES ESTABLE, EL PRECIO ES RAZONABLE Y LA POST VENTA ES RÁIDA, PERO LA VELOCIDAD PODRÍA SER MEJOR."	"2020_q2"
"3047"	"kTkLMVQOf8zu"	"Mas"	"Hombre"	"7. Muy satisfecho"	"porque no tenemos problemas de conexion el servicio es muy bueno, que no se cae la conectividad."	"2020_q2"
"3048"	"nqGUovGjPaGf"	"Mas"	"Mujer"	"6"	"PORQUE AVECES SE CAE LA CONEXION DE INTERNET"	"2020_q2"
"3049"	"JNZ91CHx3c9v"	"Mas"	"Hombre"	"6"	"EN GENERAL HA SIDO BUENO EN QUE NO TIENE INTERRUPCIONES MAYORES, SALVO CONTADAS EXCEPCIONES."	"2020_q2"
"3050"	"BAk5HWeKZucM"	"Mas"	"Hombre"	"6"	"PORQUE EN REALIDAD ES UNO DE LOS SERVICIOS MAS COSTOSOS DEL MERCADO PERO SE COMPENSA CON LO TECNICO. QUE TIENEN BUENA PLATAFORMA BUEN SERVICIO TECNICO, BUENA SEÑAL BUEN SPORTE, MAS COBERTURA A NIVEL NACIONAL"	"2020_q2"
"3051"	"ikPyDaEcaZB1"	"Mas"	"Mujer"	"6"	"PORQUE A VECES SE HA CAIDO EL SISTEMA, EN INTERNET."	"2020_q2"
