"encriptado"	"seg_gol"	"seg_corfo"	"p3 pensando en su cuenta empresa, en general, con escala 1 a 7, donde 1 = muy insatisfecho y 7 = muy satisfecho, ¿cuán satisfecho está usted con entel?"	"p4 ¿por qué evalúa con esa nota?"	"bench"	"fecha_bench"
"2402"	"f0MCS7Ox4t9t"	"Mas"	"PEQUEÑA"	7	"POR QUE YO TRABAJO EN UN LUGAR DONDE NO TENGO SEÑAL Y ENTEL  SI LA TIENE , ENTONCES PARA MI ES IMPORTANTE ESO , SIN EMBARGO YO QUIERO ESTE TELÉFONO QUE YO ESTOY HABLANDO QUIERO CAMBIARLO A MOVISTAR  PERO YO NO SOY LA TITULAR  ES MI YERNO Y YO NO QUIERO PERDER EL NUMERO, ENTONCES NUNCA EH PODIDO CAMBIAR ESTE NUMERO A ENTEL."	"movil"	"2019_q1"
"2403"	"a89H1icdPN3B"	"AP"	"GGEE"	5	"PODRÍA SER MEJOR. (-)"	"movil"	"2019_q1"
"2404"	"V5ESDeDsJnrP"	"Mas"	"MICRO"	6	"PORQUE LA ÚNICA EMPRESA QUE TENGO COBERTURA  Y  MUY REDUCCIÓN  EN DONDE YO VIVO , YO AGRADEZCO QUE TENGO COBERTURA, NO HAY OTRA OPCIÓN."	"movil"	"2019_q1"
"2405"	"hAb0BVATTGJL"	"MasPrem"	"PEQUEÑA"	6	"PORQUE EL SERVICIO EN EL LOCAL ES MALO. ES MUY MALA LA ATENCIÓN A CLIENTE EMPRESAS,  PORQUE A PERSONAS LES TIENEN VARIOS EJECUTIVOS Y PARA EMPRESAS SOLO HAY UNO."	"movil"	"2019_q1"
"2406"	"9ZoOCJY6NnwA"	"Mas"	"PEQUEÑA"	6	"PORQUE EN GENERAL NO TENGO PROBLEMA, TODO BIEN, TIENE BUENA COBERTURA ,NO TENGO PROBLEMAS. LAS CUENTAS SON CLARAS, NUNCA HE TENIDO PROBLEMAS CON LAS CUENTAS, BIEN ."	"movil"	"2019_q1"
"2407"	"spYTCen3edGM"	"MasPrem"	"PEQUEÑA"	7	"PORQUE EL SERVICIO ES BUENO ES EFECTIVO Y ES BUENO TIENE BUENA COBERTURA LO QUE UNO LE PIDE A UNA COMPAÑÍA DE ESE ESTILO."	"movil"	"2019_q1"
"2408"	"NHefNVh3tuUU"	"Mas"	"PEQUEÑA"	5	"PORQUE LOS SERVICIOS QUE TIENE NO SON BUENOS CON RESPECTO DE LA COMPETENCIA. EL CAMBIO DE EQUIPO, LA ATENCIÓN DE LA REDES,  LA CALIDAD DE LA SEÑAL. Y LOS EJECUTIVOS TAMPOCO A UNO LE OFRECEN ALTERNATIVAS MÁS CONVENIENTES."	"movil"	"2019_q1"
"2409"	"PEP9jk0z2gh7"	"MasPrem"	"PEQUEÑA"	6	"PORQUE HA BAJADO UN POCO SU CALIDAD DE ATENCIÓN A LOS CLIENTES, ENTEL, TAMBIÉN HA BAJADO SU CALIDAD EN CUANTO A LA ATENCIÓN QUE LE DABA A LOS CLIENTES, EN SERVICIOS TÉCNICO , ANTES ERA MAS PREOCUPADO POR EL CLIENTE, HAY COSAS QUE NO HAN CAMBIADO, EL TIEMPO DE RESPUESTA ES LARGA."	"movil"	"2019_q1"
"2410"	"1i73vSEEXRim"	"MasPrem"	"PEQUEÑA"	7	"PORQUE EL SERVICIO ES EXCELENTE. NUNCA HE TENIDO PROBLEMAS CON ELLOS. MUY BUENA COMUNICACIÓN Y BUENA RECEPCIÓN."	"movil"	"2019_q1"
"2411"	"um5DwubVeutw"	"Mas"	"PEQUEÑA"	7	"PORQUE CUMPLE CON MIS REQUERIMIENTOS, PARA LO QUE NECESITO ME FUNCIONA BIEN."	"movil"	"2019_q1"
"2412"	"kt3jEyc3saiL"	"Mas"	"PEQUEÑA"	4	"PORQUE HAY VARIOS QUE HAN TENIDO DE CUENTAS DE SELECCIÓN O NO SI SE LAS LINEAS ESTARNA SATURADAS, CUESTA MUCHO VER EL TEMA DEL CALL CENTER LA COMUNICACIÓN DEL CALL CENTER ES BASTANTE DEMOROSA, EL TEMA DE CUANDO HAN SACADO UN TIPO DE DESCUENTO DE PROMOCIÓN JAMAS ME LO HACEN LLEGAR SINO QUE ME ENTERO CUANDO YO VOY A LAS OFICINAS."	"movil"	"2019_q1"
"2413"	"nsqPUUa0ZjRq"	"Mas"	"PEQUEÑA"	6	"MAYOR PROBLEMAS NO HE TENIDO QUE PUEDO DECIR QUE POR ESO LE COLOCA ESA NOTA."	"movil"	"2019_q1"
"2414"	"hWC02t2Njiiy"	"MasPrem"	"PEQUEÑA"	6	"PORQUE AL FINAL TENGO BUENA RESPUESTA DE ELLOS, RESPONDEN RÁPIDO, LA ATENCIÓN AL CLIENTE ES BUENA Y MI PROBLEMA ES SOLO LA COBERTURA Y NO SE HA PODIDO SOLUCIONAR."	"movil"	"2019_q1"
"2415"	"LZxufvQXDcK4"	"Mas"	"PEQUEÑA"	6	"PORQUE ,ENCUENTRO QUE TRABAJAN BIEN ,TIENE BUEN SERVICIO. TIENE BUENA SEÑAL, BUENA RESPUESTA DE SERVICIO TÉCNICO, DE SERVICIO AL CLIENTE."	"movil"	"2019_q1"
"2416"	"YEyHmeRYFnL2"	"Mas"	"PEQUEÑA"	5	"POR LOS COSTOS DE LOS PLANES Y COSTOS DE LOS EQUIPOS SOBRE TODO QUE ESTÁN ELEVADOS. LOS EQUIPOS QUE ESTÁN ELEVADÍSIMO."	"movil"	"2019_q1"
"2417"	"knS0VyyHdrDW"	"Mas"	"PEQUEÑA"	7	"PORQUE NO HE TENIDO CONFLICTO, TIENE BUENA SEÑAL, LO UTILIZO EN TODAS LAS PARTES DE CHILE."	"movil"	"2019_q1"
"2418"	"yOy9nAH0ELEH"	"MP"	"PEQUEÑA"	6	"LA VERDAD QUE LA COBERTURA ES BUENA.NO FALLA NUNCA PERO NO HAY BUENAS OFERTAS EN LOS MÓVILES. LO DEMÁS TODO BIEN.(-)"	"movil"	"2019_q1"
"2419"	"PEpyQvyGPCOq"	"MP"	"PEQUEÑA"	7	"NO HE TENIDO NUNCA UN PROBLEMA (-)"	"movil"	"2019_q1"
"2420"	"pEHGahFPOZat"	"MV"	"PEQUEÑA"	5	"PORQUE NO ESTOY NI MUY SATISFECHO CON EL SERVICIO CON ELLOS, IGUAL HAY CARENCIAS EN EL SISTEMA NO NOS PRESTAN UNA BUENA ASESORÍA CUANDO LO NECESITAMOS TARDAN MUCHO EN LAS RESPUESTA CON LOS PROBLEMAS."	"movil"	"2019_q1"
"2421"	"icKbiPnBJXBZ"	"Mas"	"PEQUEÑA"	6	"A VECES SUELO TENER PROBLEMAS DE SEÑAL. EN CUALQUIER LUGAR. MOMENTOS PUNTUALES. EN CUALQUIER MOMENTO. (-)"	"movil"	"2019_q1"
"2422"	"Auah621whUiJ"	"MasPrem"	"PEQUEÑA"	4	"PORQUE CADA VEZ ES MAS DIFÍCIL, NO SE SI HAY MUCHO TELÉFONO O NO ESTA MUY FÁCIL PARA COMUNICARSE, ANTES TRABAJA MUY BIEN, AHORA NOS CUESTA COMUNICARNOS."	"movil"	"2019_q1"
"2423"	"WFs8vckhhvkg"	"MasPrem"	"PEQUEÑA"	7	"PORQUE NUNCA HEMOS TENIDO PROBLEMAS NI DE SEÑAL NI COBERTURA Y DAN BUENA RESPUESTA, DE SERVICIO TÉCNICO."	"movil"	"2019_q1"
"2424"	"JW5qLLurlmuw"	"MP"	"PEQUEÑA"	6	"PORQUE NO TENEMOS PROBLEMAS TENGO BUENA COBERTURA LOS PRECIOS SON BUENOS A LO QUE ELLOS NOS OFRECEN ES ALGO NI CARO NI BARATO PERO ESTA DE ACUERDO AL MERCADO."	"movil"	"2019_q1"
"2425"	"sszlpS4vpgUi"	"AV"	"GGEE"	6	"PORQUE ES UN BUEN SERVICIO, BUENA DISPONIBILIDAD, LOS EJECUTIVOS SON BUENA ONDA  Y SON RÁPIDOS EN CONTESTAR AUNQUE NO TANTO  COMO UNO QUISIERA PERO SE HACE LO POSIBLE"	"movil"	"2019_q1"
"2426"	"UASGtUA9wgEO"	"Mas"	"PEQUEÑA"	6	"PORQUE NO, QUISIERE TENER MUCHOS BENEFICIOS COMO EMPRESA."	"movil"	"2019_q1"
"2427"	"l7wYqAuhFFHJ"	"Mas"	"PEQUEÑA"	4	"PORQUE NO ME PRESTA EL SERVICIO QUE YO PENSÉ QUE PRESTABA. QUE YO ANDO EN LA CALLE TODO EL DÍA Y PIERDO AL SEÑAL NO TIENE SEÑAL DE REPENTE. ENCUENTRO QUE HE CAMBIADO DE EQUIPO POR UN EQUIPO MEJOR, PORQUE DICEN \"\"NO, ES EL EQUIPO\"\" O CAMBIE EL EQUIPO POR UNO MEJOR DE ULTIMA GENERACIÓN Y AUN ASÍ PIERDO LA SEÑAL EN CIERTAS PARTES. O SEA,YO NO SÉ QUE PARA SER UNA EMPRESA TAN GRANDE, CON TANTA FAMA QUE TIENEN, NO ES TANTO ASÍ COMO DICEN. DE REPENTE LA EMPRESA WOM QUE NO ES TAN CATALOGADA TIENE MAS SEÑAL QUE ENTEL."	"movil"	"2019_q1"
"2428"	"Aj38Dr5JwIJL"	"MasPrem"	"PEQUEÑA"	5	"PORQUE EN TODAS LAS SEÑALES TIENE PROBLEMA AL PARECER, PORQUE SE CORTA, SE CAE EL SISTEMA DE LOS CELULARES PRÁCTICAMENTE."	"movil"	"2019_q1"
"2429"	"Gp5x9KQzEmsX"	"MP"	"PEQUEÑA"	5	"PORQUE EN GENERAL ESTA BIEN, PERO NO PERFECTO. QUE CUMPLE EL OBJETIVO, PERO NO PERFECTO. PORQUE FALTA MAYOR COBERTURA EN ALGUNOS SITIOS Y MAYOR VELOCIDAD."	"movil"	"2019_q1"
"2430"	"PJkAFQWu6SUO"	"Mas"	"PEQUEÑA"	5	"PORQUE SE ME CA, CONSTANTEMENTE SE ME ESTA CAYENDO LA SEÑAL Y SE ME CORTA LAS LLAMADAS. UNO ESTA HABLANDO Y SE CORTA . OTRAS VECES ME FUNCIONA EL  INTERNET Y SE CAE."	"movil"	"2019_q1"
"2431"	"Trfbk7QEhm7D"	"MasPrem"	"PEQUEÑA"	6	"PORQUE SERIA MUY SATISFECHO SI CUANDO SALGO DE LA SUCURSAL LAS NIÑAS QUE ME ATIENDEN NO FUERAN TAN AMARGAS."	"movil"	"2019_q1"
"2432"	"lmO5hU82fSGu"	"MasPrem"	"MICRO"	6	"PORQUE LO QUE PASA ES QUE TENGO MAS 20 AÑOS, SATISFACE PLENAMENTE MIS NECESIDADES, PORQUE ESTOY EN CONTACTO CON LA GENTE QUE TRABAJA CONMIGO, CON LOS FAMILIARES Y CON LOS PROVEEDORES, O SEA LO USO PARA EL NEGOCIO."	"movil"	"2019_q1"
"2433"	"urFlJrlbFFeR"	"MasPrem"	"PEQUEÑA"	7	"PORQUE NO HEMOS TENIDO NINGÚN PROBLEMA HASTA EL MOMENTO. (-)"	"movil"	"2019_q1"
"2434"	"DR7L9l2hjVNv"	"Mas"	"PEQUEÑA"	5	"POR QUE EN LAS OPORTUNIDADES QUE E SOLICITADO CIERTOS ELEMENTOS NO HAN SIDO DEL TODO SATISFACTORIOS ADEMAS QUE LA RED DE QUE ES MÓVIL ÚLTIMAMENTE SE A VISTO BIEN COMPLICADA LA COMUNICACIÓN CUESTA MUCHO CONTACTARSE EN LAS LLAMADA MÓVILES Y LOS VALORES DE LOS EQUIPOS EN RELACIÓN AL COMERCIO  POR DECIRLO DE LOS RETAIL SON ELEVADOS QUE LO QUE OFRECEN ESTAS MISMAS TIENDAS ."	"movil"	"2019_q1"
"2435"	"MQ6tadg68ERE"	"MP"	"GGEE"	5	"PORQUE HEMOS TENIDO INCONVENIENTE, DÍAS SIN INTERNET."	"movil"	"2019_q1"
"2436"	"F9KH1IQKdxDr"	"MP"	"PEQUEÑA"	5	"PORQUE ENTREGA UN SERVICO ESTANDAR NI BUENO NI MALO"	"movil"	"2019_q1"
"2437"	"UqEooLmDwMju"	"MasPrem"	"PEQUEÑA"	7	"NO FALLA NUNCA Y RESPONDE RÁPIDO A LOS REQUERIMIENTOS. NUNCA SE CAE LA SEÑAL DEL TELÉFONO FUNCIONAN COMO TIENE QUE FUNCIONAR."	"movil"	"2019_q1"
"2438"	"iMssXNie1LEi"	"MP"	"PEQUEÑA"	5	"PORQUE EL ÚLTIMO AÑO HA BAJADO UN POCO PORQUE SE HAN TERCER-IZADO MUCHO LOS SERVICIOS DE ELLOS, AHORA ES UN TRÁMITE MUY LARGO PARA LOGRAR LAS COSAS, PERO NO HEMOS CAMBIADO PORQUE SIGUE SIENDO MEJOR QUE OTRAS EMPRESAS."	"movil"	"2019_q1"
"2439"	"iOC4S62h03wl"	"MasPrem"	"PEQUEÑA"	6	"BUEN SERVICIO EN GENERAL, ME ATIENDEN BIEN, HAY UNA OFICINA DE LA EMPRESA, NO TENGO PROBLEMAS, BUENA COMUNICACIÓN, EN GENERAL BUENA CONEXIÓN, BUENA SEÑAL, BIEN"	"movil"	"2019_q1"
"2440"	"MeYXfQbc7rwA"	"Mas"	"PEQUEÑA"	7	"PORQUE HEMOS TENIDO BUEN SERVICIO, LA VERDAD EN GENERAL BIEN. BUENA COBERTURA .BUENA SEÑAL. QUE NO ME FALLA LA TELEFONÍA MÓVIL CUANDO LA NECESITO."	"movil"	"2019_q1"
"2441"	"hXMoZGdPLBCC"	"Mas"	"PEQUEÑA"	7	"PORQUE ES BUENO EL SERVICIO. SIEMPRE HAY SEÑAL, HAY COBERTURA EN MUCHOS LUGARES, JAMAS SE CAE."	"movil"	"2019_q1"
"2442"	"NYlFqgA5kHu2"	"MV"	"GGEE"	7	"PORQUE NO TENGO PROBLEMAS SON ENTEL, SON COMPLETOS EN SEÑAL, MOVIMIENTOS, INTERNET, MINUTOS, TODO BIEN."	"movil"	"2019_q1"
"2443"	"xKHdhgSuGHsO"	NA	"GGEE"	7	"POR PRECIO CALIDAD BUENA COBERTURA EN GENERAL  Y RAPIDA RESPUESTAS EN RESOLVER PROBLEMAS HABILIDTACION DE LINEAS"	"movil"	"2019_q1"
"2444"	"oxEC9c3ZGgg7"	"MasPrem"	"PEQUEÑA"	6	"PORQUE ANDA BIEN LARGA, EN TEMAS TÉCNICOS NO SE EN SOPORTE, SI CLARO NO TENGO QUEJAS ."	"movil"	"2019_q1"
"2445"	"Yq1V6WqHkFrU"	"Mas"	"GGEE"	6	"PORQUE PARA CONTACTAR EL SERVICIO NO HAY NINGÚN PROBLEMA PERO CUANDO TENGO QUE ELIMINARLO POR RAZONES DE CAMBIO DE DOMICILIO, ME DEMORA POR LO MENOS UNA HORA ALGO CON CUATRO, CINCO, SEIS, VÍA EJECUTIVO PARA CERRAR UNA CUENTA NO POR CERRARLO SINO POR CAMBIO DE DOMICILIO."	"movil"	"2019_q1"
"2446"	"piB5eUSAlwbS"	"MasPrem"	"PEQUEÑA"	4	"PORQUE HAY MUCHOS LUGARES DONDE NO HAY COBERTURA. LO OTRO ES QUE SE CAE, SE HA CAÍDO HARTO. LLUEVE Y UNO QUEDA SIN SEÑAL. LA SEÑAL SE CAE Y UNO QUEDA SIN SEÑAL."	"movil"	"2019_q1"
"2447"	"qmI95t5k4zed"	"MP"	"PEQUEÑA"	6	"PORQUE HAY MOMENTOS EN QUE SE CAE LA RED PERO DICEN QUE ES POR LA ZONA DONDE ESTA UBICADO."	"movil"	"2019_q1"
"2448"	"eXrukeDzl8uf"	"MV"	"PEQUEÑA"	6	"PORQUE ME A DADO UNA BUEN COBERTURA APORQUE LA NECESITO Y BUENOS PLANES."	"movil"	"2019_q1"
"2449"	"b26p45LPqXTc"	"MasPrem"	"PEQUEÑA"	6	"POR EN GENERAL, EN SERVICIO FUNCIONA BIEN, PERO HAY UN POCO DE INFLEXIBILIDAD EN CUANTO AL CORTE DE SERVICIO, CUANDO UNO SE ATRASA EN PAGAR. POR EJEMPLO, CUANDO ESTUVE DE VIAJE EN EUROPA, ME PASE 5 DÍAS Y ME CORTARON LOS TELÉFONOS."	"movil"	"2019_q1"
"2450"	"xq47NjFU4SA1"	"MasPrem"	"PEQUEÑA"	6	"PORQUE TENGO BUENA COBERTURA DE LOS CELULARES PUEDO VER PELÍCULAS OSEA ME HA DADO MUCHO, BUEN SERVICIO Y E CONSEGUIDO A UN COSTO PROVEA ANTES CONOZCA OTRA ALTERNATIVA Y NO PASABA NADA MAS CARA INCLUSO Y EL TELÉFONO , MAS QUE TODO ES LA CALIDAD ."	"movil"	"2019_q1"
"2451"	"7MM5qXZKLnLs"	"MV"	"PEQUEÑA"	7	"PORQUE EXCELENTE EL SERVICIO. MUY BUENA COBERTURA, BUENOS EQUIPOS, ES CLARA LA CUENTA."	"movil"	"2019_q1"
"2452"	"XRTqehid8prX"	"MasPrem"	"PEQUEÑA"	6	"NUNCA NADA ES PERFECTO ,PERO ENTEL DENTRO DE LAS COMPAÑÍAS ES LA QUE MEJOR ME SATISFACE .SU COBERTURA,ATENCIÓN AL CLIENTE, SOLUCIÓN DE PROBLEMAS, CALL CENTER ,VARIAS COSAS. MUY RÁPIDA LA ATENCIÓN .NECESITAS LAS ENTREVISTAS .SON VARIOS FACTORES."	"movil"	"2019_q1"
"2453"	"AATgLbETiR0p"	"MP"	"PEQUEÑA"	5	"PORQUE MAS QUE EL SERVICIO, EL ATENCIÓN ES BIEN. ESTA EH EL COMUNICARSE NO HAY FORMA DETALLADAMENTE LA SITUACIÓN CON LA EMPRESA, LOS BENEFICIOS CADA VEZ QUE QUIERO ES MÁS LA COMUNICACIÓN QUE NO HAY PROBLEMA."	"movil"	"2019_q1"
"2454"	"cdffJLDYLAOH"	"MasPrem"	"PEQUEÑA"	6	"PORQUE TENGO BUENA ATENCIÓN , ME INFORMAN, LAS CUENTAS SON CLARAS, MEJORA LOS PLANES ."	"movil"	"2019_q1"
"2455"	"A3ob7O9yb8uE"	"Mas"	"PEQUEÑA"	6	"CREO QUE EL SERVICIO EN EL EXTRANJERO ESTÁ DEFICIENTE. ES MUY CARO Y DEFICIENTE. (-)"	"movil"	"2019_q1"
"2456"	"xS2MgCiBaFCM"	"Mas"	"PEQUEÑA"	5	"PORQUE DE REPENTE SE CAE LA COBERTURA DE ENTEL, NO ES MUY BUENA. DE REPENTE ME LLAMAN ACÁ MISMO EN LA CIUDAD Y NO TENGO COBERTURA. ESO Y LO OTRO ES QUE LA ATENCIÓN CUANDO HE IDO A ATENDERME NO ES MUY FLUIDA LA ATENCIÓN. POR ESO CALIFICO CON UN CINCO."	"movil"	"2019_q1"
"2457"	"rY0313m69hSX"	"Mas"	"PEQUEÑA"	6	"PORQUE HEMOS TENIDO ALGUNOS PROBLEMAS DE CONEXIÓN, NOS HAN CORTADO EL SERVICIO."	"movil"	"2019_q1"
"2458"	"qMW1wEJ12psR"	"Mas"	"PEQUEÑA"	6	"POR QUE POR LO GENERAL FUNCIONA PERFECTO SOLO TIENE CIERTAS FALLAS QUE CREO QUE SON LAS MÍNIMAS POR ESO NO LE ANOTAS SIETE ."	"movil"	"2019_q1"
"2459"	"CHrZb9JIdxMW"	"MasPrem"	"PEQUEÑA"	7	"MUY BUENOS SERVICIOS, MUY BUENO LA ATENCIÓN, NUNCA SE CAE LA SEÑAL ."	"movil"	"2019_q1"
"2460"	"zRDVsOkc97Gq"	"MP"	"PEQUEÑA"	6	"PORQUE TIENE PÉRDIDA DE SEÑAL EN ALGUNOS LUGARES, HAY SECTORES QUE SE ESCUCHA PÉSIMO, HAY QUE ESTAR MOVIÉNDOSE PARA ENCONTRAR SEÑAL."	"movil"	"2019_q1"
"2461"	"54xXnptMFCZu"	"MV"	"GGEE"	6	"PORQUE SE PUEDE MEJORAR."	"movil"	"2019_q1"
"2462"	"UnrDziaCNUUj"	"MasPrem"	"PEQUEÑA"	7	"PORQUE ES CON LA ÚNICA EMPRESA QUE NO HE TENIDO PROBLEMAS YO ANTES ESTUVE CON OTRA EMPRESA Y NO ME HA DADO MEJORES RESULTADOS COMO ENTEL."	"movil"	"2019_q1"
"2463"	"CASg0mYmRxd3"	"AP"	"GGEE"	7	"FUNCIONA BIEN EN TELEFÓNICA ME DA EL SERVICIO"	"movil"	"2019_q1"
"2464"	"KRooZRZTeTxh"	"Mas"	"PEQUEÑA"	7	"PORQUE ES BUENA LA SEÑAL LA COBERTURA Y EL PLAN. RESUELVE LOS PROBLEMAS DE MANERA RÁPIDA."	"movil"	"2019_q1"
"2465"	"TXkAuWWn735J"	"AV"	"GGEE"	7	"NUNCA HEMOS TENIDO EN UN INCOVENIENTE AL RESPECTO TANTO EN MONTOS COMO EN EQUIPOS"	"movil"	"2019_q1"
"2466"	"3ATF7zfh42py"	"Mas"	"PEQUEÑA"	6	"PORQUE NO EH TENIDO NINGÚN INCONVENIENTE EN EL SERVICIO."	"movil"	"2019_q1"
"2467"	"KGLCICf6JOnf"	"Mas"	"PEQUEÑA"	7	"PORQUE NO HE TENIDO MAYORES PROBLEMAS, PORQUE HAN IDO BAJANDO LOS PRECIOS DE ACUERDO HA PASADO EL TIEMPO Y EL SERVICIO ANDA BIEN, NO HAY MAYORES PROBLEMAS DE CONECTIVIDAD, ES BUENO EL SERVICIO."	"movil"	"2019_q1"
"2468"	"A5Dl4MGA6VHs"	"AP"	"PEQUEÑA"	5	"YO ME CAMBIE Y LA SEÑAL ERA MUY BUENA, Y AHORA LA VERDAD ES QUE LA SEÑAL NO ES BUENA, SE CAE, DONDE YO TRABAJO HABÍA MUY BUENA SEÑAL Y AHORA YA NO. SEGÚN ENTEL ESTÁN CAMBIANDO LA ANTENA, ESTÁN ACTUALIZANDO."	"movil"	"2019_q1"
"2469"	"80UnxdwXPu6e"	"Mas"	"PEQUEÑA"	7	"TIENE BUENA COBERTURA Y DA UN BUEN SERVICIO."	"movil"	"2019_q1"
"2470"	"CTdBgKmuhRSf"	"Mas"	"MICRO"	6	"CREO QUE SIEMPRE SE PUEDE MEJORAR ALGO, NO ME LLAMAN CUANDO HAY MEJORAS DE PLANES"	"movil"	"2019_q1"
"2471"	"EcuTqzVplwm7"	"MasPrem"	"PEQUEÑA"	5	"PORQUE LA CALIDAD DE LA BANDA ANCHA DE LOS TELÉFONOS ES MUY MALA A LO QUE ERA LA CALIDAD ANTIGUA, HA BAJADO SU CALIDAD."	"movil"	"2019_q1"
"2472"	"3r97Sub4sdmR"	"Mas"	"PEQUEÑA"	7	"PORQUE ME GUSTA.PORQUE ESTOY CONFORME."	"movil"	"2019_q1"
"2473"	"3gbwawqGemFR"	"MasPrem"	"PEQUEÑA"	5	"PORQUE CONTRATÉ UN SERVICIO DE INTERNET Y YO RESIDO EN SANTIAGO, EN LA QUINTA REGIÓN Y HA RESULTADO SUPER MALO, HA FUNCIIONADO PÉSIMO. UNA EMPRESA DE ESA CATEGORÍA DEBERÍA SOLUCIONAR EL PROBLEMA A LA PRIMERA VISITA."	"movil"	"2019_q1"
"2474"	"rismpwbijIs3"	"Mas"	"PEQUEÑA"	6	"PORQUE SIEMPRE HAY COSAS QUE SE PUEDEN MEJORAR, PERO FUNCIONA BIEN . TAL VEZ EN LA COMUNICACIÓN CON LAS EMPRESAS. TAL VEZ EN LOS COSTOS. ESO MAS QUE TODO ."	"movil"	"2019_q1"
"2475"	"eX4HDaWeuYWZ"	"Mas"	"PEQUEÑA"	7	"POR LA CALIDAD."	"movil"	"2019_q1"
"2476"	"dXijh7toqpRv"	"Mas"	"PEQUEÑA"	6	"ES PORQUE NO TIENE LOS PLANES QUE NOS HAN DADO EN ESE TIEMPO SIEMPRE HAN HABLADO DE ESA COMPETACION EN CUANTO A LA CANTIDAD DE DIGAS DE DATOS Y AL PRECIO Y NOSOTROS SIEMPR QUE ELLOS PLANES NUEVGOS NUNCA NOS AJUSTAN EL PLAN A LA NUEV AOFERTYA QUE LLEVAMOS, SIEMPRE DEBEMOE STAR ATATNOS AL MERCADO PARA EL FONOD QUE NOS ADECUIOIE AL PLAN AL MEJOR VALOR Y RPESTACIONE QUE OFRECEN A LOS CLIENTS, SI BIEN EL SERVICO ES MUY KBUENO SIENTOQ UE ES MUIY POCO FRESVCO"	"movil"	"2019_q1"
"2477"	"HmgFiAQbErt4"	"Mas"	"PEQUEÑA"	7	"PORQUE NO TENGO PROBLEMA, NO TENGO PROBLEMAS DE COBERTURA."	"movil"	"2019_q1"
"2478"	"lyhzyvEstUGN"	"MasPrem"	"PEQUEÑA"	4	"PORQUE ME HICIERON UNOS COBROS DE MENSAJERÍA  Y SE ME SUBIERON LOS COSTOS EN LAS FACTURAS. EN REALIDAD, DE REPENTE EL SERVICIO CUANDO UNO NECESITA O SE ATRASA CON ALGUNA FACTURA, TE CORTAN EL SERVICIO Y PARA REPONERLO CUESTA, CUESTA PORQUE TE DEJAN COMO INCOMUNICADO. A MÍ ME HA PASADO YA."	"movil"	"2019_q1"
"2479"	"VgYtzLR46UKA"	"Mas"	"PEQUEÑA"	5	"PORQUE DE REPENTE BAJAN, COMO SE LE VA LA SEÑAL, PERO FUNCIONA BIEN ,PERO  EL PLAN  Y INTERNET  TODO ,PERO  DE REPENTE  BAJA , BAJA COMO SE LE VA LA SEÑAL Y NO HAY RESPUESTA, ME CUESTA MUCHO CONTACTARME CON ENTEL Y CON EL SERVICIO TÉCNICO ."	"movil"	"2019_q1"
"2480"	"SB6bpKnhK9Kp"	"MasPrem"	"PEQUEÑA"	6	"PORQUE ESTA BIEN TODO, DENTRO DE NORMAL."	"movil"	"2019_q1"
"2481"	"ACCepLf68Mvl"	"MasPrem"	"PEQUEÑA"	6	"PORQUE EN GENERAL TENGO BUEN SERVICIO, SALVO DE REPENTE ALGUNA EXCEPCIÓN QUE VECES LO HACEN CAER UN POCO, PERO EN GENERAL BIEN"	"movil"	"2019_q1"
"2482"	"Umec3x5CoCVg"	"MasPrem"	"PEQUEÑA"	7	"PORQUE NO TENGO NINGÚN PROBLEMA. MAYORMENTE ANTES TRABAJA CON MOVISTAR ,CON CLARO.TENIA PROBLEMAS DE FACTURACIÓN DE CLARO."	"movil"	"2019_q1"
"2483"	"S2ziNkRiLo88"	"MasPrem"	"PEQUEÑA"	5	"PORQUE BUENO A MI ME PARECE QUE ES UNA DE LAS MEJORES COMPAÑÍAS, PERO IGUAL FALLAN EN ALGUNAS OPORTUNIDADES, NO SE PUEDE COMUNICAR, NO TIENEN LAS ANTENAS EN SECTORES ALEJADOS DE LA CIUDAD. NO SIEMPRE LLEGA LA SEÑAL COMO CORRESPONDE EN LOS MÓVILES, POR MUROS, LUGARES CERRADOS, ESAS CONDICIONES NO LA SUPERAN."	"movil"	"2019_q1"
"2484"	"rfcPHbc1xXHv"	"Mas"	"PEQUEÑA"	7	"PORQUE NUNCA HE TENIDO PROBLEMAS, GRACIAS A DIOS, CON ENTEL. JAMÁS."	"movil"	"2019_q1"
"2485"	"CZa2Pr1mkZfJ"	"Mas"	"PEQUEÑA"	3	"PORQUE TIENE   MALA COBERTURA, SE CAE SISTEMA  , NO TENGO INTERNET .TENGO QUE HACER  MIS PAGOS , MIS TRANSFERENCIA Y NO TENGO INTERNET"	"movil"	"2019_q1"
"2486"	"dmt9YhrgD9hm"	"Mas"	"PEQUEÑA"	2	"PORQUE LA COBERTURA ES PÉSIMA, EL INTERNET ES PEOR, ES UN DESASTRE."	"movil"	"2019_q1"
"2487"	"ECnHUhsRy81K"	"MasPrem"	"PEQUEÑA"	5	"PORQUE  AVECES EL IGUAL  LA ANTENA SE CAE O FUNCIONA MUY LENTO."	"movil"	"2019_q1"
"2488"	"WRblasuwkWuO"	"Mas"	"PEQUEÑA"	5	"PORQUE NO SE NO ENCUENTRO EL SERVICIO MALO, CAMBIO DE PLANES, ME CORTARON EL TELÉFONO ME ACABO DE PASAR ME PASARON, ME CORTARON."	"movil"	"2019_q1"
