"encriptado"	"seg_gol"	"seg_corfo"	"principal compañía"	"filtro1 - filtro 1: ¿es usted la persona que administra la (s) cuenta (s) que su empresa tiene con el (los) operadores de productos o servicios móviles?"	"p3 pensando en su cuenta empresa, en general, con escala 1 a 7, donde 1 = muy insatisfecho y 7 = muy satisfecho, ¿cuán satisfecho está usted con entel?"	"p4 ¿por qué evalúa con esa nota?"	"p7 - 7. y en lo que respecta a servicio a clientes, en escala de 1 a 7 ¿cuán satisfecho está ud . {#principal}{#princ_text}?"	"p9__1 - a) precio en relación al mercado (competitividad) :"	"p9__2 - b) competitividad de planes en cuanto a minutos :"	"p9__1 - contratación de nuevos servicios :"	"p10__6 - 'consultas de la factura, como fecha pago, montos, detalles de cobros' :"	"p16 - facturación: 16. en cuanto a la facturación de todos los servicios móviles que tiene con {#principal}, en una escala de 1 a 7 ¿cómo evalúa el proceso de facturación de {#principal} en general?"	"p17 - problemas 17. en los últimos 3 meses, ¿ha tenido su empresa algún problema con el servicio entregado por {#principal}?"	"p15 - 15. ¿qué problema ha tenido? sondear literal"	"p19 - 19. ¿comunicó este problema a {#principal}?"	"p20 - 20. ¿y fue solucionado su problema?"	"18. utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7 significa muy dispuesto, ¿qué tan dispuesto estaría usted a continuar con {#principal}{#princ_text}?"	"p24 - 24. en base a una escala de 0 a 10, donde 0 significa que definitivamente no recomendaría, y 10 que definitivamente si recomendaría, ¿qué tan dispuesto estaría usted a recomendar a {#principal}?"	"p_3a - 3) 3) para servicios fijos, ¿hace cuánto tiempo que tiene esta cuenta con {#principal}{#princ_text}? años"	"p_3b - meses"	"p_4 - 4) ¿ pensando en su relación con {#principal}{#princ_text} ¿tiene asignado un ejecutivo para sus necesidades comerciales y/o de post venta?"	"bench"	"fecha_bench"
"3168"	"58a5WwXZW6hg"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE TENGO LO QUE HE CONTRATADO."	"6"	"5"	"5"	"Si"	"Si"	"7"	"No"	NA	NA	NA	6	9	4	0	"No"	"movil"	"2019_q2"
"3169"	"rmG78N69MTmr"	"AP"	"GGEE"	"Entel"	"SI -> CONTINUAR"	6	"POR QUE UN PAR DE PROBLEMAS DE SEÑAL CAIDA SEÑAL ALGO MUY POCO"	"6"	"6"	"7"	"No"	"Si"	"6"	"No"	NA	NA	NA	7	10	1	6	"Sí"	"movil"	"2019_q2"
"3170"	"WdnQhbzyLROH"	"MV"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"ES QUE HAY MUCHAS FALENCIAS EN UN MOMENTO DETERMINADO CON LA COBERTURA"	"6"	"5"	"5"	"Si"	"No"	"6"	"Sí"	"EL PROBLEMA ES LA COBERTURA NO TIENE SEÑAL DE INETENRT Y TELEFONO   EN VARIAS LOCALIDADES DE LA 8VA REGION LA SEÑAL ESO ES LO COMUN QUE PASA ANTES ERA BUENA LA COBERTURA Y AHORA SE ECHO A PERDER EN TODA LOCALIDAD QUE UNO ANDABA TUVE CON CLARO CON MOVISTAR ANTES ERA BELSSOUTH ERA MUY BUENA PERO ENTEL SE MANTENIA Y AHORA ENTEL BAJO SU NITIDEZ"	"Sí"	"Si"	6	7	7	0	"No"	"movil"	"2019_q2"
"3171"	"AIqCAprhVjWk"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	6	"EL LA REGION NO HAY COBERTURA EN IQUIQUE POZO AL MONTE.LA SEÑAL"	"4"	"7"	"7"	"No"	"No"	"6"	"Sí"	"COBROS POR TEMA DE SUSCRIPCIÓN, COBROS ADICIONALES POR MENSAJES"	"Sí"	"Está en trámite"	6	6	2	0	"No"	"movil"	"2019_q2"
"3172"	"ZKBCUuwVDC8p"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	5	"UNO DE LOS EQUIPOS HUAWEI NO FUNCIONABA TENIA PROBLEMA DE BANDA Y NO FUNCIONABA LA FRENCUENCIA"	"7"	"7"	"7"	"Si"	"Si"	"7"	"No"	NA	NA	NA	7	10	1	0	"Sí"	"movil"	"2019_q2"
"3173"	"hZgzGzC2EQIL"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE SIEMPRE CUESTA COMUNICARSE CON ELLOS DEJAN EN LINEA MUCHO TIEMPO CUANDO REQUIERE DE UN EJECUTIVO DEMORA MUCHO AL 103"	"6"	"7"	"7"	"Si"	"Si"	"7"	"Sí"	"CORTE DE EQUIPOS O LA SEÑAL SE VA EN GENERAL"	"Sí"	"Si"	7	9	15	0	"Sí"	"movil"	"2019_q2"
"3174"	"hUFEFlxYFbkZ"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	6	"LA COMPAÑIA ES MEJOR QUE OTRAS EN COMPARAION A OTRAS COMPAÑIAS"	"6"	"5"	"5"	"Si"	"No"	"7"	"No"	NA	NA	NA	6	7	2	0	"No"	"movil"	"2019_q2"
"3175"	"ja3n8uQ3fyZv"	"Mas"	"MEDIANA"	"Entel"	"SI -> CONTINUAR"	3	"LAS VECES QUE E INTENTADO CAMBIAR TELÉFONO O PLAN A SIDO MUY COMPLICADO QUE ME PIDEN UN MONTÓN DE COSAS ME PIDEN PAPELES QUE MANDE COSAS POR INTERNET"	"1"	"4"	"4"	"No"	"No"	"6"	"No"	NA	NA	NA	2	0	10	0	"Sí"	"movil"	"2019_q2"
"3176"	"hUp1XNgTBIz4"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE TODO FUNCIONA"	"6"	"6"	"6"	"No"	"No"	"6"	"No"	NA	NA	NA	7	10	1	0	"No"	"movil"	"2019_q2"
"3177"	"T3teq9qNlIKn"	NA	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE HEMOS TENIDO DIFICULTADES CON LA CAÍDA DE SISTEMA"	"6"	"6"	"6"	"No"	"Si"	"6"	"Sí"	"CAÍDA DE SISTEMA CUANDO LLEGAN EN LA MAÑANA TIPO 08:00-10:00 LLAMAN POR TELEFONO Y LES DAN INSTRUCCIONES PARA ARREGLAR"	"Sí"	"Si"	6	8	10	0	"No"	"movil"	"2019_q2"
"3178"	"G3hkNX1mK5As"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	6	"POR PODRIA SER MEJOR LA SEÑAL, SOLO PROBLEMAS DE COBERTURA NO SIEMPRE CREE QUE PODRIAN HACER INVERSION Y MEJORAR LAS CONDICIONES"	"6"	"5"	"5"	"No"	"No"	"6"	"Sí"	"COBERTURA POR SECTOR AISLADO"	"Sí"	"Si"	7	8	3	0	"No"	"movil"	"2019_q2"
"3179"	"9z7XndvpIviX"	"MP"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	7	"POR QUE CADA VEZ QUE E NECESITADO ALGO ME HAN ASESORADO VÍA TELEFÓNICA O EN OFICINA OSEA LOS PASOS A SEGUIR POR EJEMPLO SI NECESITO HACER ALGÚN CAMBIO"	"7"	"6"	"7"	"Si"	"Si"	"7"	"No"	NA	NA	NA	7	10	4	9	"Sí"	"movil"	"2019_q2"
"3180"	"vbSxidzX1KJo"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE HAY ALGUNOS LUGARES QUE NO TIENE BUENA COBERTURA, ESE ES BASICAMENTE MI PROBLEMA"	"6"	"9. NS/NR"	"7"	"No"	"No"	"7"	"Sí"	"COBERTURA, HAY LUGARES DONDE NO FUNCIONA BIEN, NO LLEGA BIEN Y NO CONECTA. AVECES NO SE ESCUHA NI SE ENTIENDE"	"No"	NA	7	8	20	0	"No"	"movil"	"2019_q2"
"3181"	"QRVgwpbnKGVo"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"EL SERVICIO BASTANTE BUENO DERREPENTE UNA CAIDA DE SEÑAL INTERNET"	"5"	"5"	"6"	"Si"	"Si"	"5"	"No"	NA	NA	NA	5	7	1	0	"Sí"	"movil"	"2019_q2"
"3182"	"WFfING8pgzr5"	"MasPrem"	"MEDIANA"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE HA ESTADO MEDIO COMPLICADO LA TELEFONIA SE BAJA EL INTERNET SE PIERDE"	"7"	"6"	"6"	"No"	"Si"	"6"	"No"	NA	NA	NA	6	9	8	0	"No"	"movil"	"2019_q2"
"3183"	"TXmUffIZ6Tkp"	"MasPrem"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE ESTUVO MUY BUENO PERO PODRIA SER MAS BARATO NADA MAS ES BUENA EL SERVICIO BUENA SEÑAL SOLO ES CARA"	"7"	"5"	"6"	"No"	"No"	"7"	"No"	NA	NA	NA	7	10	13	0	"No"	"movil"	"2019_q2"
"3184"	"up8wWzL6lLap"	NA	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	4	"EL SERVICIO POST VENTA ES PESIMO EN LA ATENCION EL CALL CENTER TE MANDAN DE UN LADO PARA OTRO NADIE RESUELVE NADA SE CORTA TIENE GRABADORA PUEDO ESTAR TODO UN DIA TRATANDO DE COMUNICARME CON EL CALL CENTER"	"2"	"4"	"5"	"Si"	"Si"	"5"	"No"	NA	NA	NA	5	0	10	0	"Sí"	"movil"	"2019_q2"
"3185"	"kH7o3IaOliLG"	"MP"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE HAY ALGUNAS COSAS QUE NO SE CUMPLEN COMO EL PRECIO Y LA COBERTURA, ME GUSTARIA QUE ME COBRARAN MAS BARATO Y NO EL 100% TENGO UNA BUENA SEÑAL"	"5"	"5"	"5"	"No"	"No"	"5"	"No"	NA	NA	NA	4	3	7	0	"No"	"movil"	"2019_q2"
"3186"	"oz5GEiZWeWdN"	"AP"	"MEDIANA"	"Entel"	"SI -> CONTINUAR"	7	"POR QUE NUNCA HEMOS TENIDO PROBLEMA Y LA RECEPCIÓN ES BUENA"	"7"	"6"	"6"	"No"	"No"	"7"	"No"	NA	NA	NA	7	10	4	0	"No"	"movil"	"2019_q2"
"3187"	"jveUTPP04gmH"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"COBERTURA Y SERVICIO. NO TENGO PROBLEMA CUANDO LLAMA EN CUALQUIER MOMENTO TENGO LA COBERTURA QUE YO QUIERO Y CUANDO HE TENIDO PROBLEMA EL CALL ME LO SOLUCIONA RAPIDAMENTE."	"6"	"5"	"5"	"No"	"Si"	"6"	"No"	NA	NA	NA	6	8	2	0	"No"	"movil"	"2019_q2"
"3188"	"21e84JA7MDuq"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE NO HE TENIDO NINGUN PROBLEMA CON ELLOS. SIEMPRE ME ESTAN LLAMANDO PARA OFRECERME MAS PRODUCTOS."	"7"	"6"	"6"	"Si"	"No"	"7"	"No"	NA	NA	NA	7	10	1	8	"No"	"movil"	"2019_q2"
"3189"	"7JmoLagfk0az"	NA	"MICRO"	"Entel"	"SI -> CONTINUAR"	5	"POR QUE TUVE QUE CONTRATAR PLAN DE EMPRESA A SU NOMBRE COMO PERSONA NATURAL"	"5"	"7"	"6"	"No"	"No"	"7"	"No"	NA	NA	NA	7	6	0	8	"No"	"movil"	"2019_q2"
"3190"	"leAPv8axEhej"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE IGUAL PUEDE MEJORAR LA COBERTURA PERO FUNCIONA BIEN"	"7"	"5"	"6"	"No"	"No"	"6"	"Sí"	"PERDIDA DE SEÑAL, Y SERVICIO MOVIL"	"No"	NA	6	7	14	0	"No"	"movil"	"2019_q2"
"3191"	"AeOtVYmPwxHd"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"POR QUE NO TENEMOS MAYORES INC<JS"	"6"	"6"	"7"	"No"	"No"	"6"	"No"	NA	NA	NA	6	8	0	8	"No"	"movil"	"2019_q2"
"3192"	"ZSHxd3jfobAQ"	"MP"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE NO TENEMOS PROBLEMAS MAYORES CON ENTEL NO HAY NINGUNA COMPLICACIÓN A VECES NO HAY SEÑAL PERO ES POCO"	"6"	"2"	"9. NS/NR"	"No"	"No"	"9. NS/NR"	"No"	NA	NA	NA	5	6	12	0	"No"	"movil"	"2019_q2"
"3193"	"qjT7jrJ6pLGe"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE ME HAN ATENDIDO BIEN ME HAN AJUSTADO LOS PRECIOS BUENA ATENCION AL CLIENTE Y SIEMPRE BIEN INFORMADO INFORMACION OPORTUNA NO BUENO TAMBIEN BUENOS EQUIPOS"	"7"	"6"	"6"	"No"	"No"	"7"	"No"	NA	NA	NA	7	6	15	0	"9. NS/NR"	"movil"	"2019_q2"
"3194"	"MnPOgsp69jKA"	"MP"	"MEDIANA"	"Entel"	"SI -> CONTINUAR"	5	"AHORA ESTÁN CAMBIANDO LAS POLÍTICAS Y NO ESTAN HACIENDO LAS RENOVACIONES DE TELEFONOS SE CONTRADICEN CON EL MERCADO PARA LAS EMPRESAS QUE TIENEN CONTRATO NOS HAN DADO PRECIOS DE OTRAS COMPAÑIAS Y CON ESO UNO TIENE COMO EVALUAR NUEVAS ALTERNATIVAS Y COMPARAR. LA ATENCIÓN  A ESTE TIPO DE RESPUESTA POR TELEFONO NO ES COMPLETA"	"4"	"4"	"4"	"No"	"No"	"6"	"No"	NA	NA	NA	4	2	12	0	"Sí"	"movil"	"2019_q2"
"3195"	"kYRNDv2rIrBc"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	6	"ES MAS QUE REGULAR, SE CAE LA ANTENA, SE CAE LA SEÑAL TODO EL TIEMPO, HAY PARTES TAMBIEN QUE NO TIENEN COBERTURA, SOBRETODO CUANDO UNO SE INTERNA EN LA CORDILLERA"	"6"	"6"	"7"	"No"	"No"	"6"	"No"	NA	NA	NA	6	6	4	0	"No"	"movil"	"2019_q2"
"3196"	"k0xFsIGcbOJz"	"MasPrem"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE LA COBERTURA NO ES TOTAL NOSOTROS TRABAJAMOS EN TERRENO EN CUARTA SEXTA QUINTA Y NOVENA REGION EN LA ZONA PERIMETRAL Y EN LOS CAMPOS Y EN LA ZONA PRECORDILLERANA NO HAY BUENA SEÑAL PAIGUANO ALTO DEL CARMEN AL INTERIOR DEL VALLE DE OVALLE EN CONBARBALA COLAPSARON EL PENDRIVE DE INTERNET MOVIL"	"7"	"6"	"7"	"No"	"Si"	"7"	"No"	NA	NA	NA	7	9	6	0	"Sí"	"movil"	"2019_q2"
"3197"	"o8uMSnqRaOS2"	"MP"	"MEDIANA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE LLEVO MUCHOS AÑOS CON ENTEL Y UNA SOLA VEZ NOS CAMBIAMOS Y LA VERDAD QUE EL SERVICIO ES BUENO. LA ATENCION LOS REQUERIMIENTOS...PORQUE HAY ALGUNOS DETALLES PEUDE FALTAR POR EJEMPLO ANTES TENIAMOS UN EJECUTIVO PERSONALIZADO Y ESO LO ELIMINARON Y AHORA TENEMOS UN EJECUTIVO VIRTUAL."	"6"	"5"	"5"	"No"	"Si"	"6"	"No"	NA	NA	NA	6	8	14	0	"No"	"movil"	"2019_q2"
"3198"	"1uGM0UT1S8f2"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE LA SEÑAL DE ENTEL NO ES MUY RÁPIDA"	"5"	"1"	"5"	"Si"	"No"	"6"	"No"	NA	NA	NA	7	8	6	0	"Sí"	"movil"	"2019_q2"
"3199"	"tdY3IF6ALiYi"	"MP"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE NO ME HA DADO NINGUN PROBLEMA Y CUANDO SE DESCONECTA POR ALGUNA RAZON ES AJENO A ELLOS, ES POR USO."	"7"	"7"	"7"	"Si"	"No"	"7"	"Sí"	"ESTE SE NOS DESCONECTARON LOS TELEFONOS. DEJARON DE FUNCIONAR DE REPENTE."	"Sí"	"Si"	7	7	1	0	"Sí"	"movil"	"2019_q2"
"3200"	"SLWcslXX3qYt"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"POR QUE EL CADA VEZ QUE NECESITA ALGUN PROBLEMA ACUDE A QUE LE SOLUCION PROBLEMAS NO LE HAN SOLUCION O QUIERE DAR DE BAJA EL EJECUTIVO NO LE PRESTADO UNA BUENA ATENCION"	"1"	"3"	"3"	"No"	"No"	"2"	"No"	NA	NA	NA	2	1	15	0	"No"	"movil"	"2019_q2"
"3201"	"jbZGRBP7ifc8"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	7	"NUNCA HE TENIDO PROBLEMA CON LA SEÑAL Y BUENOS PRECIOS ANTERIOR MENTE YO TENIA CLARO Y EL SERVICIO ES MALO"	"7"	"7"	"7"	"No"	"Si"	"7"	"No"	NA	NA	NA	7	10	3	0	"No"	"movil"	"2019_q2"
"3202"	"YmIFxglfckic"	"AV"	"GGEE"	"Entel"	"SI -> CONTINUAR"	6	"POR QUE SE HAN DEMORADO MUCHO POR HACER LA RENOVACION DE CONTRATO"	"5"	"6"	"7"	"Si"	"No"	"7"	"No"	NA	NA	NA	5	6	2	0	"Sí"	"movil"	"2019_q2"
"3203"	"g6cVCKq9sfUZ"	"MV"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"SIN COBERTURA, HEMOS PERDIDO MUCHA COBERTURA."	"7"	"6"	"7"	"Si"	"No"	"6"	"Sí"	"COBERTURA, SE HAN HECHO VARIOS REQUERIMIENTOS PARA MEJORAR LA COBERTURA, AUN NO PASA NADA."	"Sí"	"No"	4	5	5	0	"Sí"	"movil"	"2019_q2"
"3204"	"vGa5lwlAnFAj"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE BASICAMENTE NO HE TENIDO PROBLEMAS, ME DAN LOS SERVICIOS QUE NECESITO."	"7"	"3"	"5"	"No"	"No"	"6"	"No"	NA	NA	NA	6	8	10	0	"9. NS/NR"	"movil"	"2019_q2"
"3205"	"6ezbAArnxTJx"	NA	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"POR LA ATENCION AL CLIENTE ESTA SATISFECHO"	"5"	"5"	"5"	"No"	"Si"	"5"	"No"	NA	NA	NA	6	7	10	0	"No"	"movil"	"2019_q2"
"3206"	"43kYZnTHXBqj"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE AVECES TIENEN PROBLEMAS CON LA SEÑAL"	"7"	"6"	"7"	"No"	"No"	"7"	"No"	NA	NA	NA	7	8	5	0	"No"	"movil"	"2019_q2"
"3207"	"NpckRNIbbf0a"	"MP"	"MEDIANA"	"Entel"	"SI -> CONTINUAR"	7	"EN REALIDAD PORQUE ENTEL NUNCA TE DEJA BOTADO TIENE SEÑAL TIENE INTERNET Y NO HAY NINGUN PROBLEMA CON ENTEL"	"7"	"5"	"5"	"No"	"No"	"7"	"No"	NA	NA	NA	5	7	6	0	"Sí"	"movil"	"2019_q2"
"3208"	"7TPNd2WCNuqR"	"AV"	"MEDIANA"	"Entel"	"SI -> CONTINUAR"	7	"POR QUE PARA MI DE ACUERDO A TODO LO QUE YO  VEO EN EL MERCADO ES EL MEJOR"	"7"	"6"	"7"	"Si"	"Si"	"5"	"No"	NA	NA	NA	7	10	20	0	"Sí"	"movil"	"2019_q2"
"3209"	"j6gZ6IyVKJ4l"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE SI DOY SIETE NO MEJORAN NADA EL SERVICOIO ES BUENO EL CALL CENTER ME GUSTA LEDOY ELSEIS ASI LA EMPRESA BUSCA EL SIETE ASI SE PERFECCIONA MAS"	"7"	"5"	"5"	"Si"	"Si"	"5"	"No"	NA	NA	NA	7	10	4	0	"Sí"	"movil"	"2019_q2"
"3210"	"EOVofpuzbstn"	"MP"	"GGEE"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE TIENE BUEN SERVICIO."	"6"	"6"	"6"	"No"	"No"	"6"	"No"	NA	NA	NA	6	3	10	0	"Sí"	"movil"	"2019_q2"
"3211"	"zOKzyqOFSuqW"	"AP"	"GGEE"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE HEMOS LLEGADO A BUENOS ACUERDOS COMERCIALES Y DE SERVICIO."	"7"	"6"	"5"	"No"	"No"	"6"	"No"	NA	NA	NA	7	10	4	0	"Sí"	"movil"	"2019_q2"
"3212"	"IATksYmUsMvr"	"AP"	"GGEE"	"Entel"	"SI -> CONTINUAR"	5	"POR QUE NUNCA TENGO UNA CONEXIÓN DIRECTA CON EL EJECUTIVO Y SIEMPRE ME DERIVAN A OTRA PERSONA QUE SI ME ATIENDE NO HAY UNA PREOCUPACIÓN DE LA CUENTA Y PAGAR MENOS POR LOS MISMOS SERVICIOS"	"6"	"7"	"7"	"No"	"Si"	"7"	"No"	NA	NA	NA	6	6	5	0	"Sí"	"movil"	"2019_q2"
"3213"	"F8Ljfn7QbYYU"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE IGUAL ES CARO"	"6"	"5"	"6"	"No"	"No"	"6"	"Sí"	"FALLAS DE CONEXION"	"No"	NA	5	7	8	0	"9. NS/NR"	"movil"	"2019_q2"
"3214"	"uk3esELtHvRv"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	4	"LLEVO TANTOS AÑOS AHÍ Y COMO QUE NO TE DAN MUCHA FACILIDADES NO TIENES UN EJECUTIVO QUE ESTE PENDIENTE DE LO NUEVO QUE VA SALIENDO ESO MAS QUE NADA UNO QUE PAGA LA CUENTA A TIEMPO NO TE DAN NINGÚN TIPO DE FACILIDADES CUANDO UNO NECESITA REALMENTE DE REPENTE LOS CAMBIOS DE EQUIPO O LOS PLANES ESO MAS QUE NADA"	"6"	"6"	"6"	"No"	"No"	"7"	"No"	NA	NA	NA	6	9	20	0	"Sí"	"movil"	"2019_q2"
"3215"	"TGpskNv65zpK"	"MP"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE HAY VECES QUE EL TELEFONO NO LLAMA NO SE CONECTA EN LLAMADAS LOCALES Y NACIONALES EN LA CIUDAD Y EN CAMPO EN TODOS LADOS"	"6"	"6"	"6"	"No"	"No"	"7"	"No"	NA	NA	NA	6	8	1	6	"Sí"	"movil"	"2019_q2"
"3216"	"Ies44MyL6MPm"	"MP"	"MEDIANA"	"Entel"	"SI -> CONTINUAR"	6	"PARA TOMAR UN NUMERO , POR LA INFORMALIDAD ,, NO LE GUSTA"	"7"	"5"	"5"	"No"	"No"	"7"	"No"	NA	NA	NA	7	9	10	0	"Sí"	"movil"	"2019_q2"
"3217"	"kVnt547ymYTa"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE NO HE TENIDO PROBLEMAS TIENE BUENA SEÑAL Y COBERTURA"	"5"	"9. NS/NR"	"7"	"No"	"No"	"7"	"No"	NA	NA	NA	7	8	5	0	"No"	"movil"	"2019_q2"
"3218"	"SvJh0XYhf2KL"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"POR QUE HASTA EL DIA DE HOY NO ME VIENEN A SUPERAR EL PROBLEMA QUE TENGO DE RECEPCIÓN Y LLAMADAS Y VIVO EN SAN BERNARDO HA 16 KM DE LA TORRE ENTEL"	"6"	"5"	"5"	"No"	"No"	"6"	"Sí"	"FALTA DE COBERTURA PARA YA VINO UNOS MESES DE ENTEL VINIERON ACÁ Y DIJERON QUE EL PROBLEMA EXISTÍA Y ERA EL PANEL QUE HABÍA UN PAJARITO QUE LO MOVIÓ"	"Sí"	"No"	6	6	20	0	"No"	"movil"	"2019_q2"
"3219"	"wKM5k0U0akwc"	"MP"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	5	"POR QUE NO TENEMOS EJECUTIVOS  ASIGNANDO Y NO RECIBE INFORMACIÓN SOBRE OFERTAS Y PLANES"	"6"	"6"	"9. NS/NR"	"No"	"Si"	"5"	"No"	NA	NA	NA	6	7	8	0	"Sí"	"movil"	"2019_q2"
"3220"	"dueL89Djqxd5"	"Mas"	"MEDIANA"	"Entel"	"SI -> CONTINUAR"	5	"PORQUE A VECES NO TENGO COBERTURA EN TERRENO PORQUE NOSOTROS SALIMOS HARTO A TERRENO. NO MUY A MENUDO PERO POR ESO PREFIERO PONERLE UN 5. DESDE SIEMPRE."	"6"	"4"	"4"	"No"	"No"	"7"	"No"	NA	NA	NA	6	8	10	6	"No"	"movil"	"2019_q2"
"3221"	"B3YVuVaB2lcA"	"MP"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"POR QUE ESTA BIEN PERO LE FALTA COBERTURA EN ALGUNAS PARTES"	"4"	"5"	"5"	"No"	"No"	"5"	"Sí"	"COBERTURA MALA SEÑAL"	"Sí"	"No"	6	7	5	0	"9. NS/NR"	"movil"	"2019_q2"
"3222"	"c9a3oDAWd7Lh"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	6	"POR QUE NADA ES PERFECTO   SIMPLEMENTE  A LOS CLIENTES ANTIGUOS NO NOS INFORMAN"	"6"	"5"	"9. NS/NR"	"No"	"No"	"7"	"No"	NA	NA	NA	7	10	20	0	"9. NS/NR"	"movil"	"2019_q2"
"3223"	"vcDrcD8QyUwN"	"MV"	"MEDIANA"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE NO TENGO PROBLEMAS CON COBERTURA"	"6"	"5"	"5"	"No"	"No"	"6"	"No"	NA	NA	NA	6	8	15	0	"No"	"movil"	"2019_q2"
"3224"	"xJd6etA85fpc"	"MasPrem"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	7	"NO TIENE PROBLEMA,LO RECOMIENDA  BUEN SRVICIO"	"7"	"5"	"5"	"No"	"No"	"6"	"No"	NA	NA	NA	6	5	10	0	"No"	"movil"	"2019_q2"
"3225"	"MwvqEP2TIduC"	"MV"	"GGEE"	"Entel"	"SI -> CONTINUAR"	6	"PORQUE A VECES HAY PROBLEMAS CON EL TEMA DE FACTURACION Y UNO LLAMA AL CALL CENTER Y DERIVAN DERIVAN."	"6"	"6"	"6"	"No"	"Si"	"6"	"No"	NA	NA	NA	7	6	3	0	"Sí"	"movil"	"2019_q2"
"3226"	"q5jau4HvKzKB"	"AV"	"MEDIANA"	"Entel"	"SI -> CONTINUAR"	6	"POR EL SERVICIO, ANTES ESTABA EN MOVISTAR, PESIMO SERVICIO, AHORA EN ELTEL, MEJORO EL SERVICIO"	"6"	"6"	"5"	"No"	"Si"	"6"	"Sí"	"LA ADMINISTRACION DE LAS CUENTAS EN EL PORTAL, SE HAN DEMORADO EN ENETREGARNOS LAS CLAVES"	"Sí"	"No"	6	8	0	6	"Sí"	"movil"	"2019_q2"
"3227"	"EYLmTma5WxXM"	"Mas"	"MICRO"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE NO HE TENIDO PROBLEMA ES ECONOMICO"	"6"	"7"	"7"	"No"	"No"	"7"	"No"	NA	NA	NA	6	9	9	0	"No"	"movil"	"2019_q2"
"3228"	"avhCuDnnJxCF"	"Mas"	"PEQUEÑA"	"Entel"	"SI -> CONTINUAR"	7	"PORQUE NUNCA HE TENIDO PROBLEMAS CON LA EMPRESA. LA CONECTIVIDAD EN TODAS PARTES FUNCIONA."	"6"	"5"	"7"	"No"	"Si"	"7"	"No"	NA	NA	NA	7	10	10	0	"Sí"	"movil"	"2019_q2"
