encriptado	GOL (BASE STOCK SEP 2019)	SEGMENTO CORFO	Principal compañía	Filtro1 - Filtro 1: ¿Es usted la persona que administra la (s) cuenta (s) que su empresa tiene con el (los) operadores de productos o servicios móviles?	P1 - 1. En su empresa, ¿con qué compañías tiene contratado los servicios móviles como teléfonos o banda ancha móvil? (respuesta múltiple)	3. Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 =  Muy insatisfecho y 7 =  Muy satisfecho, ¿Cuán satisfecho está Ud. con {#Principal}?	"P4 - 4.	¿Por qué evalúa con esa nota? LITERAL"	P5__1 - a) {#Principal} es una empresa con buena imagen en general :	P6 - 6. ¿Y con qué nota de 1 a 7, evalúa a {#Principal} en cuanto a la Calidad y Cobertura de las llamadas?	"P7 - 7.	Ahora pensando en la navegación a través de su celular, es decir internet móvil empresa contratado con {#Principal}, ¿Con qué nota de 1 a 7, evalúa la navegación a través del celular?"	"P8 - 8.	Y en lo que respecta  a Servicio a Clientes, ¿cuán satisfecho está Ud. con {#Principal}"	"P9__1 - a)	Precio del Plan en relación al mercado (Competitividad) :"	"P9__2 - b)	Competitividad de planes en cuanto a minutos :"	"P9__3 - c)	Competitividad de planes en cuanto a Internet Móvil o internet en su celular :"	"P9__4 - d)	El precio de los equipos en relación al mercado :"	P10__1 - Contratación de nuevas líneas :	"P10__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P10__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P10__5 - Solicitar cambio de plan :	P10__6 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P10__7 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P11__1 - Contratación de nuevas líneas :	"P11__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P11__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P11__5 - Solicitar cambio de plan :	P11__6 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P11__7 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P12__1 - Contratación de nuevas líneas :	"P12__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P12__3 - Consultas sobre el detalle de tráfico de minutos o datos de sus equipos móviles :	P12__5 - Solicitar cambio de plan :	P12__6 - Servicio Técnico por falla de equipo celular o Banda Ancha Móvil :	P12__7 - Solicitar cambio de equipo por pérdida o renovación (NO por Servicio Técnico) :	P13__1 - 1: Ejecutivo asignado para su empresa :	P13__2 - 2: Call center :	P13__3 - 3: Página Web {#Principal} Empresas :	P13__4 - 4: En tiendas/ sucursales :	P13__5 - 5: App Administradores Empresa :	"P16 - FACTURACIÓN: 
       16. En cuanto a la Facturación de todos los servicios móviles que tiene con {#Principal}, en una escala de 1 a 7 ¿Cómo evalúa el proceso de facturación de {#Principal} en general?"	"P17 - PROBLEMAS 
         17. En los últimos 3 meses, ¿ha tenido su empresa algún problema con el servicio entregado por {#Principal}?"	"P18 - 18.	¿Qué problema ha tenido? Sondear LITERAL"	"P19 - 19.	¿Comunicó este problema a {#Principal}?"	"P20 - 20.	¿Y fue solucionado su problema?"	"P21 - LEALTAD 
         Ahora pensando en todos los servicios que recibe con {#Principal} en general y en la relación que tiene con esta compañía, me podría decir… 
     
         21. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7"	P22 - 22. Pensando como cliente empresa, y en su opinión ¿Cuál diría Ud. qué es la mejor compañía de servicios móviles? (Leer opciones, respuesta única)	"P24 - 24.	En base a una escala de 0 a 10, donde 0 significa que definitivamente no recomendaría, y 10 que definitivamente si recomendaría, ¿Qué tan dispuesto estaría usted a recomendar a {#Principal}?"	P_2 - 2) ¿Cuál de estas categorías calza mejor con el giro de su empresa? (Leer opciones, respuesta única)	"P_3A - 3)	¿Hace cuánto tiempo que tiene esta cuenta con {#Principal}? 
            AÑOS"	P_3B - MESES	"P_4 - 4)	¿ Pensando en su relación con {#Principal} ¿Tiene asignado un ejecutivo para sus necesidades comerciales y/o de post venta?"
2DKaflEPf1Sr	Mas	MEDIANA	Entel	SI -> CONTINUAR	Entel	5	PORQUE ESTA BIEN EN GENERAL EL SERVICIO , BIEN EN SEÑAL ,COBERTURA,  ATENCIÓN	6	7	6	7	5	7	5	5	Si	Si	Si	Si	No	No	7	7	7	7	NA	NA	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	NA	NA	7	NA	5	5	6	7	No	NA	NA	NA	7	7	10	"6.	Servicios"	5	0	No
yhNe2mCCCBbP	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	6	PORQUE ES DIFÍCIL DE CONTACTARSE CON LA EMPRESA	6	6	6	6	4	5	4	6	No	No	Si	No	No	No	NA	NA	7	NA	NA	NA	NA	NA	3.Página Web <b>{#\.Principal}</b> Empresas	NA	NA	NA	NA	NA	7	NA	7	6	No	NA	NA	NA	6	7	8	"6.	Servicios"	8	0	No
E2iHAWu78iwh	AP	GGEE	Entel	SI -> CONTINUAR	Entel	5	porqu hacen cambios que no me informna cambian a los ejecutivis tampoco informana mas que nada ppor eso	6	7	6	7	7	7	7	7	Si	No	No	No	No	No	7	NA	NA	NA	NA	NA	99. NS/NR	NA	NA	NA	NA	NA	7	NA	7	NA	NA	7	No	NA	NA	NA	7	7	10	"6.	Servicios"	5	0	Sí
lAI41BB241QL	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	7	PORQUE NUNCA HE TENIDO PROBLEMA Y SOMOS CLIENTES DE AÑOS, EN QUE SIEMPRE HE TENIDO MUY BUEN SERVICIO CON ENTEL, ESTÁN BIEN UBICADOS Y EN CONCEPCIÓN HAY MUCHAS SUCURSALES Y ES FÁCIL CONTACTARLOS	7	7	7	7	7	7	7	7	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	7	7	No	NA	NA	NA	7	7	10	"3.	Industria"	15	0	No
5rifENfI9zDp	AV	GGEE	Entel	SI -> CONTINUAR	Entel	6	PORQUE SIEMPRE SE PUDE MEJORAR, LA SEÑAL ,EN HUECHURABA	7	6	7	7	5	6	5	5	Si	Si	Si	Si	No	Si	7	7	7	7	NA	7	1.Ejecutivo asignado para su empresa	3.Página Web <b>{#\.Principal}</b> Empresas	3.Página Web <b>{#\.Principal}</b> Empresas	1.Ejecutivo asignado para su empresa	NA	1.Ejecutivo asignado para su empresa	7	NA	7	NA	NA	7	Sí	VELOCIDAD DE INTERNET MOVIL	No	NA	7	6	8	"8.	Comercio (al por mayor y menor)"	4	11	Sí
Y08dnXv4aWeD	AV	GGEE	Entel	SI -> CONTINUAR	Entel,Movistar	7	HA RESPONDIDO BIEN. BUEN SERVICIO DISPONIBLE PARA SERVICIO AL CLIENTE.	7		6	7	6	6	6	5	No	No	No	Si	No	No	NA	NA	NA	7	NA	NA	NA	NA	NA	1.Ejecutivo asignado para su empresa	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	6	9	"6.	Servicios"	5	0	Sí
c8va28I6Coxn	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	7	PORQUE SIEMPRE HE TENIDO UNA MUY BUENA ATENCION Y TENGO SEÑAL EN TODOS LADOS,SIEMPRE QUE NECESITO ALGÚN REQUERIMIENTO TENGO UNA RESPUESTA ÓPTIMA, EN TODOS LADOS TENGO SEÑAL VIAJÓ HARTO AL CERRO ASÍ QUE ALLÁ TENGO BUENA SEÑAL	7	7	5	7	6	6	6	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	7	7	No	NA	NA	NA	7	6	10	"1.	Agro"	15	0	No
G8512E5pZMHH	Mas	MICRO	Entel	SI -> CONTINUAR	Entel	7	NO E TENIDO PROBLEMAS Y CUANDO LOS  E TENIDO LO HAN SOLUCIONADO EN MENOS DE 2 HORAS	6	7	7	7	6	6	7	6	No	No	No	No	Si	No	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	2.Call center	NA	NA	7	NA	NA	NA	7	No	NA	NA	NA	7	7	10	"3.	Industria"	4	0	Sí
etvWQzSXRFBn	AP	GGEE	Entel	SI -> CONTINUAR	Entel,Otros	3	PORQUE LA ATENCIÓN ES MALA, NO QUIEREN BAJARLOS PRECIOS DEL SERVICIO	5	4	4	6	2	2	4	3	Si	Si	No	Si	No	Si	5	6	NA	5	NA	5	1.Ejecutivo asignado para su empresa	3.Página Web <b>{#\.Principal}</b> Empresas	NA	1.Ejecutivo asignado para su empresa	NA	1.Ejecutivo asignado para su empresa	6	4	4	NA	5	7	Sí	CAÍDA DE SEÑAL, COBERTURA, LENTO INTERNET	Sí	No	3	9. NS/NR	4	"6.	Servicios"	6	0	Sí
DZNGRMeqfgKK	AV	MEDIANA	Entel	SI -> CONTINUAR	Entel	7	SIEMPRE FUNCIONA BIEN, CON TODO ES MUY RARO QUE TENGAMOS PROBLEMAS CON ENTEL. BUENO CON LA PANDEMIA SE HAN PORTADO BIEN	7	7	7	7	7	7	7	6	Si	Si	Si	Si	No	Si	7	7	7	7	NA	7	1.Ejecutivo asignado para su empresa	3.Página Web <b>{#\.Principal}</b> Empresas	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	NA	1.Ejecutivo asignado para su empresa	7	7	6	NA	7	7	Sí	FU UNA CAÍDA DE TODOS LOS SERVICIOS ESTABAN CAÍDOS.	Sí	Si	7	7	10	"6.	Servicios"	3	0	Sí
WHTaigX1sK0x	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	5	PORQUE IGUAL HAY PROBLEMAS DE SEÑAL HAY PROBLEMAS CON MENSAJES DE TEXTO, PORQUE EL SERVICIO NO ES COMO ANTES LA CALIDAD DEL SERVICIO HA BAJADO.	6	6	5	5	7	7	6	9. NS/NR	Si	No	No	Si	No	No	7	NA	NA	7	NA	NA	4.En tiendas/ sucursales	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	7	NA	7	Sí	PROBLEMA EN LA RECEPCION DE MENSAJERIA,HOY EN DIA LOS BANCOS FUNCIONAN CON LA TERCERA CLAVE,  CON ENTEL SE ME PRESENTA QUE ESAS TERCERAS CLAVES NO LLEGAN  Y MENSAJES DE TERCERAS PERSONAS QUE TAMPOCO LLEGAN.	Sí	No	5	5	7	"7.	Transporte"	2	0	No
6mbMz9nTUHdz	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	7	PORQUE NUNCA A TENIDO PROBLEMAS,DE LINEAS, SERVICIOS, PAGOS, DE NADA	7	7	6	7	9. NS/NR	9. NS/NR	9. NS/NR	7	No	No	No	Si	No	No	NA	NA	NA	7	NA	NA	NA	NA	NA	2.Call center	NA	NA	NA	7	NA	NA	NA	7	No	NA	NA	NA	7	7	10	"3.	Industria"	10	0	No
mCMu94UokZaV	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	6	PORQUE ES CASI BUENA. HEMOS TENIDO BASTANTES BENEFICIOS	6	6	6	6	6	7	7	6	No	No	No	No	No	Si	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	3.Página Web <b>{#\.Principal}</b> Empresas	NA	NA	NA	NA	NA	6	No	NA	NA	NA	6	6	5	"6.	Servicios"	10	0	No
s5hnUCbYrMd3	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	6	PORQUE NUNCA HE TENIDO PROBLEMAS ,LOS COSTOS SON RAZONABLES, LOS SERVICIOS SIEMPRE HAN SIDO BUENOS, NUNCA HE TENIDO PROBLEMAS DE CONECTIVIDAD, NI DE CAMBIO DE EQUIPOS	6	6	6	6	5	5	6	6	No	Si	Si	No	No	Si	NA	6	6	NA	NA	6	NA	3.Página Web <b>{#\.Principal}</b> Empresas	3.Página Web <b>{#\.Principal}</b> Empresas	NA	NA	3.Página Web <b>{#\.Principal}</b> Empresas	NA	NA	6	NA	NA	6	No	NA	NA	NA	6	6	9	"6.	Servicios"	7	0	No
DTt3lbBzXrEj	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel,Claro	7	PORQUE TUVE OTRAS COMPAÑIAS Y FUE PESIMO TIENE BUENA COBERTURA EN LOS CAMPOS EN LA CIUDAD EN GENERAL HAY BUENA COBERTUTRA 100% APROBADO NO SOLO POR MI SINO POR MIS COLEGAS YO HE ESTADO CON CLARO Y ES PESIMO POR ESO LE DIGO QUE ENTEL ES MUY BUENO	7	7	6	7	7	7	7	6	No	Si	No	Si	No	No	NA	7	NA	7	NA	NA	NA	3.Página Web <b>{#\.Principal}</b> Empresas	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	NA	7	7	No	NA	NA	NA	6	7	10	"8.	Comercio (al por mayor y menor)"	11	0	No
Wzzb6lf0Txsq	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel,Otros	7	PORQUE NUNCA A TENIDO PROBLEMAS CON ENTEL DE COMUNICACIÓN, BUEN SERVICIO EN GENERAL	7	6	7	7	7	5	7	9. NS/NR	No	Si	Si	Si	No	No	NA	7	7	7	NA	NA	NA	5.App Administradores Empresa	5.App Administradores Empresa	2.Call center	NA	NA	NA	7	7	NA	7	7	No	NA	NA	NA	7	7	10	"6.	Servicios"	5	0	No
DttPvoEozD2r	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	6	POR QUE ME GUSTARIA QUE FUERAN MAS ECONOMICOS ,	6	7	6	6	9. NS/NR	9. NS/NR	9. NS/NR	3	No	Si	Si	No	No	No	NA	5	5	NA	NA	NA	NA	2.Call center	2.Call center	NA	NA	NA	NA	NA	NA	NA	5	5	Sí	EL TEMA DE LA FACTURACION QUE NO APARECIA UN MOONTO QUE NO CORRESPONDIA	No	NA	6	6	8	"6.	Servicios"	7	0	Sí
eaB7K0hzcRGW	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel,Otros	7	CUANDO HE TENIDO PROBLEMAS  HAN SIDO RESUELTOS.	7	7	5	6	5	6	6	4	No	No	No	Si	No	Si	NA	NA	NA	7	NA	7	NA	NA	NA	4.En tiendas/ sucursales	NA	2.Call center	NA	NA	6	NA	NA	7	No	NA	NA	NA	7	7	10	"5.	Salud"	7	0	No
GY3ssYikjZJX	MasPrem	PEQUEÑA	Entel	SI -> CONTINUAR	Entel,Otros	7	TENGO DISPOSITIVOS MÓVILES E INTERNET Y COBERTURA EN TODAS LAS PARTES DE CHILE	7	5	5	5	5	5	5	5	Si	No	No	Si	No	No	7	NA	NA	7	NA	NA	4.En tiendas/ sucursales	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	7	NA	7	No	NA	NA	NA	6	7	8	"6.	Servicios"	5	0	No
PbzMMKJvEJhx	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	7	PORQUE NUNCA HE TENIDO  PROBLEMA. SIEMPRE ME HAN  SOLUCIONADO  TODO  LO QUE YO HE PEDIDO  ME  HAN  HECHO  DESCUENTO EN UNAS TARIFAS.	7	7	6	7	6	6	6	6	Si	Si	No	Si	No	Si	7	7	NA	7	NA	7	4.En tiendas/ sucursales	3.Página Web <b>{#\.Principal}</b> Empresas	NA	4.En tiendas/ sucursales	NA	4.En tiendas/ sucursales	NA	NA	6	7	NA	6	No	NA	NA	NA	7	7	9	"3.	Industria"	15	0	Sí
QZqcdpKyEtIR	MP	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	4	POR SEÑAL Y POR ATENCIÓN NO TIENE SEÑAL DENTRO DE SANTIAGO Y LA ATENCIÓN ES POR INCORPORAL A LA GENTE LA LENTITUD	6	4	4	3	6	6	6	6	Si	Si	No	Si	No	No	3	6	NA	4	NA	NA	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	NA	1.Ejecutivo asignado para su empresa	NA	NA	4	NA	6	NA	NA	7	No	NA	NA	NA	6	6	6	"3.	Industria"	0	4	Sí
pwJ3UANk0IvL	MP	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	6	MUCHAS COSA QUE NO HAN SIDO SUPERADA POR LA EJECUTIVA, LA POST VENTA ES MALA, AL MOMENTO DE REVISAR LA CUENTAS O INFORMACIÓN NO RESPONDE, NO MANDA MAIL, COMUNICACIÓN BIEN, PERSONAL MAL, LOS EJECUTIVOS MAL	7	7	6	6	6	6	6	6	No	Si	No	No	No	No	NA	5	NA	NA	NA	NA	NA	3.Página Web <b>{#\.Principal}</b> Empresas	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	No	NA	NA	NA	6	6	8	"6.	Servicios"	0	6	Sí
FNFqBZZzPK76	MV	GGEE	Entel	SI -> CONTINUAR	Entel	7	EL SERVICIO ES OPTIMO, NO HAY NINGÚN TIPO DE PROBLEMA CON EL. NO TENGO QUEJA NI RECLAMO.	7	7	7	7	7	7	7	9. NS/NR	Si	Si	Si	Si	No	No	7	7	7	7	NA	NA	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	3.Página Web <b>{#\.Principal}</b> Empresas	1.Ejecutivo asignado para su empresa	NA	NA	7	NA	NA	NA	NA	7	No	NA	NA	NA	7	7	10	"6.	Servicios"	0	0	Sí
0NoXu8NZkAIS	AV	GGEE	Entel	SI -> CONTINUAR	Entel	7	POR PRECIO CALIDAD DE LA SEÑAL SERVICIO Y POST VENTA	7	7	7	7	7	7	7	7	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	7	10	"3.	Industria"	10	0	Sí
pEc3JZWBV5H7	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	5	LA CALIDAD HA ESTADO MUY VARIABLE. COMPRE DOS APARATOS HACE DIEZ DÍAS Y NO LLEGAN.	7	6	5	6	7	7	6	5	Si	Si	No	Si	No	No	5	7	NA	7	NA	NA	2.Call center	3.Página Web <b>{#\.Principal}</b> Empresas	NA	2.Call center	NA	NA	NA	6	6	NA	NA	6	Sí	DE RED, ME REFIERO ESTA INTERMITENTE O SE CORTA.	Sí	Si	5	5	6	"3.	Industria"	10	0	No
r3oq2SfHIH8y	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	6	PORQUE TODO NO ES PERFECTO PARA PONERLE 7.	6	6	6	6	6	6	6	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	NA	6	7	No	NA	NA	NA	6	6	8	"6.	Servicios"	4	0	No
FcYhg7orRYwH	Mas	MICRO	Entel	SI -> CONTINUAR	Entel	7	ME HAN DADO FACILIDADES Y BENEFICIOS ECONÓMICOS POR EL TIEMPO QUE LLEVO	7	7	7	7	7	7	7	7	No	No	No	Si	No	Si	NA	NA	NA	7	NA	7	NA	NA	NA	1.Ejecutivo asignado para su empresa	NA	1.Ejecutivo asignado para su empresa	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	7	10	"7.	Transporte"	7	0	No
FkyoEnHZFZDS	AP	MEDIANA	Entel	SI -> CONTINUAR	Entel	6	PORQUE  SIEMPRE ES MEJORABLE Y PERFECTIBLE.	7	6	7	5	6	6	7	5	Si	Si	Si	Si	No	No	6	6	6	6	NA	NA	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	NA	NA	6	NA	NA	NA	NA	6	No	NA	NA	NA	7	6	10	"1.	Agro"	20	0	No
VEIJXLsL8fpD	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	7	EN COMPARACIÓN A OTRAS COMPAÑÍAS QUE TUVIMOS FUE LA MEJOR QUE SE DESEMPEÑO EN SERVICIO DE CONECTIVIDAD E INTERNET	7	7	7	6	6	7	7	7	Si	No	No	No	No	No	7	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	7	9	"6.	Servicios"	2	0	Sí
FNSs2CWoOdAJ	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	5	POR LA CALIDAD DEL SERVICIO ULTIMAMENTE DESDE EL AÑO PASADO QUE HAY PROBLEMAS DE SEÑAL, YO CREDO QUE CALIDAD VERSUS COSTO ES BASTANTE DEFICIENTE.	4	4	4	3	4	5	4	3	No	No	Si	No	No	Si	NA	NA	6	NA	NA	4	NA	NA	3.Página Web <b>{#\.Principal}</b> Empresas	NA	NA	2.Call center	NA	5	5	NA	NA	5	Sí	PROBLEMAS DE SEÑAL, NO HAY SEÑAL.	Sí	No	3	4	4	"7.	Transporte"	6	0	9. NS/NR
WhFb8XZ7DNmV	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	3	PORQUE A VECES NO LE BIEN EL INTERNET Y DE REPENTE SE CORTAN LAS LLAMADA Y SE ESCUCHA CON INTERFERENCIA,SIEMPRE DICEN QUE LLAMARAN Y NO LO HACEN Y DE VUELTA A LLAMAR	5	5	4	4	6	7	5	9. NS/NR	No	Si	No	No	Si	No	NA	6	NA	NA	4	NA	NA	2.Call center	NA	NA	2.Call center	NA	NA	5	6	NA	6	6	Sí	INTERNET MUY LENTO Y LA INTERFERENCIAS EN LOS LLAMADOS	Sí	No	4	4	3	"6.	Servicios"	2	0	No
9y4IwyFCxNmE	Mas	MEDIANA	Entel	SI -> CONTINUAR	Entel	3	PORQUE NECESITA ATENCIÓN Y NINGUNA DE LOS CONTACTOS LE HA RESPONDIDO MUY MALA LA ATENCIÓN	5	6	3	1	5	5	5	5	Si	Si	Si	Si	No	No	1	1	1	1	NA	NA	99. NS/NR	3.Página Web <b>{#\.Principal}</b> Empresas	3.Página Web <b>{#\.Principal}</b> Empresas	3.Página Web <b>{#\.Principal}</b> Empresas	NA	NA	NA	NA	NA	NA	NA	5	Sí	NAVEGACIÓN DE INTERNET LENTO, Y LOS PLANES OFRECIDOS SON LIMITADOS	No	NA	5	3	3	"3.	Industria"	4	0	No
J5WsaebCb4uw	AV	GGEE	Entel	SI -> CONTINUAR	Entel	7	RAPIDEZ EN EL SERVICIO  Y COBERTURA, PRECIO.	7	6	5	7	7	7	7	5	Si	Si	Si	Si	No	No	7	7	7	7	NA	NA	1.Ejecutivo asignado para su empresa	3.Página Web <b>{#\.Principal}</b> Empresas	3.Página Web <b>{#\.Principal}</b> Empresas	1.Ejecutivo asignado para su empresa	NA	NA	7	NA	6	NA	5	6	No	NA	NA	NA	6	6	9	"3.	Industria"	6	0	Sí
4LqTtpBS9Avn	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	6	PORQUE EL SERVICIO ES EXCELENTE NO TIENE PROBLEMAS DE CARGO O DE COBROS SOLO QUE EL SERVICIO COMPARADO CON OTROS ES MAS CARO	7	7	7	7	5	5	6	5	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	6	6	9	"8.	Comercio (al por mayor y menor)"	6	0	No
tbhDB9ZZYmbX	MP	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	2	PORQUE NO HA TENIDO CONTACTO CON LA EMPRESA DESPUÉS DE LA CONTRATACIÓN DEL SERVICIO, NO LO LLAMAN PARA NADA NI SIQUIERA PARA OFRECERLE CAMBIO DE PLAN	6	6	4	2	3	3	2	3	No	No	No	Si	No	No	NA	NA	NA	3	NA	NA	NA	NA	NA	2.Call center	NA	NA	NA	4	NA	NA	NA	5	No	NA	NA	NA	5	3	5	"6.	Servicios"	3	0	No
mOu9l9V3CtOl	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	7	PORQUE NUNCA A TENIDO PROBLEMAS,  BUEN SERVICIO EN GENERAL, FUSIONA MUY BIEN TODO	7	7	7	6	5	5	7	4	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	6	NA	NA	7	No	NA	NA	NA	7	7	7	"6.	Servicios"	7	0	No
VWra8UBnYMTW	AV	GGEE	Entel	SI -> CONTINUAR	Entel	7	TIENEN UN BUEN SERVICIO	6	7	7	7	6	9. NS/NR	7	7	No	Si	No	No	No	No	NA	4	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	5	4	6	6	NA	6	No	NA	NA	NA	7	7	6	"6.	Servicios"	8	0	Sí
KsYzw17kpWNQ	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	6	PORQUE NO HE TENIDO PROBLEMAS , NO HE TENIDO PROBLEMAS TÉCNICO NI ADMINISTRATIVOS	7	6	5	6	6	7	5	5	No	No	No	Si	No	Si	NA	NA	NA	7	NA	7	NA	NA	NA	2.Call center	NA	2.Call center	NA	6	5	NA	NA	6	No	NA	NA	NA	6	6	9	"6.	Servicios"	8	0	Sí
PmTpZnyNmuso	Mas	GGEE	Entel	SI -> CONTINUAR	Entel	6	PORQUE EL PRECIO EN SERVICIO BIEN POR ESE LADO , IGUAL TIENE CARENCIA EL SERVICIO A VECES LA SEÑAL O MALA INTERPRETACIÓN CON LAS CUENTAS,ENTRE LA CANTIDAD DE SERVIO QUE TENGO ES UN PRECIO RAZONABLE A OTRAS EMPRESA	6	6	6	5	5	5	5	5	No	Si	No	No	No	No	NA	7	NA	NA	NA	NA	NA	3.Página Web <b>{#\.Principal}</b> Empresas	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	6	6	6	"4.	Instituciones"	0	8	No
A8ipga1Ngbdd	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel	4	PORQUE TUVO PROBLEMAS CON LA CUENTA QUE, LE ESTABAN COBRANDO UN PLAN QUE NO TENIA CONTRATADO DESDE EL AÑO PASADO Y SE EMPEZÓ A DAR CUENTA POR LA CANTIDAD DE DINERO QUE ESTABA PAGANDO, LO SOLUCIONO PERO A TRAVÉS DE UN RECLAMO A SISTEL	7	6	5	5	4	4	4	5	No	Si	No	Si	No	No	NA	5	NA	5	NA	NA	NA	3.Página Web <b>{#\.Principal}</b> Empresas	NA	2.Call center	NA	NA	NA	NA	5	NA	NA	6	Sí	COBRO DE ACTIVACIÓN DE LINEA, SIN HABERLO CONTRATADO	Sí	Si	5	5	5	"6.	Servicios"	7	0	No
EP6TddqIWRDK	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel,Movistar	5	POR UN PROBLEMA DE PRECIO ES MUCHO MAS CARA QUE MOVISTAR,NO PUES LOS SERVICIO QUE PRESTAN IGUAL CANTIDAD ES IGUAL QUE MOVISTAR LO QUE PASA ES QUE LA CALIDAD ES MEJOR	6	6	4	5	4	5	5	5	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	5	NA	4	6	Sí	EL PROBLEMA OTRA SIM CAR Y PARA RECUPERARLA TUVE 3 SEMANAS SIN TELÉFONO Y NI PÁGINA WEB Y CALL CENTER HORRIBLE, Y COSTO ENCONTRARLA (PROBLEMAS DE AUDIO)	No	NA	5	5	5	"6.	Servicios"	5	0	No
gV6wiIXhw2nG	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Entel,Movistar	6	PORQUE  HACE MUCHOS AÑOS CON ENTEL Y NUNCA HE TENIDO PROBLEMAS CON LA COBERTURA Y CON LA FORMA EN QUE ME COBRAN	6	7	6	6	7	9. NS/NR	9. NS/NR	9. NS/NR	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	6	7	10	"6.	Servicios"	20	0	No
