Column1	encriptado	...2	SEGMENTO GOL	SEGMENTO CORFO	Principal compañía	Filtro1 - Filtro 1: ¿Es usted la persona que administra la (s) cuenta (s) que su empresa tiene con el (los) operadores de productos o servicios móviles?	P1__1 - A: Internet Banda Ancha :	P1__2 - B: Telefonía Fija :	P1__3 - C: Red privada de datos/Transmisión de datos (MPLS) :	P1__4 - 'D: Servicios de Data Center y almacenamiento Cloud (servicios de alojamiento, arriendo, monitoreo y administración de servidores físicos o virtuales)' :	P1__5 - 'E: Servicios de correo electrónico, videoconferencias, creación y edición de documentos en línea y de manera colaborativa' :	P2__1 - A: Internet Banda Ancha :	P2__2 - B: Telefonía Fija :	P2__3 - C: Red privada de datos/Transmisión de datos (MPLS) :	P2__4 - 'D: Servicios de Data Center y almacenamiento Cloud (servicios de alojamiento, arriendo, monitoreo y administración de servidores físicos o virtuales)' :	P2__5 - 'E: Servicios de correo electrónico, videoconferencias, creación y edición de documentos en línea y de manera colaborativa' :	EMPTY LABEL - No Information Provided...17	EMPTY LABEL - No Information Provided...18	3. Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 =  Muy insatisfecho y 7 =  Muy satisfecho, ¿Cuán satisfecho está Ud. con {#Principal}?	"P4 - 4.	¿Por qué evalúa con esa nota? LITERAL"	P5__1 - a) {#Principal} es una empresa con buena imagen en general :	P6 - 6. Pensando en el funcionamiento del servicio {#P6txt},¿con qué nota de 1 a 7 evalúa el Funcionamiento de este servicio en general?	"P7 - 7.	Y en lo que respecta  a Servicio a Clientes, en escala de 1 a 7 ¿cuán satisfecho está Ud…. {#Principal}{#Princ_text}?"	"P9__1 - a)	Precio en relación al mercado (Competitividad) :"	"P9__2 - b)	Competitividad de planes en cuanto a minutos :"	"P8__3 - c)	Competitividad de planes en cuanto a Internet banda ancha fija :"	P9__1 - Contratación de nuevos servicios :	P9__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) :	P9__4 - Consultas del contrato/ alcances del contrato/ condiciones del contrato :	P9__5 - Consultas sobre seguimiento o estado de solicitudes :	"P10__2 - 'Consultas de la factura; como fechas de pago, montos, detalles de cobros.' :"	P9__7 - Reclamos por fallas  técnicas de los servicios fijos :	P10__1 - Contratación de nuevos servicios :	P10__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) :	P10__4 - Consultas del contrato/ alcances del contrato/ condiciones del contrato :	P10__5 - Consultas sobre seguimiento o estado de solicitudes :	P10__6 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' :	P10__7 - Reclamos por fallas  técnicas de los servicios fijos :	P11__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) :	P11__4 - Consultas del contrato/ alcances del contrato/ condiciones del contrato :	P11__5 - Consultas sobre seguimiento o estado de solicitudes :	P11__6 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' :	P11__7 - Reclamos por fallas  técnicas de los servicios fijos :	P12__1 - 1: Ejecutivo asignado para su empresa :	P12__2 - '2: A través del Call center, empresa' :	P12__3 - 3: P: A través de la web con clave :	P12__4 - 4: En tiendas/ sucursales :	"P16 - FACTURACIÓN: 
       16. En cuanto a la Facturación de todos los servicios móviles que tiene con {#Principal}, en una escala de 1 a 7 ¿Cómo evalúa el proceso de facturación de {#Principal} en general?"	"P17 - PROBLEMAS 
         17. En los últimos 3 meses, ¿ha tenido su empresa algún problema con el servicio entregado por {#Principal}?"	"P15 - 15.	¿Qué problema ha tenido? Sondear LITERAL"	"P19 - 19.	¿Comunicó este problema a {#Principal}?"	"P20 - 20.	¿Y fue solucionado su problema?"	18. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7 significa muy dispuesto, ¿Qué tan dispuesto estaría usted a continuar con {#Principal}{#Princ_text}?	"P24 - 24.	En base a una escala de 0 a 10, donde 0 significa que definitivamente no recomendaría, y 10 que definitivamente si recomendaría, ¿Qué tan dispuesto estaría usted a recomendar a {#Principal}?"	"P_3A - 3) 3)	Para servicios fijos, ¿Hace cuánto tiempo que tiene esta cuenta con {#Principal}{#Princ_text}? 
            AÑOS"	P_3B - MESES	"P_4 - 4)	¿ Pensando en su relación con {#Principal}{#Princ_text} ¿Tiene asignado un ejecutivo para sus necesidades comerciales y/o de post venta?"	Bench
1267	Pm381SYzkr75	44013	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	Entel	NA	NA	Otra ¿Cúal?	NA	NA	7	PORQUE NO HEMOS TENIDO PROBLEMAS Y HEMOS TENIDO UN BUEN SERVICIO.	6	7	7	6	6	6	No	No	Si	No	No	No	NA	NA	7	NA	NA	NA	NA	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	NA	NA	NA	NA	6	7	NA	7	No	NA	NA	NA	7	10	5	0	No	fijo
1268	KoHkmKVVp6WB	44013	AV	MEDIANA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Entel	NA	NA	NA	NA	NA	6	EN GENERAL FUNCIONA  BIEN, EL SERVICIO TÉCNICO  TAMBIÉN  ES BUENO	6	7	7	7	7	7	Si	No	No	Si	Si	No	7	NA	NA	7	7	NA	NA	NA	1. Ejecutivo asignado	1. Ejecutivo asignado	NA	7	7	NA	NA	7	No	NA	NA	NA	7	10	6	0	Sí	fijo
1269	JNStWis18tk4	44013	MP	MEDIANA	Entel	SI -> CONTINUAR	Sí	Sí	No	Sí	Sí	Entel	Entel	NA	Entel	Entel	NA	NA	7	la verdad es que el servicio ofrecido de de 400 mg de velocidad de internet y con eso no hemos tenido problemas de que se nos caiga, desde hace 2 años y medios no hemos detectado ningún día algún corte ni suspensión del servicio, tanto de telefonía, del internet como la base de datos de manejo de correo . la velocidad de internet es bastante buena, es constante no hemos tenido bajas.	5	7	6	5	7	7	Si	Si	No	No	No	No	6	7	NA	NA	NA	NA	2. A través del Call center, empresa	NA	NA	NA	NA	NA	NA	NA	NA	6	No	NA	NA	NA	7	10	3	99	Sí	fijo
1270	nxNM6JGdMAC8	44013	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Telefónica/ Movistar	NA	NA	NA	NA	NA	6	PORQUE HE INTENTADO UNIR TELEFONOS A INTERNET NO SE PUEDEN PORTAR	6	6	5	6	6	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	No	NA	NA	NA	7	9	1	0	No	fijo
1271	kIEcuytnQGI8	44013	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	Entel	NA	NA	Entel	NA	NA	6	porwue bueno yo tube otra compañia tengo el punto de comparacion es la que mejor me ds cobertura y servicio post venta y servicio al cliente muy bueno. fibra optica un poco inestable que linea de cable. contenta con servicio	7	6	7	6	6	9. NS/NR	No	No	No	Si	Si	Si	NA	NA	NA	7	7	6	NA	NA	2. A través del Call center, empresa	2. A través del Call center, empresa	2. A través del Call center, empresa	NA	6	NA	NA	7	Sí	cuando instalaron fibra optica habian puesto codiga que no pertenecia a direecion y usuario se quiso salir y se dio de baja el servio se lo cortaron a la usuaria	No	NA	7	9	5	0	No	fijo
1272	giArbiOMMIWi	44013	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	Sí	No	Sí	Entel	Entel	Entel	NA	Otra ¿Cúal?	NA	NA	6	porque la verdad a sido un buen servcio siempre falta algo y uno tiene una inquietud, hemos tenido algunos problemas que hemos tenido , he tratado de comunicarme por telefono y no a siido posible , problemas con la factura se han cobrado servicios dos veses y hemos tenido algunos problemas, no es posible de forma presencial arreglar el problema y no se puede producto a la pandemia.	7	7	6	7	6	6	No	Si	No	No	Si	Si	NA	6	NA	NA	6	6	2. A través del Call center, empresa	NA	NA	2. A través del Call center, empresa	2. A través del Call center, empresa	NA	6	NA	NA	5	No	NA	NA	NA	6	10	5	0	9. NS/NR	fijo
1273	nRk9HG17GVkk	44013	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Entel	NA	NA	NA	NA	NA	5	la verdad tenemos problemas con la señal . desde marzo tenemos problemas con la señal	6	5	6	6	7	6	Si	No	No	No	No	No	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	6	No	NA	NA	NA	7	7	1	0	No	fijo
1274	5OSvbIzDydRe	44013	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Entel	NA	NA	NA	NA	NA	7	FUNCIONA LO QUE PROMETEN, NO HAN TENIDO PROBLEMAS Y SON CLIENTES HACE UN AÑO, YNO HAN TENIDO NINGUN PROBLEMA CON EL SERVICIO	7	7	7	5	7	5	No	No	Si	No	No	No	NA	NA	7	NA	NA	NA	NA	2. A través del Call center, empresa	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	6	9	1	6	Sí	fijo
1275	OGyijwxeJg0j	44013	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Entel	NA	NA	NA	NA	NA	5	POR COSTO, PORQUE SON ELEVADOS Y NO SON ACCESIBLES Y LA CONECTIVIDAD FALLA MUCHO AQUÍ EN LA CASA	4	6	4	3	5	5	No	Si	No	No	No	No	NA	5	NA	NA	NA	NA	4. En tiendas/ sucursales	NA	NA	NA	NA	NA	NA	6	NA	7	Sí	FALLAS DE CONECTIVIDAD, WOM ESTA OFRECIENDO MEJORES PLANES Y ESTOY PENSANDO EN CAMBIARME, SOLO NO LO HE HECHO POR LA PANDEMIA.	No	NA	5	5	1	0	No	fijo
1276	zA2aJ2wQdEWC	44013	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	Sí	No	No	Entel	Telefónica/ Movistar	Entel	NA	NA	NA	NA	5	porque la señal aveces no es muy buena	5	5	6	3	3	3	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	No	NA	NA	NA	5	6	12	0	Sí	fijo
1277	jKdTRRQNorl3	44013	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	Sí	Sí	Entel	VTR	NA	Entel	Entel	NA	NA	7	POR CADA VEZ QUE HE REQUERIDO ALGÚN SERVICIO HA SIDO RESUELTO Y DE MUCHA AYUDA ANTE SUS NECESIDADES. Y CUANDO HE IDO A SUCURSAL ME ATIENDE UNA SEÑORITA QUE ME HA AYUDADO MUCHO	7	7	7	5	7	6	Si	No	No	Si	No	No	7	NA	NA	7	NA	NA	NA	NA	4. En tiendas/ sucursales	NA	NA	NA	NA	NA	7	7	No	NA	NA	NA	7	10	1	5	No	fijo
1278	xCnraj6re48P	44013	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	No	Sí	Sí	Entel	Entel	NA	Otra ¿Cúal?	Otra ¿Cúal?	NA	NA	3	HE TENIDO MUCHOS PROBLEMAS COMERCIALES EN RELACIÓN A LAS CONDICIONES COMERCIALES PACTADAS. EN LOS TIEMPOS DE RESPUESTAS MUY LENTOS. MUY MALOS LO TIEMPOS DE RESPUESTAS.	6	5	4	6	6	6	Si	No	No	Si	Si	Si	1	NA	NA	5	5	2	NA	NA	1. Ejecutivo asignado	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	1. Ejecutivo asignado	NA	4	5	NA	4	No	NA	NA	NA	3	4	1	0	Sí	fijo
1279	cct24qfBIDiC	44013	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Entel	NA	NA	NA	NA	NA	5	por servicio buena cobertura	5	5	5	6	6	5	Si	Si	No	Si	Si	No	6	5	NA	5	5	NA	2. A través del Call center, empresa	NA	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	2. A través del Call center, empresa	NA	NA	6	NA	NA	6	No	NA	NA	NA	5	5	1	6	No	fijo
1280	ppNyFVLjuKyD	44013	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	Entel	NA	NA	Otra ¿Cúal?	NA	NA	5	LA ULTIMAS VECES NO ME HA ENTREGADO LOS SERVICIOS QUE HE REQUERIDO,POR EJEMPLO EN UNA SUCURSAL EN PROVIDENCIA NO FUERON CAPACES DE ADMINISTRAR UN SERVICIO DE INTERNET DEDICADO, Y EN LAS OTRAS SUCURSALES QUE TENGO CONTRATADOS SERVICIOS DE BANDA ANCHA NO SON CAPACES ENTREGAR SERV DE BANDA ANCHA ESTANDO EN PLENO CENTRO DE SANTIAGO	6	6	4	6	6	6	No	No	Si	Si	Si	Si	NA	NA	3	2	4	2	NA	1. Ejecutivo asignado	1. Ejecutivo asignado	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	1. Ejecutivo asignado	2	5	6	NA	6	Sí	SE NOS CORTO LA FIBRA ÓPTICA EN UNA SUCURSAL, QUEDAMOS SIN NINGUN SERVICIO DE ENTEL POR UN MES.	Sí	Si	6	7	12	0	Sí	fijo
1281	bVRmoM7x0dHR	44013	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	No	No	Sí	Sí	Entel	NA	NA	Otra ¿Cúal?	Otra ¿Cúal?	NA	NA	6	mejor atencion presencial	7	7	6	7	7	7	No	No	No	No	Si	Si	NA	NA	NA	NA	7	7	NA	NA	NA	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	2. A través del Call center, empresa	NA	NA	NA	7	5	No	NA	NA	NA	6	10	1	99	9. NS/NR	fijo
1282	IWQrAq2XH7uW	44013	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Entel	NA	NA	NA	NA	NA	3	Porque en estos tiempos han aumentado los precios y lamentablemente tengo cerrados los locales, entonces tengo que pagar algo que no ocupo y más caro. Tampoco han ofrecido ayuda monetaria por el tema de la pandemia	3	3	3	1	1	1	Si	No	No	Si	Si	No	3	NA	NA	3	6	NA	NA	NA	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	NA	NA	NA	3	NA	6	No	NA	NA	NA	3	3	1	6	No	fijo
1283	cDHk580z1ScM	44013	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	No	Sí	Sí	Entel	Entel	NA	Entel	Entel	NA	NA	4	POR LA INTERMITENCIA EN EL WIFI, QUE SE CAE MUCHAS VECES EN EL DIA.	6	4	1	3	3	1	No	No	Si	No	Si	Si	NA	NA	6	NA	6	1	NA	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	NA	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	2. A través del Call center, empresa	NA	NA	NA	NA	6	No	NA	NA	NA	6	4	1	0	No	fijo
1284	4PiKTlPNQh85	44013	MV	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	GTD/ Manquehue	NA	NA	NA	NA	NA	7	POR QUE NO TIENE CAÍDAS DE SISTEMA.	7	7	7	6	9. NS/NR	6	Si	No	No	No	No	No	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	7	0	8	No	fijo
1285	jP9yFUsifSxW	44013	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	Entel	NA	NA	Entel	NA	NA	7	PORQUE TIENE BUENA COBERTURA Y BUENA SEÑAL, AL MENOS DONDE LA USAMOS NOSOTROS, AHORA EN OTRAS PARTES Y OTRAS LOCALIDADES NO PASA NADA, NOSOTROS ESTAMOS EN EL CENTRO CON ENTEL Y AHÍ ANDA BIEN	7	7	7	7	7	7	No	No	No	No	Si	No	NA	NA	NA	NA	7	NA	NA	NA	NA	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	NA	NA	NA	7	NA	7	No	NA	NA	NA	7	10	0	6	9. NS/NR	fijo
1286	ZdQgNMxXoGLo	44013	AV	MEDIANA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Entel	NA	NA	NA	NA	NA	3	EL SERVICIO ES PÉSIMO, EL CALL CENTER, LOS TIEMPOS DE RESPUESTA. NO ME CAMBIOO PORUE ME TIENEN AMARRADO A UN CONTRATO	3	4	2	4	1	4	Si	Si	Si	Si	Si	Si	3	1	1	3	3	1	2. A través del Call center, empresa	2. A través del Call center, empresa	2. A través del Call center, empresa	2. A través del Call center, empresa	2. A través del Call center, empresa	3	1	NA	NA	3	Sí	CAIDAS DE LINEA, DE LA FIBRA OPTICA, UNA VES AL MES SUCEDE. QUE SI TUVIERA LA OPORTUNIDAD DE CAMBIARME LO HARIA ENSEGUIDA, PORQUE ME TIENE AMARRADO CON EL CONTRATO. Y ESAS COSAS SON MOLESTAS Y TENER EMPATIA CON EL CLIENTE. ES UN TEMA DE PESIMA ATENCION, NO ES POR EL PRECIO, EL CLIENTE SIENTE UN POSICION ABUSIVA DE PARTE DE ENTEL.	Sí	Si	1	0	10	0	Sí	fijo
1287	H4JFzKulDPrw	44013	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Entel	NA	NA	NA	NA	NA	5	PORQUE NO QUIERE DEVOLVER EL TELÉFONO FIJO Y NO PUEDE. MAS O MENOS PORQUE SE SATURA DEMASIADO EL TEMA DE LAS COMUNICACIONES. SE CORTA DE REPENTE	6	5	6	6	6	6	Si	No	No	Si	No	Si	6	NA	NA	4	NA	4	NA	NA	2. A través del Call center, empresa	NA	2. A través del Call center, empresa	NA	5	NA	NA	6	Sí	LENTITUD DEL INTERNET Y CORTES QUE SE HAN ORIGINADO POR EXCESO DE SATURACIÓN CORTES DE CABLE.	Sí	Si	6	6	0	5	Sí	fijo
1288	9qFHur8WvEMj	44013	Mas	MEDIANA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Telefónica/ Movistar	NA	NA	NA	NA	NA	5	PORQUE LA SEÑAL ES INTERMITENTE NO ME HE DADO CUENTA CUANDO FUNCIONA BIEN ES PERFECTO PERO SE CAE LA SEÑAL	5	5	5	6	6	5	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	No	NA	NA	NA	6	8	1	6	No	fijo
1289	RNmlaeuqBs1b	44013	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	Entel	NA	NA	Entel	NA	NA	7	PORQUE NO REQUIERO POS VENTA Y NO TENGO  PROBLEMAS DE CONECTIVIDAD, ESTOY CONFORME Y FUNCIONA BIEN EL SERVICIO.	7	7	7	7	7	9. NS/NR	Si	Si	No	No	Si	No	7	7	NA	NA	7	NA	2. A través del Call center, empresa	NA	NA	2. A través del Call center, empresa	NA	NA	7	NA	NA	7	No	NA	NA	NA	7	10	2	0	9. NS/NR	fijo
1290	bOQ7sJgTvUDa	44013	AV	GGEE	Entel	SI -> CONTINUAR	Sí	Sí	No	Sí	Sí	Entel	Entel	NA	Otra ¿Cúal?	Otra ¿Cúal?	NA	NA	7	PORQUE TENGO BUEN SERVICIO TENGO UN EXCELENTE SERVICIO EN ENTEL	6	6	6	6	5	6	Si	No	No	No	No	No	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	7	NA	7	No	NA	NA	NA	6	9	1	0	Sí	fijo
1291	bBu0lLxtASCN	44013	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	Sí	No	No	Entel	Entel	Entel	NA	NA	NA	NA	5	por que hemos tendino problemas con el servicio , saturacion cable fibra optica se hecho a perder.	6	6	6	5	5	5	No	No	No	No	No	Si	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	2. A través del Call center, empresa	NA	NA	NA	NA	7	Sí	problemas con la saturacion de datos hay dias que se cae la señal eso no pasaba antes ahora ultino a ocurrido , se cae la señal y la banda ancha.	Sí	Si	6	7	0	7	Sí	fijo
1292	sMgCnU8VuGuf	44013	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	Entel	NA	NA	Entel	NA	NA	7	LA RAPIDEZ ... NO HAN TENIDO PROBLEMAS DE CORTES Y DE FALLAS	7	7	7	7	7	7	No	Si	No	No	No	No	NA	7	NA	NA	NA	NA	2. A través del Call center, empresa	NA	NA	NA	NA	NA	7	7	NA	7	No	NA	NA	NA	7	10	1	6	No	fijo
1293	6izISdWF6y9r	44013	AV	GGEE	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	GTD/ Manquehue	NA	NA	Otra ¿Cúal?	NA	NA	6	PORQUE EL ENLACE BAJA LA VELOCIDAD ...	7	6	6	6	7	6	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	6	10	0	0	Sí	fijo
1294	9QDELV85avaO	44013	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	No	Sí	Sí	Entel	Claro/ Telmex	NA	Otra ¿Cúal?	Otra ¿Cúal?	NA	NA	5	PORQUE NO DAN NINGUNA SOLUCIÓN PARA LOS MOMENTOS EN LOS QUE ESTAMOS HOY EN DÍA,SOLO COBRAR Y COBRAR, EN OTRAS EMPRESAS TE PUEDES CAMBIAR A OTRO PLAN, YO PAGO COMO 38MIL PESOS PERO HAY PLANES NUEVOS QUE SON DE 12MIL Y YO COMO ANTIGUO NO PUEDO ACCEDER	5	6	5	5	5	5	No	Si	No	No	Si	No	NA	2	NA	NA	2	NA	4. En tiendas/ sucursales	NA	NA	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	NA	NA	2	2	5	7	Sí	POR LA POCA ACCESIBILIDAD DE CAMBIARSE DE PLANES, A UN PLAN MENOR SIENDO ANTIGUO... O DARLES SOLUCIONES PARA SUS PROBLEMAS DE HOY EN DÍA QUE EN LA QUE SE ENCUENTRA, NO HAY UN EJECUTIVO QUE TE ATIENDA POR TELÉFONO, HAY QUE IR A HACER COLA MUY TEMPRANO PORQUE DAN 45 NÚMEROS Y SI NO ALCANZA HAY QUE VOLVER AL OTRO DIA..	No	NA	4	5	10	0	No	fijo
1295	AoTvpSGpunVE	44013	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Entel	NA	NA	NA	NA	NA	5	PORQUE EN GENERAL FUNCIONA BASTANTE EL PROBLEMA SON LAS ESPERAS	6	7	6	6	6	7	No	No	No	Si	No	No	NA	NA	NA	6	NA	NA	NA	NA	2. A través del Call center, empresa	NA	NA	NA	6	NA	NA	5	No	NA	NA	NA	6	7	10	0	Sí	fijo
1296	WVYG9XmNV8Zw	44013	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	Sí	No	Sí	Entel	Entel	Entel	NA	Otra ¿Cúal?	NA	NA	1	PORQUE LA ATENCIÓN AL SERVICIO AL CLIENTE ES PÉSIMA, NO CONTESTAN NUNCA LOS CORREOS, LOS TELÉFONOS, NI LAS REDES SOCIALES. ME COBRARON DOBLE POR UN ROUW QUE NO CONTRATE, SIN QUE YO HICIERA EL PEDIDO, LO TUVE QUE PAGAR, ME HICIERON DOS FACTURA POR 15 MIL PESOS.	3	7	1	3	3	3	No	No	No	Si	Si	Si	NA	NA	NA	1	1	1	NA	NA	2. A través del Call center, empresa	2. A través del Call center, empresa	2. A través del Call center, empresa	NA	1	1	NA	1	Sí	COBRO INDEBIDO Y MALA ATENCIÓN.	Sí	No	1	0	18	10	No	fijo
1297	ehMxjs6OApsJ	44013	AV	GGEE	Entel	SI -> CONTINUAR	Sí	Sí	Sí	No	Sí	Entel	Telefónica/ Movistar	Entel	NA	Otra ¿Cúal?	NA	NA	7	PORQUE ES UNA EMPRESA QUE RESPONDE RAPIDO, LA CALIDAD ES MUY BUENA. ES UN SERVICIO ESTABLE.	6	7	7	6	7	7	Si	Si	No	No	Si	No	7	6	NA	NA	7	NA	1. Ejecutivo asignado	NA	NA	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	NA	7	6	7	NA	7	No	NA	NA	NA	6	9	12	0	Sí	fijo
1298	7s2wNUzSSIi9	44013	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	Sí	No	No	Entel	Entel	Entel	NA	NA	NA	NA	7	Porque no hemos quedado sin servicio de internet durante este problema. No hemos tenido ningún tipo de problema	7	7	7	6	5	5	No	Si	No	Si	No	No	NA	6	NA	7	NA	NA	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	NA	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	NA	NA	7	6	7	NA	7	No	NA	NA	NA	7	9	8	0	Sí	fijo
1299	QarPfzO59vji	44013	AV	GGEE	Entel	SI -> CONTINUAR	Sí	Sí	Sí	Sí	Sí	Entel	Entel	Entel	Entel	Otra ¿Cúal?	NA	NA	6	PORQUE SON POCOS LOS PROBLEMAS QUE TENEMOS CON ELLOS, Y SI TENEMOS, RESPONDEN RÁPIDO PERO LOS PRECIOS SON ALTOS COMPARADOS CON EL MERCADO EN GENERAL.	7	7	7	5	5	5	Si	No	No	Si	No	No	6	NA	NA	6	NA	NA	NA	NA	1. Ejecutivo asignado	NA	NA	6	NA	NA	NA	7	No	NA	NA	NA	6	8	5	0	Sí	fijo
1300	JKFoSfbs904x	44013	Mas	MICRO	Entel	SI -> CONTINUAR	Sí	Sí	No	No	No	Entel	Entel	NA	NA	NA	NA	NA	7	PORQUE ELSERVICIO BUENO, RAPIDO Y ES ECONOMICO.	7	7	7	6	6	7	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	No	NA	NA	NA	7	7	20	0	No	fijo
1301	VwSpML5NLOgU	44013	AV	MEDIANA	Entel	SI -> CONTINUAR	Sí	Sí	Sí	No	No	Entel	Entel	Entel	NA	NA	NA	NA	7	PORQUE NO HE TENIDO INCONVENIENTES EN TEMA DE SERVICIOS EN SEÑALES LA RESPUESTA ES BUENA, LLEVAMOS BASTANTE TIEMPO CON ENTEL	7	7	7	7	7	7	Si	No	No	No	No	No	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	7	7	NA	7	No	NA	NA	NA	7	10	9	0	Sí	fijo
1302	4ePWXmz9wYYM	44013	Mas	PEQUEÑA	Entel	SI -> CONTINUAR	Sí	Sí	No	No	Sí	Entel	Entel	NA	NA	Otra ¿Cúal?	NA	NA	6	PORQUE TENGO UN TELFONO QUE ESTA DEPLAZADO EN OTRO LUGAR Y LA CUESTION PASA MALA, PASA CORTADA, SE CORTA , SE CAE LA CONEXION. EL DE LA OFICINA FUNCIONA BIEN	6	6	7	6	6	6	No	No	Si	No	Si	Si	NA	NA	7	NA	7	7	NA	2. A través del Call center, empresa	NA	2. A través del Call center, empresa	2. A través del Call center, empresa	NA	7	NA	NA	5	Sí	SE DESCONFIGURA CADA CIEDRTO TIEMPO SUS INSTALACION EL NUMERO , SE CORTO LA FIBRA OPTICA AEREA, INGTEVENCION DE OTRAS COMPAÑIAS O PERSONAL, LAS DESCONECTARON .	Sí	Si	5	4	6	0	No	fijo
1303	inB8jUtrqK1F	44013	AV	MEDIANA	Entel	SI -> CONTINUAR	Sí	No	No	Sí	Sí	Entel	NA	NA	Entel	Entel	NA	NA	7	Porque es muy buen servicio, no hemos tenido problemas a la fecha.	7	7	7	7	7	7	No	No	Si	No	Si	No	NA	NA	7	NA	7	NA	NA	1. Ejecutivo asignado	NA	3. A través de la web con clave <b>{#\.Principal}{#\.Princ_text}</b> Empresas	NA	7	NA	7	NA	7	No	NA	NA	NA	7	10	12	0	Sí	fijo
