encriptado	SEG_CORFO_FINAL	CL_SEGMENTO_GOL_original	P36	sex_enc	P27	F1	P1	P1._5	P2	P3	P4	P4_COD	P5[{_1}].resP5	P5[{_2}].resP5	P5[{_3}].resP5	P5[{_4}].resP5	P5[{_5}].resP5	P6	P7	P8[{_1}].resP8	P8[{_2}].resP8	P8[{_3}].resP8	P8[{_4}].resP8	P9	P10	P11[{_1}].rp11	P11[{_2}].rp11	P11[{_3}].rp11	P11[{_4}].rp11	P11[{_5}].rp11	P11[{_6}].rp11	P11[{_7}].rp11	P11[{_8}].rp11	P12[{_1}].rp12	P12[{_2}].rp12	P12[{_3}].rp12	P12[{_4}].rp12	P12[{_5}].rp12	P12[{_6}].rp12	P12[{_7}].rp12	P12[{_8}].rp12	P13[{_1}].rp13	P13[{_2}].rp13	P13[{_3}].rp13	P13[{_4}].rp13	P13[{_5}].rp13	P13[{_6}].rp13	P13[{_7}].rp13	P13[{_8}].rp13	P14[{_1}].rp	P14[{_2}].rp	P14[{_3}].rp	P14[{_4}].rp	P14[{_5}].rp	P15	P16[{_1}].rp16	P16[{_2}].rp16	P16[{_3}].rp16	P16[{_4}].rp16	P17[{_1}].rp17	P17[{_2}].rp17	P17[{_3}].rp17	P17[{_4}].rp17	P18	P18A[{_1}].Rp	P18A[{_2}].Rp	P18A[{_3}].Rp	P18A[{_4}].Rp	P18B[{_1}].Rp	P18B[{_2}].Rp	P18B[{_3}].Rp	P18B[{_4}].Rp	P19	P20	P20_COD	P21	P22	P23	P24	P25	P26	P28	P29	P30	P31	P33	Fecha_Enc
k8j6ZSDmlWuD	PYME	Mas	Regiones	Mujer	Sí	Sí	Entel,Movistar	NA	Entel	5	PORQUE LA SEÑAL NO ES BUENA EN AREAS PERIMETRALES DE LA CIUDAD, POR EL SERVICIO AL CLIENTE NO ES MUY BUENO	Mala señal / pérdida de señal / interferencias,Mala post venta /atención	1. En absoluto desacuerdo	NA	NA	NA	NA	1	1	6	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	SI	CONECTIVIDAD SEÑAL DE INTERNET	Caída / Pérdida de señal de Internet / conectividad / sin servicio Internet / navegación,Caída de señal /señal / interferencias / corte de llamadas	SI	NO	NA	5	NA	NA	NA	NA	NA	VILLA ALEMANA	NA	V2. POST CRISIS
vZwWgxebJGRT	PYME	Mas	Santiago	Hombre	Sí	Sí	Entel	NA	NA	5	PORQUE NORMALMENTE HAY BUENA CONTINUIDAD DE SERVICIO PERO A VECES SE PIERDA LA SEÑAL	Buena conectividad,Mala señal / pérdida de señal / interferencias	5	NA	NA	NA	NA	5	6	4	4	Ns/Nr	Ns/Nr	4	6	No	No	No	No	Si	No	No	No	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	2.Call center	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	5	Está Igual	6	7	CONSULTORIA	4 AÑOS	SANTIAGO	PROPIETARIO	V1. PRE CRISIS
JITXWIm56KWH	PYME	Mas	Regiones	Hombre	No	Sí	Entel	NA	NA	6	PORQUE SIETE  NO EXITE	Faltan cosas por mejorar / no es perfecta	7. En absoluto acuerdo	NA	NA	NA	NA	6	6	6	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	No	NA	NA	7	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	VALPARAISO	NA	V2. POST CRISIS
I0uFpLaQreOp	MICRO	Mas	Regiones	Hombre	Sí	Sí	Entel	NA	NA	5	PORQUE LE FALTA EN ALGUNAS PARTE DONDE YO VIVO POCA COBERTURA EN LA SECTA REGION EN LA COMUNA DE PLACILLA	Mala / poco cobertura	6	NA	NA	NA	NA	5	6	5	7	4	6	4	4	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	5	Está Igual	5	5	AGRICOLA	15 AÑOS	SAN FERNADO	DUEÑO	V1. PRE CRISIS
ztRYo8z8b7is	MICRO	Mas	Regiones	Hombre	Sí	Sí	Entel	NA	NA	7	PORQUE SI PORQUE ANTES TENIA OTRA COMPANIA Y TENIA DIVIDIDAS LAS CUENTAS Y LA VERDAD ES QUE ENTEL TIENE UN SERVICIO SUPERIOR AL DE MOVISTAR Y SIEMPRE HE TENIDO SEÑAL COBERTURA DE TELEFONO Y CELULAR OSEA DE INTERNET.	Buena empresa / es la mejor empresa / es mejor que otras,Transparencia / claridad en las cuentas / facturas / exactitud en cobros,Buena señal / no hay caídas de la señal / señal nítida,Buena cobertura,Buen funcionamiento de Internet / velocidad / estabilidad	7. En absoluto acuerdo	NA	NA	NA	NA	7	7	7	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	No	NA	NA	7	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	CONCEPCION	NA	V2. POST CRISIS
1R2i9rOrVyN1	GGEE	AV	Santiago	Mujer	Sí	Sí	Entel	NA	NA	7	"NO NOS HA DADO PROBLEMAS
SUFICIENTE COBERTURA EN DATOS"	Funciona bien /sin problemas,Buena cobertura	7. En absoluto acuerdo	NA	NA	NA	NA	7	5	7	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	LAS CONDES	NA	V2. POST CRISIS
XjZO79sHYW1O	PYME	Mas	Regiones	Hombre	Sí	Sí	Entel	NA	NA	5	"PORQUE ULTIMAMENTE ESTA MUY MALO EL SERVICIO; MALA COBERTURA"	Mala / poco cobertura	6	NA	NA	NA	NA	5	6	6	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	RANCAGUA	NA	V2. POST CRISIS
LZ2RBtrlTvSn	PYME	MP	Santiago	Hombre	Sí	Sí	Entel,Movistar,Otros	VTR	Entel	6	PORQUE LA MAYORÍA FUNCIONA BIEN, MANTIENE BUENA VELOCIDAD NO SE CORTA LA LLAMADAS	Continuidad del servicio,Buen funcionamiento de Internet / velocidad / estabilidad,Buen servicio de telefonía	7. En absoluto acuerdo	NA	NA	NA	NA	7	4	4	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	Sí	Sí	NA	NA	1	4	NO	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	SAN MIGUEL Y ÑUÑOA	NA	V2. POST CRISIS
iXjrsPAFns7s	MICRO	Mas	Regiones	Mujer	Sí	Sí	Entel	NA	NA	5	"PORQUE EN ESTOS MOMENTOS TENGO PROBLEMAS DE CONECTIVIDAD UNAS DE MIS 4 DE 7 LINEAS
 QUE TENGO PROBLEMAS DE NAVEGACIÓN Y YO TRABAJO CON EL TELÉFONO QUE ES LO MAS TRÁGICO  LAS PERSONAS NO TIENEN LA FACULTAD DE ENTREGAR LA INFORMACIÓN INMEDIATA QUE TENGO HACE UNA SEMANA"	Mala conectividad,Internet lento / inestable,Lentitud / ineficiencia en solución de problemas	6	NA	NA	NA	NA	7	2	6	2	7	6	7	7	Si	No	No	Si	Si	Si	Si	No	7	NA	NA	7	7	2	7	NA	2.Call center,3.Página Web Entel Empresas,5.App Administradores Empresa	NA	NA	2.Call center,3.Página Web Entel Empresas,5.App Administradores Empresa	2.Call center,5.App Administradores Empresa	2.Call center	2.Call center	NA	NA	7	6	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	LAS FALLAS DE NAVEGACIÓN	Caída / Pérdida de señal de Internet / conectividad / sin servicio Internet / navegación	SI	Está en trámite	NA	4	Ha empeorado	0	5	COMERCIO	3 AÑOS	COYAIQUE	ADMINISTRADORA	V1. PRE CRISIS
fxMrSPrOPsAG	MICRO	Mas	Regiones	Hombre	Sí	Sí	Entel	NA	NA	6	POR QUE HAY PARTE QUE NO TENGO COBERTURA EN ENTEL Y SE CORTA LAS LLAMADAS	Mala / poco cobertura,Poca continuidad del servicio  / se corta el servicio	6	NA	NA	NA	NA	6	6	4	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	Sí	No	NA	5	6	NA	NO	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	VILLA ALEMANA VALPARAISO	NA	V2. POST CRISIS
WcNdTpcf6O5w	PYME	MP	Regiones	Hombre	No	Sí	Entel,Otros	VTR	Entel	6	PORQUE ES BUENA TIENE BUENA COBERTURA LOS EJECUTIVOS ME TRATAN BIEN Y ME OFRECEN LO MEJOR	Buena empresa / es la mejor empresa / es mejor que otras,Buena cobertura,Buena atención / amabilidad,Buenas ofertas	7. En absoluto acuerdo	NA	NA	NA	NA	7	7	6	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	Sí	No	NA	7	7	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	CONCEPCION Y PUCON	NA	V2. POST CRISIS
k1A6qNubtLjg	PYME	Mas	Santiago	Mujer	Sí	Sí	Entel	NA	NA	5	ESTAR SIN EMPRESA ES EXACTATAMENTE LO MISMO NO TIENE VENTAJA ADICIONAL AL SER EMPRESA	Atención poco personalizada/ contestan grabadoras/ ejecutivos virtuales	7. En absoluto acuerdo	NA	NA	NA	NA	7	7	6	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	PROVIDENCIA	NA	V2. POST CRISIS
pWKR0bv8OCFS	MICRO	Mas	Santiago	Hombre	Sí	Sí	Entel	NA	NA	7	PORQUE ES MUY BUENA ATENCION	Buena atención / amabilidad	7. En absoluto acuerdo	NA	NA	NA	NA	6	7	6	7	Ns/Nr	6	7	4	Si	Si	Si	Si	Si	No	No	No	6	6	6	6	7	NA	NA	NA	4.En tiendas/ sucursales	2.Call center	3.Página Web Entel Empresas	3.Página Web Entel Empresas	2.Call center	NA	NA	NA	NA	6	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	HUBO SERVICIOS NO CONTRATADOS E HICIERON COBROS NO TUVE INFORMACIÓN AL RESPECTO Y NO ME ADVIRTIERON QUE SE PODÍA BLOQUEAR ANTES	Cobros indebidos,Problemas con información/ Información no llega en forma oportuna/ poco clara	SI	SI	6	6	Está Igual	10	7	PRODUCCION DE EVENTOS	5 AÑOS	SANTIAGO	DUEÑO PROPIETARIO	V1. PRE CRISIS
dvGgseEQx752	MICRO	Mas	Santiago	Hombre	No	Sí	Entel	NA	NA	6	CUANDO NECESITO ATENCION PERSONLA, NO ENCIUENTRO, TODO ES VIRTUAL	Atención poco personalizada/ contestan grabadoras/ ejecutivos virtuales	7. En absoluto acuerdo	NA	NA	NA	NA	6	7	Ns/Nr	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	MAIPU	NA	V2. POST CRISIS
UqlUPbcSad2u	MICRO	Mas	Santiago	Hombre	Sí	Sí	Entel	NA	NA	7	PORQUE YO LO HABÍA TENIDO CON OTRAS EMPRESAS Y LA EXPERIENCIA NO FUE MUY BUENA Y HASTA CON ENTEL NO HA TENIDO NINGÚN  PROBLEMA	Buena empresa / es la mejor empresa / es mejor que otras,Funciona bien /sin problemas	7. En absoluto acuerdo	NA	NA	NA	NA	7	7	7	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	MAIPU SANTIAGO	NA	V2. POST CRISIS
oPZKBdxPG6HP	GGEE	AV	Santiago	Hombre	Sí	Sí	Entel,Movistar,WOM (no mencionar)	NA	WOM (no mencionar)	7	NUNCA HE ENIDO PROBLEMAS DE CONECTIVIDAD LOS EQUIPOS EN CUANTO A LA CALIDAD DEL SERVCIO	Funciona bien /sin problemas,Buena conectividad,Buena calidad de equipos / buenos aparatos	7. En absoluto acuerdo	NA	NA	NA	NA	7	7	5	7	5	6	7	7	Si	Si	Si	Si	Si	No	No	No	7	7	7	7	7	NA	NA	NA	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	NA	NA	NA	7	NA	NA	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	Sí	NA	NA	7	7	NA	NA	1: Cumple las necesidades que usted tiene como administrador	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Ha mejorado	10	265	COMPRA YVENTA DE VEHICULOS USADOS	2 AÑOS	HUECHURABA SANTIAGO	ADMINISTRADOR DE INFORMÁTICA Y TELECOMUNICACIONES	V1. PRE CRISIS
0xgyURpeijmB	MICRO	Mas	Santiago	Mujer	Sí	Sí	Entel	NA	NA	7	POR LA VELOCIDAD, NO PIERDO CONEXION FACILMENTE EN LUGARES REMOTOS, NO HE TENIDO PROBLEMAS EN CUANTAS NI MONTOS	Buen funcionamiento de Internet / velocidad / estabilidad,Buena conectividad,Transparencia / claridad en las cuentas / facturas / exactitud en cobros	7. En absoluto acuerdo	NA	NA	NA	NA	7	7	7	7	4	7	5	7	Si	No	No	No	Si	No	No	No	7	NA	NA	NA	7	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	2	SERVICIOS DE SALUD MENTAL	2 MESES	MAIPU SANTIAGO	GERENCIA, REPRESENATNTE LEGAL	V1. PRE CRISIS
dXlLZWrubrpF	MICRO	Mas	Santiago	Hombre	Sí	Sí	Entel	NA	NA	6	PORQUE FUNCIONA BIEN, BUENA COBERTURA, COBRAN LO QUE DIJERON	Buenos servicios/ productos,Buena cobertura,Cumplen con lo que ofrecen	6	NA	NA	NA	NA	5	7	5	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	SI	QUE INTERNET NO LLEGA A TODOS LADOS, SE CAE	Caída / Pérdida de señal de Internet / conectividad / sin servicio Internet / navegación	NO	NA	NA	6	NA	NA	NA	NA	NA	LAS CONDES	NA	V2. POST CRISIS
yPGtfYbJtf5t	PYME	Mas	Santiago	Hombre	Sí	Sí	Entel	NA	NA	6	POR UN TEMA DE COBERTURA AL VIAJAR AL SALIR DE SANTIAGO ES UN TEMA DE COBERTURA MOVIL SE PIERDE COBERTURA EN ALGUNAS OCASIONES O DONDE HAY CERROS O EN ALGUNAS CIUDADES	Mala / poco cobertura	6	NA	NA	NA	NA	6	6	6	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	SAN RAMON	NA	V2. POST CRISIS
qHmOmuy31zth	MICRO	Mas	Santiago	Hombre	Sí	Sí	Entel	NA	NA	6	PORQUE TIENE BUEN SERVICIO TIENE BUENA CALIDAD DE INTERNET Y LOS MINUTOS TAMBIÉN QUIZÁS EL CALL CENTER ES LENTO CUESTA MUCHO CONTACTARSE CON ELLOS	Buen servicio / conforme / satisfecho con el servicio,Buen funcionamiento de Internet / velocidad / estabilidad,Buen plan / plan conveniente,Mal ejecutivo / mala atención del ejecutivo / Difícil contactar,Lentitud / ineficiencia en solución de problemas	7. En absoluto acuerdo	NA	NA	NA	NA	7	6	5	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	SI	SE CAE LA SEÑAL SE CAE EL INTERNET MAS QUE LA COBERTURA TELEFÓNICA	Caída de señal /señal / interferencias / corte de llamadas,Caída / Pérdida de señal de Internet / conectividad / sin servicio Internet / navegación	NO	NA	NA	7	NA	NA	NA	NA	NA	PUENTE ALTO SANTIAGO	NA	V2. POST CRISIS
WnB7oNQiU2Pq	MICRO	Mas	Regiones	Mujer	Sí	Sí	Entel	NA	NA	5	PORQUE LOS VALORES POR LO QUE ENTREGAN EL PLAN LIMITA COMPRAR EQUIPOS MAS MODERNOS QUISO COMPRAR UN CHIP HACE MAS DE UN MES Y AUN NO LE LLEGA EL SERVICIO SOLICITADO	Precios altos / es caro / alzas de precio,Equipos caros,Lentitud / ineficiencia en solución de problemas	7. En absoluto acuerdo	NA	NA	NA	NA	5	6	Ns/Nr	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	Sí	No	NA	5	6	NA	NO	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	PUERTO MONTT	NA	V2. POST CRISIS
fuAX5Z7Rh2uP	PYME	Mas	Regiones	Hombre	Sí	Sí	Entel	NA	NA	6	PORQUE EL SOPORTE VIA REDES SOCIALES ES MALO, MANDO MANSAJES Y NO HE TENIDO RESTUAS	Atención poco personalizada/ contestan grabadoras/ ejecutivos virtuales,Mal servicio Call center/ Cuesta contactarlos / Call center no atiende	6	NA	NA	NA	NA	6	6	5	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	Sí	No	NA	7	6	NA	NO	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	VIÑA DEL MAR	NA	V2. POST CRISIS
UChvxQLy1efA	MICRO	Mas	Santiago	Mujer	No	Sí	Entel	NA	NA	7	PORQUE ME HA FUNCIONA BIEN NO HE TENIDO PROBLEMAS Y REQUERIMIENTOS ME LO HAN SOLUCIONADO	Funciona bien /sin problemas,Responden / resuelven requerimientos	7. En absoluto acuerdo	NA	NA	NA	NA	7	7	7	7	7	7	7	7	No	Si	Si	Si	No	No	No	No	NA	7	7	7	NA	NA	NA	NA	NA	3.Página Web Entel Empresas	3.Página Web Entel Empresas	3.Página Web Entel Empresas	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Ha mejorado	10	2	CONSULTORIA	3 AÑOS	SANTIAGO	DUEÑA	V1. PRE CRISIS
qMY2WVlgSC9y	MICRO	Mas	Regiones	Hombre	Sí	Sí	Entel	NA	NA	6	CONTRATE UN ULTIMO PLAN Y SE DEMORARON MUCHO EN QUE SE EQUIVOCARON Y EN UN TRAMITE DE 2 DIAS SE DEMORARON 3 SEMANAS POR ERRORES DE ELLOS MISMOS	No responde / no resuelven requerimientos,Lentitud / ineficiencia en solución de problemas	6	NA	NA	NA	NA	7	5	5	5	4	5	5	6	Si	Si	Si	Si	No	Si	Si	Si	5	5	5	5	NA	5	5	5	2.Call center	2.Call center	2.Call center	2.Call center	NA	2.Call center	2.Call center	2.Call center	NA	6	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	MALA INFORMACIÓN Y REGISTRO DE DATOS DE ADQUIRIR NUEVO PLAN Y UN EQUIPO	Problemas con información/ Información no llega en forma oportuna/ poco clara,Con cambio de plan,Demora en cambio de equipo / demora en entregar equipos	SI	SI	6	1	Está Igual	0	4	TRANSPORTE	2-3 AÑOS	QUILPUE	REPRESENTANTE LEGAL	V1. PRE CRISIS
tNZdL6tJYQf1	PYME	Mas	Regiones	Mujer	Sí	Sí	Entel,WOM (no mencionar),Otros	VTR	Entel	6	POR EL TEMA DE SEÑAL HACE COMO UN AÑO O UN AÑO Y MEDIO QUE LA SEÑAL HA DISMINUIDO SEGUN ENTEL UNA VEZ YO LE DIJE QUE PASABA LLEVO COMO VEINTE AÑOS CON ENTEL SERIA UNA PENA CAMBIARME UN EJECUTIVO DE ENTEL ME DIJO QUE ELLOS TIENEN ARRENDADAS LAS ANTENAS A WOM Y POR ESO LE HABIA BAJADO LA INTENSIDAD A ELLOS COMO COMPANIA. ESA VEZ POR EL TERREMOTO DE LA CUARTA REGION ERA PORQUE MOVISTAR ERA LA UNICA COMPANIA QUE TENIA COMUNICACION DONDE ESTABAMOS Y CON ENTEL FUE IMPOSIBLE Y MOVISTAR ESTUVO SIEMPRE PARA PODER LLAMAR A LA GENTE POR EL TERREMOTO DE ESE DIA	Mala señal / pérdida de señal / interferencias,Es cliente antiguo/ lleva años,Mala conectividad	7. En absoluto acuerdo	NA	NA	NA	NA	6	6	7	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	SI	SE SUPONE QUE LOS OTROS CELULARES QUE YO MANEJO ENTONCES SE LE FUE EL SERVICIO PARA LLAMADAS Y LE QUEDO SOLO PARA LLAMADAS DE EMERGENCIA ESTO FUE COMO DOS SEMANAS ATRAS HABRA SIDO COMO UNOS VEINTE MINUTOS QUE QUEDO ASI	Problemas con servicio de telefonía,Corte de servicio	NO	NA	NA	6	NA	NA	NA	NA	NA	CALAMA	NA	V2. POST CRISIS
wH4z9xJ9xWzf	PYME	Mas	NA	Hombre	Sí	Sí	Entel,Movistar	NA	Entel	7	PORQUE NUNCA HE TENIDO UN PROBLEMA CON OLECTIVIDAD NI PROBLEMAS CON LOS COBROS	Funciona bien /sin problemas,Buena conectividad,Transparencia / claridad en las cuentas / facturas / exactitud en cobros	7. En absoluto acuerdo	NA	NA	NA	NA	7	7	7	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	PUERTO MONTT	NA	V2. POST CRISIS
xjHuzLiLxzCu	MICRO	Mas	Santiago	Hombre	Sí	Sí	Entel	NA	NA	7	LLEVO AÑOS TRABAJNADO CON ELLOS NUNCA H ETENIDO PROBLEMA EN TODOS LOS ASPECTOS  ANIVEL GENERAL	Funciona bien /sin problemas	7. En absoluto acuerdo	NA	NA	NA	NA	7	7	7	7	7	7	7	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	9	1	SERVICIOS DE ARRIENDO DE MAQUINARIAS	20 AÑOS	BUIN	DUEÑO	V1. PRE CRISIS
fgNIsXtU8tN7	PYME	Mas	Santiago	Hombre	Sí	Sí	Entel	NA	NA	6	NO HE TENIDO MAYORES INCONVENIENTES NO HE TENIDO PROBLEMAS ALGUNAS CAIDAS PUNTUALES Y NADA MAS NO	Funciona bien /sin problemas	7. En absoluto acuerdo	NA	NA	NA	NA	5	7	5	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	No	NA	NA	6	NA	NO	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	ESTACIÓN CENTRAL	NA	V2. POST CRISIS
