encriptado	SEG_CORFO_FINAL	CL_SEGMENTO_GOL_original	P36	sex_enc	P27	F1	P1	P1._5	P2	P3	P4	P4_COD	P5[{_1}].resP5	P5[{_2}].resP5	P5[{_3}].resP5	P5[{_4}].resP5	P5[{_5}].resP5	P6	P7	P8[{_1}].resP8	P8[{_2}].resP8	P8[{_3}].resP8	P8[{_4}].resP8	P9	P10	P11[{_1}].rp11	P11[{_2}].rp11	P11[{_3}].rp11	P11[{_4}].rp11	P11[{_5}].rp11	P11[{_6}].rp11	P11[{_7}].rp11	P11[{_8}].rp11	P12[{_1}].rp12	P12[{_2}].rp12	P12[{_3}].rp12	P12[{_4}].rp12	P12[{_5}].rp12	P12[{_6}].rp12	P12[{_7}].rp12	P12[{_8}].rp12	P13[{_1}].rp13	P13[{_2}].rp13	P13[{_3}].rp13	P13[{_4}].rp13	P13[{_5}].rp13	P13[{_6}].rp13	P13[{_7}].rp13	P13[{_8}].rp13	P14[{_1}].rp	P14[{_2}].rp	P14[{_3}].rp	P14[{_4}].rp	P14[{_5}].rp	P15	P16[{_1}].rp16	P16[{_2}].rp16	P16[{_3}].rp16	P16[{_4}].rp16	P17[{_1}].rp17	P17[{_2}].rp17	P17[{_3}].rp17	P17[{_4}].rp17	P18	P19	P20	P20_COD	P21	P22	P23	P24	P25	P26	P28	P29	P30	P31	P33
j9HSg3UXESnp	PEQUEÑA	MV	SANTIAGO	Hombre	Sí	Sí	Entel,Movistar,Otros	BANDA ANCHA	Entel	6	PORQUE SE SE PUEDE MEJORAR YA QUE ME SALIO UN COBRO ADICIONAL,LOS TELEFONOS SON CAROS DE ACUERDO AL MERCADO	Faltan cosas por mejorar / no es perfecta,Poca transparencia en cuentas / cobros indebidos / problemas de facturación,Equipos caros	7	6	6	5	5	6	6	6	6	6	5	6	6	Si	No	No	Si	Si	No	No	Si	6	NA	NA	6	6	NA	NA	4	1.Ejecutivo asignado para su empresa	NA	NA	3.Página Web Entel Empresas	1.Ejecutivo asignado para su empresa	NA	NA	1.Ejecutivo asignado para su empresa,2.Call center,3.Página Web Entel Empresas	6	6	5	NA	NA	Sabe que tiene un ejecutivo pero desconoce su función (NO LEER)	NA	NA	NA	Sí	NA	NA	NA	5	1: Cumple las necesidades que usted tiene como administrador	NO	NA	NA	NA	NA	NA	6	Ha mejorado	9	12	MANTENCION DE EQUIPOS TECNOLÓGICOS ARRIENDO DE IMPRESORAS	5AÑOS VOLVIERON A CONTRATAR LOS SERVICIOS	SANTIAGO COMUNA DE INDEPENDENCIA	OPERACIONES
3y0ed5dGnQUQ	GGEE	AP	REGIONES	NA	No	Sí	Entel,Movistar	NA	Entel	5	PORQUE LAS PLATAFORMAS DE ADMINISTRACION CASI NUNCA ESTA DISPONIBLE Y EL SERVICIO DE SOPORTE Y DE CONTACTO COMERCIAL NO ES FLUIDO	Página Web poco amigable,Mal soporte / servicio técnico	6	5	5	5	5	5	5	4	5	5	3	4	3	Si	Si	Si	Si	Si	Si	No	Si	6	5	4	4	6	2	NA	5	1.Ejecutivo asignado para su empresa	3.Página Web Entel Empresas	2.Call center,3.Página Web Entel Empresas	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	NA	1.Ejecutivo asignado para su empresa,2.Call center	6	4	3	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	Sí	NA	NA	6	4	NA	NA	1: Cumple las necesidades que usted tiene como administrador	SI	DE COBERTURA EN LOS ENTORNOS DE TALCA	Cobertura	SI	NO	NA	6	Está Igual	0	450	ENTRETENIMIENTO CASINO DE JUEGOS	HACE 1 AÑO	EN VARIAS COMUNAS COMO TALCA,ETC.	DIRECCION T.I
mWA469ZZyfsQ	PEQUEÑA	MP	REGIONES	Mujer	Sí	Sí	Entel	NA	NA	1	POR QUE ESTAN DANDO UNA PESIMA ATENCION A SU EMPRESA, FALTA DE COMUNICACION, NO HAY ATENCION LOS FINES DE SEMANA EN EMPRESA, DEBIERA HABER UN PUESTO DE ATENCION 24/7 CUANDO TIENES UNA PYME NECESITA ASISTENCIA  24/7 LOS 365 DEL AÑO, LA ATENCION INEFICIENTE LOS EJECTUVIS NO TIENEN IDEA PESIMA LA ATENCION DENTRO DE TODO ENTEL ES LO MEJOR, NO SE QUE HACEN LAS LUCAS ALGO DEBE ESTAR PASANDO ESTAN CONTRATANDO GENTE JOVEN E INEXPERTA Y QUE NO ATIENDAN LOS FINES DE SEMANA INACEPTABLE.	Mala post venta /atención,No mantiene bien informado / poca claridad en la información,Mal servicio Call center/ Cuesta contactarlos / Call center no atiende,No apoyan / no ayudan al cliente	1	1	1	1	1	1	1	1	Ns/Nr	1	1	1	1	No	No	No	No	No	No	No	Si	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	2.Call center	NA	1	NA	NA	NA	No tiene Ejecutivo (no leer)	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	QUE NECESITO ENTEL EN LUGAR DONDE TRABAJO INTERNET, NO NECESITO MINUTOS NECESITO QUE LA SEÑAL LLEGUE, TENGO BANDA ANCHA PERO NECESITO INTERNET FIJO Y ENTEL NO ME RESPONDIO NUNCA AL REQUERIMIENTO Y COMO LOS OBSERVO A ELLO SIGUEN DE MAL EN PEOR,  NO NECESITAS UN CIRCULO DE PREFERENTES SI NO TE ATIENDE O NO REDIRECCIOAN A ALGUN LADO DONDE PUEDAN RESOLVER, NECESITO INTERNET FIJO  Y NO ME DAN LO QUE NECESITO	Caída / Pérdida de señal de Internet / conectividad / sin servicio Internet / navegación,Caída de señal /señal / interferencias / corte de llamadas,Problemas / fallas con Banda ancha,Ejecutivo no atiende / no realiza post venta / no atiende requerimientos,No resuelven requerimientos/no dan respuesta	SI	NO	NA	5	Ha empeorado	0	2	AGRICOLA	MAS DE 10 AÑOS	EN LA REGION DEL MAULE- TALCA SAN CLEMENTE	DUEÑA EN GENERAL
fLqG6g6Vq1VN	MICRO	Mas	REGIONES	Hombre	Sí	Sí	Entel,Otros	TELEFONICA DEL SUR	Entel	6	PORQUE TIENE PROBLEMAS DE INTERMITENCIA	Poca continuidad del servicio  / se corta el servicio	7	7	7	5	Ns/Nr	6	6	7	6	6	Ns/Nr	Ns/Nr	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	PROBLEMAS DE INTERMITENCIA	Intermitencia del servicio	NO	NA	NA	7	Está Igual	6	2	SERVICIO DE CAPACITACIÓN	43405	CHILLAN ÑUBLE	GERENTE
IJXOK0vy6T8M	MICRO	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	7	PORQUE LOS SERVICIOS SON BUENOS NO CORTAN LA SEÑAL Y LOS PRECIOS SON COMPETENTE EN EL MERCADO	Buen servicio / conforme / satisfecho con el servicio,Buena señal / no hay caídas de la señal / señal nítida,Buenos precios / económicos / barato	7	7	7	5	6	7	7	6	6	6	5	6	7	No	No	No	No	No	Si	No	Si	NA	NA	NA	NA	NA	6	NA	6	NA	NA	NA	NA	NA	2.Call center	NA	2.Call center	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	7	4	VENTAS DE ALIMENTOS	3 AÑOS	IQUIQUE	GERENTE
1HtmvWKeh4zf	PEQUEÑA	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	5	PORQUE TIENE ALGUNAS FLUCTUACIONES EN EL FLUJO DE DATO INTERNET PRINCIPALMENTE LAS COMUNICACIONES NO TIENEN PROBLEMA	Internet lento / inestable,Problemas con la comunicación	5	5	4	4	Ns/Nr	7	5	4	Ns/Nr	Ns/Nr	5	6	4	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	LA FLUCTUACION DE DATOS EN INTERNET	Intermitencia del servicio	NO	NA	NA	6	Está Igual	5	12	CONSTRUCCION	10 AÑOS	MELIPILLA	GERENTE MANAGER
Bm2hwCXwOowe	PEQUEÑA	MP	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	6	HAN HABIDO CASOS DONDE SERVICIO HA FALLADO PERO EN GENERAL ES BUENO	Buen servicio / conforme / satisfecho con el servicio	7	7	7	7	Ns/Nr	5	6	5	7	7	5	6	7	Si	No	No	No	No	No	Si	No	7	NA	NA	NA	NA	NA	7	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	7	NA	Sabe que tiene un ejecutivo pero desconoce su función (NO LEER)	NA	NA	NA	No	NA	NA	NA	NA	1: Cumple las necesidades que usted tiene como administrador	NO	NA	NA	NA	NA	NA	7	Está Igual	10	32	OBRAS DE INGENERIA	4 AÑOS	PUERTO MONTT	GERENTE
PMulgquOkAee	PEQUEÑA	Mas	SANTIAGO	Mujer	Sí	Sí	Entel,WOM (no mencionar)	NA	Entel	5	PORQUE LA COMPAÑIA NO TIENE BUENA SEÑAL	Mala señal / pérdida de señal / interferencias	6	7	7	6	Ns/Nr	6	6	7	7	6	7	6	7	Si	Si	Si	No	No	Si	Si	Si	6	6	6	NA	NA	5	6	6	4.En tiendas/ sucursales	3.Página Web Entel Empresas	3.Página Web Entel Empresas	NA	NA	2.Call center	4.En tiendas/ sucursales	2.Call center	NA	5	7	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	Está Igual	8	20	CONSTRUCCION	HACE COMO 5 AÑOS	SANTIAGO	ADMINISTRATIVA
QOv2X0lASbDt	MICRO	Mas	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	7	SIN RODEO CUMPLE CON TODAS LAS EXPECTATIVAS QUE TENGO Y PUEDO TRABAJAR MUY BIEEN CON LOS SERVICIOS QUE BRINDA Y PUEDO TRABAJAR SIN COMPLICACIONES	Buen servicio / conforme / satisfecho con el servicio,Funciona bien /sin problemas	7	7	7	7	7	7	7	7	7	7	7	7	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	3	SALUD	2 AÑOS	SAN ANTONIO	MEDICO ADMINISTRATIVO
2j7yKQt3Gnn9	PEQUEÑA	MV	REGIONES	Mujer	Sí	Sí	Entel	NA	NA	7	PORQUE HEMOS TENIDO BUENA ACEPTACIÓN CON ENTEL LOS EJECUTIVOS SON BUENOS NO HEMOS TENIDO PROBLEMAS NUNCA HEMOS TENIDO PROBLEMA Y LOS PROBLEMAS QUE HEMOS TENIDO HAN SIDO SOLUCIONADOS A LA BREVEDAD	Buena atención / amabilidad,Funciona bien /sin problemas,Rapidez / eficiencia en solución de problemas	7	7	7	7	7	7	7	7	7	7	7	7	7	No	No	No	No	No	No	Si	No	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	7	NA	No tiene Ejecutivo (no leer)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	10	FABRICACIÓN	5 AÑOS	CURICÓ	ADMINISTRATIVA
5eh3e8dDR6Ov	MEDIANA	MP	SANTIAGO	NA	No	Sí	Entel	NA	NA	7	PORQUE NO HA TENIDO PROBLEMAS, NADIE SE QUEJA , SE PUEDE HACER EQUIPO, FÁCIL ACCESO A PAG WEB	Funciona bien /sin problemas,Buena calidad de equipos / buenos aparatos,Página Web amigable / buen sitio Web	7	7	5	7	Ns/Nr	7	7	6	6	6	5	6	7	No	No	No	Si	No	No	Si	No	NA	NA	NA	6	NA	NA	7	NA	NA	NA	NA	1.Ejecutivo asignado para su empresa	NA	NA	1.Ejecutivo asignado para su empresa	NA	7	NA	NA	NA	NA	Equipo de ejecutivos llamado Círculo de Atención Preferente  que es el *106 desde móvil y 6003600106 desde red fija que atiende sus requerimientos de post-venta	NA	NA	Sí	NA	NA	NA	6	NA	1: Cumple las necesidades que usted tiene como administrador	NO	NA	NA	NA	NA	NA	6	Está Igual	10	22	ASESORIAS FINANCIERAS	HACE 2 AÑOS	VITACURA	ASISTENTE
wMNtnGbx5KIe	MICRO	Mas	SANTIAGO	Hombre	Sí	Sí	Entel	NA	NA	7	POR QUE HAN DADO BUENOS RESULTADOS	Buen servicio / conforme / satisfecho con el servicio	6	6	6	6	6	4	7	6	7	6	7	7	6	Si	Si	Si	Si	Si	No	No	No	6	6	7	6	7	NA	NA	NA	4.En tiendas/ sucursales	3.Página Web Entel Empresas	5.App Administradores Empresa	3.Página Web Entel Empresas	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	7	5	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	7	REPARACION DE EQUIPOS	HACE 4 AÑOS	LA CISTERNA	DUEÑO
moI1dNRWhbTq	PEQUEÑA	Mas	SANTIAGO	NA	No	Sí	Entel	NA	NA	7	EL SERVICIO ES BUENO EN GENETRAL	Buen servicio / conforme / satisfecho con el servicio	7	7	7	7	Ns/Nr	7	7	7	6	7	7	7	7	No	No	No	No	Si	No	Si	No	NA	NA	NA	NA	7	NA	7	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	4.En tiendas/ sucursales	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	4	RECURSOS HUMANOS	4 AÑOS	LAS CONDES	DUEÑO
c2Y2WoFGD7Tp	MEDIANA	Mas	REGIONES	Mujer	Sí	Sí	Entel	NA	NA	7	PORQUE NO HEMOS TENIDO NINGUN INCONVENIENTE FUNCIONA BIEN NO TENEMOS PROBLEMAS	Funciona bien /sin problemas,Buen servicio / conforme / satisfecho con el servicio	7	7	7	7	Ns/Nr	7	7	7	7	7	Ns/Nr	7	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	4	FERRETERIA	1 AÑOS	VIÑA DEL MAR	NO INDICA CARGO
LnGPQz2kcN8F	PEQUEÑA	MP	SANTIAGO	NA	No	Sí	Entel	NA	NA	5	PORQUE YO CREO QUE LOS PLANES SON MUY POCO FLEXIBLES COMO QUE TE COBRAN MUCHO POR POCOS BENEFICIOS PARA LO QUE UNO PAGA LA OTRA VEZ QUISIMOS CAMBIAR EL PLAN Y NO PODEMOS RENOVAR LOS CELULARES A TRAVÉS DE LA EMPRESA CONSIDERO QUE YA PAGÁBAMOS SUFICIENTE PARA TENER ESE BENEFICIO DE LA RENOVACIÓN DE CELULARES	Malos planes  / planes poco flexibles,Precios altos / es caro / alzas de precio,Pocos beneficios,Problemas para realizar cambio de plan,No realizan cambio de equipos/ problemas con cambio de equipos	7	5	3	5	2	7	6	5	5	5	4	6	6	No	Si	No	Si	Si	Si	Si	No	NA	7	NA	7	7	7	7	NA	NA	1.Ejecutivo asignado para su empresa,2.Call center	NA	1.Ejecutivo asignado para su empresa	1.Ejecutivo asignado para su empresa	4.En tiendas/ sucursales	4.En tiendas/ sucursales	NA	6	7	NA	5	NA	Equipo de ejecutivos llamado Círculo de Atención Preferente  que es el *106 desde móvil y 6003600106 desde red fija que atiende sus requerimientos de post-venta	NA	NA	Sí	NA	NA	NA	5	NA	1: Cumple las necesidades que usted tiene como administrador	NO	NA	NA	NA	NA	NA	6	Está Igual	6	50	RESTAURANT	NO SABRÍA DECIRTE, YO CREO QUE HACE UNOS CUATRO AÑOS	VITACURA Y SANTIAGO CENTRO	GERENTE DE ALIMENTOS Y BEBIDAS Y OPERACIONES
EVZ8T9qtoAqR	MICRO	Mas	REGIONES	Hombre	Sí	Sí	Entel,Movistar	NA	Movistar	7	ESTOY CONFORME NO TENGO NADA QUE QUEJARME ESTA TODO OK TIENE BUENA SEÑAL	Satisface necesidades,Buena señal / no hay caídas de la señal / señal nítida	7	7	7	7	Ns/Nr	7	7	7	7	7	Ns/Nr	7	7	No	Si	No	No	No	No	No	No	NA	7	NA	NA	NA	NA	NA	NA	NA	3.Página Web Entel Empresas	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	5	12	IMPOTADORA	6 AÑOS	OSORNO	REPRESENTANTE LEGAL
XsVN9p6x71yb	PEQUEÑA	Mas	REGIONES	Hombre	Sí	Sí	Entel,Movistar	NA	Entel	6	POR QUE 7 ES MUY BUENO Y ASI ES ENTEL	Faltan cosas por mejorar / no es perfecta	6	6	6	5	5	6	6	6	6	6	6	6	6	Si	Si	Si	No	No	No	No	No	6	6	6	NA	NA	NA	NA	NA	4.En tiendas/ sucursales	3.Página Web Entel Empresas	3.Página Web Entel Empresas	NA	NA	NA	NA	NA	NA	NA	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	Está Igual	9	7	TRANSPORTE	5 AÑOS	SANTIAGO	DUEÑO
6oSOHav6xkUu	PEQUEÑA	Mas	SANTIAGO	Mujer	Sí	Sí	Entel	NA	NA	7	PORQUE NO HE TENIDO PROBLEMAS HASTA EL MOMENTO Y LA ATENCIÓN EXCELENTE DE PERSONA A PERSONA CORREO ELECTRÓNICO ATENCIÓN CUANDO SACAMOS EL TELÉFONO PARA LA EMPRESA	Funciona bien /sin problemas,Buena atención / amabilidad	7	7	7	7	7	7	7	7	7	7	7	7	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	5	LABORATORIO DE ENSAYOS	6 MESES MAS O MENOS	EL BOSQUE	GERENTE GENERAL
QS3fn9uCcJis	MICRO	Mas	SANTIAGO	Hombre	Sí	Sí	Entel	NA	NA	6	PORQUE HAY DETALLE QUE CUANDO SE REAJUISTAN AUTOMATICO CUANDO REBAJAN LOS PLANES EN LA PAGINA WEB EN LOS PLANES TENGO QUE PEDIRLO YO LLAMAR	No llaman / no se mantienen en contacto / no visitan,No mantiene bien informado / poca claridad en la información	5	6	6	6	Ns/Nr	6	5	6	6	6	1	6	7	No	No	Si	No	No	No	No	No	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	5.App Administradores Empresa	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	Está Igual	8	3	INGENIERIA	5 AÑOS	COLINA	REPRESENTANTE LEGAL
e8gvYGXAvqCm	PEQUEÑA	Mas	SANTIAGO	Hombre	Sí	Sí	Entel	NA	NA	6	PORQUE EN GENERAL FUNCIONA BASTANTE BIEN EN SU CASA MAL .. EN SU LUGAR DE RESIDENCIA DE ISLA MAIPO. EN TERRENO QUINTA REGION , 6TA REGION Y REGION METROPOLITANA FUNCIONA PERFECTO SALVO EN QUE LUGARES ES MAS LENTO . EN SU CASA ES MUY LENTO	Buen servicio / conforme / satisfecho con el servicio,Internet lento / inestable	7	6	5	6	5	6	5	5	5	5	Ns/Nr	6	6	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	1	COMERCIALIZADORA DE PRODUCTOS QUÍMICOS	6 AÑOS	ISLA DE MAIPO	DUEÑO
f0MCS7Ox4t9t	PEQUEÑA	Mas	SANTIAGO	Mujer	Sí	Sí	Entel	NA	NA	7	PORQUE TRABAJAMOS EN UN LUGAR  EN MALLARAUCO Y ENTEL ES EL ÚNICO QUE TIENE SEÑAL Y ESO ES IMPORTANTE	Buena señal / no hay caídas de la señal / señal nítida	7	7	7	7	7	7	7	6	6	7	7	7	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Ha mejorado	10	42	SERVICIO AGRÍCOLA	3 AÑOS	PEÑAFLOR	GERENTE GENERAL
Zuzsl0tS8SLk	PEQUEÑA	Mas	SANTIAGO	Hombre	Sí	Sí	Entel	NA	NA	7	POR QUE NO HA TENIDO NINGUN PROBLEMA Y TENGO MUCHOS AÑOS CON ELLOS YO TENGO 6 MOVILES CON ENTEL Y NUNCA HA TENIDO PROBLEMA	Funciona bien /sin problemas,Es cliente antiguo/ lleva años	7	7	7	7	7	7	7	7	7	7	7	7	7	No	No	No	Si	No	No	No	No	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	5.App Administradores Empresa	NA	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	10	5	TRANSPORTE	5 AÑOS	MELIPILLA	DUEÑO DE EMPRESA
gFfMamxM6z5N	PEQUEÑA	MV	REGIONES	Hombre	Sí	Sí	Entel	NA	NA	7	PORQUE TIENE MUY BUENA COBERTURA EN LA SEGUNDA REGION, HASY LUGARES DONDE ALGUNAS COMPAÑIAS MINERAS DONDE NO HAY COBERTURA Y ENTEL ES LA QUE TIENE MEJOR COBERTURA	Buena cobertura	7	7	7	7	Ns/Nr	7	7	7	Ns/Nr	Ns/Nr	7	7	7	Si	No	Si	Si	No	No	No	No	7	NA	7	7	NA	NA	NA	NA	4.En tiendas/ sucursales	NA	4.En tiendas/ sucursales	4.En tiendas/ sucursales	NA	NA	NA	NA	NA	NA	NA	7	NA	Equipo de ejecutivos llamado Círculo de Atención Preferente  que es el *106 desde móvil y 6003600106 desde red fija que atiende sus requerimientos de post-venta	NA	NA	Sí	NA	NA	NA	7	NA	1: Cumple las necesidades que usted tiene como administrador	NO	NA	NA	NA	NA	NA	7	Está Igual	10	30	TRANSPORTE	7 AÑOS	ANTOFAGASTA	ADMINISTRADOR Y DUEÑO
Sfe5uqArRxYK	MEDIANA	MV	SANTIAGO	Hombre	Sí	Sí	Entel,Movistar	NA	Entel	5	PODRIAN MEJORAR LA ATENCION COMO SOMOS CLIENTES ANTIGUOS MEJORAR LOS PLANES COMO HACEN OTRAS EMPRESAS POR EJECUTIVO LA CANTIDAD DE MINUTOS TODO LO QUE ES EL SERVICIO MAS QUE NADA EL VALOR DE LOS PLANES	Mal ejecutivo / mala atención del ejecutivo / Difícil contactar,Pocos beneficios para clientes antiguos,Malos planes  / planes poco flexibles	7	6	7	7	Ns/Nr	7	7	5	5	7	5	6	7	Si	No	Si	Si	Si	No	No	Si	7	NA	6	7	7	NA	NA	7	2.Call center,5.App Administradores Empresa	NA	2.Call center	2.Call center	2.Call center	NA	NA	2.Call center	NA	7	NA	NA	7	No tiene Ejecutivo (no leer)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	4	Está Igual	5	70	FABRICACION Y COMERCIALIZACION DE CALZADO	4-5 AÑOS	LA GRANJA	ADMINISTRADOR
hLSut2kh99gy	MICRO	Mas	SANTIAGO	Hombre	Sí	Sí	Entel,Movistar	NA	Entel	7	PORQUE ES BUENO	Buen servicio / conforme / satisfecho con el servicio	7	7	7	7	7	7	7	6	7	7	7	7	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Ha mejorado	10	7	CONSTRUCCION	7-8 AÑOS	LA PINTANA, RM	GERENTE GENERAL
4szjnTqjbZJi	MICRO	Mas	SANTIAGO	NA	No	Sí	Entel	NA	NA	6	POR LOS SERVICIOS QUE ENTREGA	Buen servicio / conforme / satisfecho con el servicio	5	6	5	5	5	6	6	7	7	7	4	3	4	Si	Si	Si	Si	Si	No	No	No	6	6	6	6	7	NA	NA	NA	2.Call center	2.Call center	3.Página Web Entel Empresas	2.Call center	2.Call center	NA	NA	NA	NA	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SI	COBERTURA DE LLAMADAS, SSE CORTAN LAS LLAMADAS, MALA SEÑAL	Problemas con servicio de telefonía,Cobertura,Caída de señal /señal / interferencias / corte de llamadas	SI	NO	NA	6	Ha empeorado	5	3	CONSULTORIA	6 AÑOS	ÑUÑOA	GERENTE
PF4lkH2Cj1SH	PEQUEÑA	Mas	SANTIAGO	Mujer	Sí	Sí	Entel	NA	NA	7	PORQUE NO HE TENIDO NUNCA NIGNUN INCONVENIENTE Y CUANDO HE TENIDO ALGUNA DUDA LLAMO Y ME RESUELVEN LA DUDA, ME DAN LAS EXPLICACIONES Y NO TENGO PROBLEMA CON ESO	Funciona bien /sin problemas,Responden / resuelven requerimientos,Buena información / mantienen informados / claridad en la información	7	7	7	7	Ns/Nr	7	7	Ns/Nr	Ns/Nr	Ns/Nr	7	7	7	No	Si	Si	Si	Si	No	Si	No	NA	7	7	7	7	NA	7	NA	NA	3.Página Web Entel Empresas	3.Página Web Entel Empresas	2.Call center	4.En tiendas/ sucursales	NA	4.En tiendas/ sucursales	NA	NA	7	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	7	Está Igual	9	5	METALMECANICA	2 AÑOS	LA CISTERNA, SANTIAGO	SOCIA
qFMh09ZyvFEy	MICRO	Mas	REGIONES	NA	No	Sí	Entel,Movistar	NA	Entel	6	NO ES QUE ESTE DISCONFORME PERO ME IMAGINO QUE HAY COSAS QUE SE PUEDEN MEJORAR, DE REPENTE BAJO CON LA ATENCION AL CLIENTE PERO NO ES QUE EL SERVICIO SEA MALO	Faltan cosas por mejorar / no es perfecta,Buen servicio / conforme / satisfecho con el servicio,Mal servicio Call center/ Cuesta contactarlos / Call center no atiende	7	6	6	6	6	6	6	7	7	7	6	6	7	Si	Si	No	Si	Si	No	No	Si	7	7	NA	7	7	NA	NA	7	2.Call center	2.Call center	NA	3.Página Web Entel Empresas	2.Call center	NA	NA	2.Call center	NA	6	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NO	NA	NA	NA	NA	NA	6	Ha mejorado	9	7	ASESORIA INFORMATICA	3 AÑOS	VALPARAISO	GERENTE DE NEGOCIOS
