encriptado	SEG_CORFO	SEG_GOL	Regionx	sex_enc	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	P4_COD	Rubro	Ciudad_comuna	Cargo
c2Y2WoFGD7Tp	MEDIANA	Mas	REGIONES	Mujer	7	PORQUE NO HEMOS TENIDO NINGUN INCONVENIENTE FUNCIONA BIEN NO TENEMOS PROBLEMAS	Funciona bien /sin problemas,Buen servicio / conforme / satisfecho con el servicio	FERRETERIA	VIÑA DEL MAR	NO INDICA CARGO
LnGPQz2kcN8F	PEQUEÑA	MP	SANTIAGO	NA	5	PORQUE YO CREO QUE LOS PLANES SON MUY POCO FLEXIBLES COMO QUE TE COBRAN MUCHO POR POCOS BENEFICIOS PARA LO QUE UNO PAGA LA OTRA VEZ QUISIMOS CAMBIAR EL PLAN Y NO PODEMOS RENOVAR LOS CELULARES A TRAVÉS DE LA EMPRESA CONSIDERO QUE YA PAGÁBAMOS SUFICIENTE PARA TENER ESE BENEFICIO DE LA RENOVACIÓN DE CELULARES	Malos planes  / planes poco flexibles,Precios altos / es caro / alzas de precio,Pocos beneficios,Problemas para realizar cambio de plan,No realizan cambio de equipos/ problemas con cambio de equipos	RESTAURANT	VITACURA Y SANTIAGO CENTRO	GERENTE DE ALIMENTOS Y BEBIDAS Y OPERACIONES
EVZ8T9qtoAqR	MICRO	Mas	REGIONES	Hombre	7	ESTOY CONFORME NO TENGO NADA QUE QUEJARME ESTA TODO OK TIENE BUENA SEÑAL	Satisface necesidades,Buena señal / no hay caídas de la señal / señal nítida	IMPOTADORA	OSORNO	REPRESENTANTE LEGAL
XsVN9p6x71yb	PEQUEÑA	Mas	REGIONES	Hombre	6	POR QUE 7 ES MUY BUENO Y ASI ES ENTEL	Faltan cosas por mejorar / no es perfecta	TRANSPORTE	SANTIAGO	DUEÑO
6oSOHav6xkUu	PEQUEÑA	Mas	SANTIAGO	Mujer	7	PORQUE NO HE TENIDO PROBLEMAS HASTA EL MOMENTO Y LA ATENCIÓN EXCELENTE DE PERSONA A PERSONA CORREO ELECTRÓNICO ATENCIÓN CUANDO SACAMOS EL TELÉFONO PARA LA EMPRESA	Funciona bien /sin problemas,Buena atención / amabilidad	LABORATORIO DE ENSAYOS	EL BOSQUE	GERENTE GENERAL
QS3fn9uCcJis	MICRO	Mas	SANTIAGO	Hombre	6	PORQUE HAY DETALLE QUE CUANDO SE REAJUISTAN AUTOMATICO CUANDO REBAJAN LOS PLANES EN LA PAGINA WEB EN LOS PLANES TENGO QUE PEDIRLO YO LLAMAR	No llaman / no se mantienen en contacto / no visitan,No mantiene bien informado / poca claridad en la información	INGENIERIA	COLINA	REPRESENTANTE LEGAL
e8gvYGXAvqCm	PEQUEÑA	Mas	SANTIAGO	Hombre	6	PORQUE EN GENERAL FUNCIONA BASTANTE BIEN EN SU CASA MAL .. EN SU LUGAR DE RESIDENCIA DE ISLA MAIPO. EN TERRENO QUINTA REGION , 6TA REGION Y REGION METROPOLITANA FUNCIONA PERFECTO SALVO EN QUE LUGARES ES MAS LENTO . EN SU CASA ES MUY LENTO	Buen servicio / conforme / satisfecho con el servicio,Internet lento / inestable	COMERCIALIZADORA DE PRODUCTOS QUÍMICOS	ISLA DE MAIPO	DUEÑO
f0MCS7Ox4t9t	PEQUEÑA	Mas	SANTIAGO	Mujer	7	PORQUE TRABAJAMOS EN UN LUGAR  EN MALLARAUCO Y ENTEL ES EL ÚNICO QUE TIENE SEÑAL Y ESO ES IMPORTANTE	Buena señal / no hay caídas de la señal / señal nítida	SERVICIO AGRÍCOLA	PEÑAFLOR	GERENTE GENERAL
Zuzsl0tS8SLk	PEQUEÑA	Mas	SANTIAGO	Hombre	7	POR QUE NO HA TENIDO NINGUN PROBLEMA Y TENGO MUCHOS AÑOS CON ELLOS YO TENGO 6 MOVILES CON ENTEL Y NUNCA HA TENIDO PROBLEMA	Funciona bien /sin problemas,Es cliente antiguo/ lleva años	TRANSPORTE	MELIPILLA	DUEÑO DE EMPRESA
gFfMamxM6z5N	PEQUEÑA	MV	REGIONES	Hombre	7	PORQUE TIENE MUY BUENA COBERTURA EN LA SEGUNDA REGION, HASY LUGARES DONDE ALGUNAS COMPAÑIAS MINERAS DONDE NO HAY COBERTURA Y ENTEL ES LA QUE TIENE MEJOR COBERTURA	Buena cobertura	TRANSPORTE	ANTOFAGASTA	ADMINISTRADOR Y DUEÑO
Sfe5uqArRxYK	MEDIANA	MV	SANTIAGO	Hombre	5	PODRIAN MEJORAR LA ATENCION COMO SOMOS CLIENTES ANTIGUOS MEJORAR LOS PLANES COMO HACEN OTRAS EMPRESAS POR EJECUTIVO LA CANTIDAD DE MINUTOS TODO LO QUE ES EL SERVICIO MAS QUE NADA EL VALOR DE LOS PLANES	Mal ejecutivo / mala atención del ejecutivo / Difícil contactar,Pocos beneficios para clientes antiguos,Malos planes  / planes poco flexibles	FABRICACION Y COMERCIALIZACION DE CALZADO	LA GRANJA	ADMINISTRADOR
hLSut2kh99gy	MICRO	Mas	SANTIAGO	Hombre	7	PORQUE ES BUENO	Buen servicio / conforme / satisfecho con el servicio	CONSTRUCCION	LA PINTANA, RM	GERENTE GENERAL
4szjnTqjbZJi	MICRO	Mas	SANTIAGO	NA	6	POR LOS SERVICIOS QUE ENTREGA	Buen servicio / conforme / satisfecho con el servicio	CONSULTORIA	ÑUÑOA	GERENTE
PF4lkH2Cj1SH	PEQUEÑA	Mas	SANTIAGO	Mujer	7	PORQUE NO HE TENIDO NUNCA NIGNUN INCONVENIENTE Y CUANDO HE TENIDO ALGUNA DUDA LLAMO Y ME RESUELVEN LA DUDA, ME DAN LAS EXPLICACIONES Y NO TENGO PROBLEMA CON ESO	Funciona bien /sin problemas,Responden / resuelven requerimientos,Buena información / mantienen informados / claridad en la información	METALMECANICA	LA CISTERNA, SANTIAGO	SOCIA
qFMh09ZyvFEy	MICRO	Mas	REGIONES	NA	6	NO ES QUE ESTE DISCONFORME PERO ME IMAGINO QUE HAY COSAS QUE SE PUEDEN MEJORAR, DE REPENTE BAJO CON LA ATENCION AL CLIENTE PERO NO ES QUE EL SERVICIO SEA MALO	Faltan cosas por mejorar / no es perfecta,Buen servicio / conforme / satisfecho con el servicio,Mal servicio Call center/ Cuesta contactarlos / Call center no atiende	ASESORIA INFORMATICA	VALPARAISO	GERENTE DE NEGOCIOS
6VAQblrKo5ZK	MICRO	Mas	REGIONES	NA	7	PORQUE LA VERDAD ESTOY MUY CLARO FUNCIONA BASTANTE BEN CUMPLE CON MIS EXPECTATIVAS LOS SERVICIOS NO TIENEN NINGUN PROBLEMA PASAN LA INFORMACION CLARA EL SERVICIO ES BUENO NO TENGO INCONVENIENTE	Buen servicio / conforme / satisfecho con el servicio,Satisface necesidades,Funciona bien /sin problemas,Buena información / mantienen informados / claridad en la información	INGENIERÍA	VIÑA DEL MAR	DIRECTOR
xFZfb87RjAJx	PEQUEÑA	Mas	SANTIAGO	Mujer	7	PORQUE NO TENEMOS PROBLEMAS CON EL CELULAR CIEMPRE LO HAN  A TENDIDO BIEN	Funciona bien /sin problemas,Buena atención / amabilidad	ASESORÍA CONTABLE	PROVIDENCIA	SECRETARIA ADMINISTRATIVA
T8cEt2H1K8K5	PEQUEÑA	MP	REGIONES	Hombre	6	SOMOS EMPRESAS Y TRABAJA MUY BIEN EN CUANTO A INTERNET Y BANDA ANCHA TIENE BUENA COBERTURA TRABAJAMOS EN ZONA NORTE Y TENEMOS BUENA COBERTURA	Buen funcionamiento de Internet / velocidad / estabilidad,Buena cobertura	LOGISTICA	IQUIQUE	DUEÑO GERENTE GENERAL
2F6PH5VaDLng	MICRO	Mas	SANTIAGO	Hombre	6	PORQUE EL PLAN ES MUY CARO Y A VECES SE CAE EL INTERNET	Precios altos / es caro / alzas de precio,Internet lento / inestable	SEGURIDAD INDUSTRIAL	CERRO NAVIA	DUEÑO
Z6hL6fYjFFII	MICRO	MV	SANTIAGO	Mujer	5	POR LA GESTION DEL EJECUTIVO Y LOS PLANES NO SON ACTUALIZADOS TAMBIEN CUESTA MUCHO COMUNICARSE CON ELLOS	No llaman / no se mantienen en contacto / no visitan,Malos planes  / planes poco flexibles,Mal ejecutivo / mala atención del ejecutivo / Difícil contactar	NEGOCIO Y ADMINISTRACION	LAS CONDES	ASISTENTE DE GERENCIA
CpOxZRvCs1Nw	PEQUEÑA	Mas	SANTIAGO	Mujer	7	POR QUE FUNCIONA TODO MUY BIEN Y NO HA TENIDO PROBLEMAS	Buen servicio / conforme / satisfecho con el servicio,Funciona bien /sin problemas	ENERGIA SOLAR	PROVIDENCIA	ADMINISTRACION Y FINANZAS
P1zCjknYno7g	PEQUEÑA	Mas	SANTIAGO	Mujer	6	HAY TEMAS QUE TIENEN QUE SOLUCIONAR PARA UNO SOLUCIONAR UN PROBLEMA TIENE QUE DIRIGIRTE A LA CENTRAL PORQUE LAS DEMAS SOLO SON PARA VENTAS DE EQUIPOS	Poca eficiencia,Lentitud / ineficiencia en solución de problemas	TRANSPORTE	SANTIAGO	ADMINISTRATIVO
0SLj4v2bk07P	MICRO	Mas	REGIONES	Mujer	7	NUNCA HA TENIDO UN PROBLEMA Y LA ATIENDEN Y RESPONDEN	Funciona bien /sin problemas,Buena atención / amabilidad,Responden / resuelven requerimientos	CONSTRUCCION	MACHALI	SOCIA DIRECTOR
qMkTknjCemxw	MEDIANA	MV	SANTIAGO	Mujer	5	HE TENDIO PROBLEMA CON EL PLAN ACTIVAR O DESCATIVAR ME HAN CAMBIADO MUCHAS VECES LA EJECUTIVA POST VENTA	Malos planes  / planes poco flexibles,Mucha rotación de ejecutivos	ABOAGADOS	LAS CONDES	GERENTE RECURSOS HUMANOS
525DrNPebR4j	PEQUEÑA	Mas	REGIONES	Mujer	7	PORQUE NO HEMOS TENIDO PROBLEMAS CON EL SERVICIO DE LA EMPRESA	Funciona bien /sin problemas,Buen servicio / conforme / satisfecho con el servicio	TRANSPORTE	CABRERO	SECRETARIA ADMINISTRATIVA
qfPLjmaLBMYM	PEQUEÑA	MP	REGIONES	Hombre	6	PORQUE HAY ALGO QUE MEJORAR POR EJEMPLO LOS COSTOS DEL SERVICIO GENERAL	Precios altos / es caro / alzas de precio	DISTRIBUCION DE ALIMENTOS	TALCA	DUEÑO
pBoxLiZdcSl2	MEDIANA	Mas	SANTIAGO	Hombre	7	PORQUE NO PRESENTAN INCONVENIENTES EN SU SEÑAL TENGO BUENA COBERTURA	Buena señal / no hay caídas de la señal / señal nítida,Buena cobertura	TRANSPORTE	SAN MIGUEL	DUEÑO
fe3KiKIh1IWq	GGEE	AV	SANTIAGO	NA	7	todas las solicitudes han sido respondidas en forma rapida	Rapidez / eficiencia en solución de problemas	venta de productos quimicos para aguas	ciudad de lampa santiago	ENCARGADO DE SOPORTE TECNICO
Mp9ld1P5g8ts	MEDIANA	AV	REGIONES	Mujer	5	PORQUE NO ESTA NI SASTISFECHO NI MUY INSATISFECHO	Faltan cosas por mejorar / no es perfecta	ASESORIA	QUILICURA	GERENCIA DE FIDELIZACION
MQzaC9FVAg8s	GGEE	AP	SANTIAGO	Mujer	6	por que de repente se han demorado en entregarme la factura y la pagina se cae tambien	Cuentas / facturas no llegan oportunamente,Página Web poco amigable	Agricola	Santiago	Tesorera
9cA7msJp2Guy	MEDIANA	MP	REGIONES	Hombre	6	PORQUE SIMPRE ES DETALLE DESTACA LA COBERTURA	Buena cobertura	TRANSPORTE DE CARGA E IMPORTACION DE PRODUCTOS	LAMPA	GERENTE GENERAL
9NWurIrHGJyH	MEDIANA	MP	SANTIAGO	Hombre	6	PORQUE ESTAN BIEN, PERO SIEMPRE SE PUEDE MEJORAR COMO EN EL PRECIO	Faltan cosas por mejorar / no es perfecta,Precios altos / es caro / alzas de precio	INSTALACIONES DE AIRE ACONDICIONADO Y ELECTRICIDAD	VITACURA, STGO	GERENTE
3LuSdIhTMWBp	MEDIANA	MP	SANTIAGO	Hombre	7	PORQUE PRESTA MUY BIEN SERVICO Y NUNCA HA TENIDO INCOVENIENTES	Buen servicio / conforme / satisfecho con el servicio,Funciona bien /sin problemas	METAL MECANICA	SANTIAGO	GERENTE
ItFKmxgZBbhP	PEQUEÑA	MasPrem	SANTIAGO	NA	6	PORQUE FALTAN ALGUNAS COSAS TODAVIA MEJORES PLANES TENGO UN PLAN CON MONTON DE TIEMPO Y TIENE POCOS GIGAS	Malos planes  / planes poco flexibles	SERVICIOS MARITIMOS	SANTIAGO CENTRO	GERENTE GENERAL
W5hFFdAShhKZ	PEQUEÑA	Mas	REGIONES	Hombre	7	POR QUE  EN GENERAL EL SERVICIO ES SATISFACTORIO LA CONTINUIDAD DEL SERVICIO LA COBERTURA ES BASTANTE BUENA, QUE BRINDEN BUEN SERVICIO	Buen servicio / conforme / satisfecho con el servicio,Continuidad del servicio,Buena cobertura	COMERCIALIZAMOS POR INTERNET INSUMOS DE OFICINA	VIÑA DEL MAR	GERENTE DE VENTAS
6j5oTmS3ZcNT	MICRO	Mas	REGIONES	Hombre	5	PORQUE TENGO PROBLEMA DE COBERTURA EN ALGUNAS ZONAS Y NO ES EL PROVEEDOR MAS BARATO Y LE GUSTARÍA QUE ME IGUALARAN LOS PRECIO DEL PROVEEDOR MAS BARATO	Mala / poco cobertura,Precios altos / es caro / alzas de precio	ASESORÍA COMUNICACIONALES	ANTOFAGASTA	GERENTE GENERAL
L80hMxkJLa4c	MEDIANA	AP	REGIONES	Hombre	6	NO HEMOS TENIDO NINGUN PROBLEMA Y SI SOLICITAMOS ALGO NOS RESPONDEN NO TENEMOS PROBLEMAS DE SEÑAL Y COBERTURA NADA DE ESO	Funciona bien /sin problemas,Responden / resuelven requerimientos,Buena señal / no hay caídas de la señal / señal nítida,Buena cobertura	FRIGORIFICO	MOLINA	JEFE DE SERVICIOS
9hBfqmlgC4Tb	MEDIANA	MasPrem	SANTIAGO	Hombre	6	PORQUE YO QUISIERA QUE FUERA MAS BARATOS ,LOS PLANES , EN GENERAL	Precios altos / es caro / alzas de precio	INMPORTADORES DE ASEITE COMESTIBLE	QUILICURA	GERENTE GENERAL
874PmCrEoPXM	PEQUEÑA	MP	REGIONES	Mujer	5	PORQUE HA TENIDO PROBLEMA DE SEÑAL	Mala señal / pérdida de señal / interferencias	AGRICOLA Y CONTRUCCION	RINCONADA DE LOS ANDES	ACCIONISTA Y ADMINISTRADOR
cwWOYFokdnVr	MICRO	Mas	SANTIAGO	Hombre	7	CALIDAD DEL SERVICIO QUE CUMPLEN LO OFRECIDO QUE FUNCIONA EN TODOS LADOS	Buen servicio / conforme / satisfecho con el servicio,Cumplen con lo que ofrecen,Continuidad del servicio	CONSTRUCCION	MAIPU	REPRESENTANTE LEGAL
Sr2cQKUAqeSs	PEQUEÑA	Mas	SANTIAGO	Hombre	7	POR SERVICIO NO HE TENIDO NUNCA UN PROBLEMA BÁSICAMENTE EL SERVICIO UN SIETE	Buen servicio / conforme / satisfecho con el servicio,Funciona bien /sin problemas	SERVICIOS DE CORTE LÁSER	SAN MIGUEL	GERENTE DE PRODUCCION
r2TTL3CSibbW	MICRO	Mas	SANTIAGO	Hombre	6	PORQUE EN GENERAL EL TELEFONO LOS TIENE MAS 20 AÑOS Y TIENE BUENA COBERTURA Y BUENA SEÑAL DE INTERNET.	Es cliente antiguo/ lleva años,Buena cobertura,Buen funcionamiento de Internet / velocidad / estabilidad	COBRANZAS	SANTIAGO	CORDINADOR GENERAL
2T9IE4ZHyzDA	MEDIANA	AP	SANTIAGO	Mujer	7	SIEMPRE TENEMOS COBERTURA EL SERVICIO ES BUENO ANDAMOS POR TODO LA LADO DE CHILE	Buena cobertura,Buen servicio / conforme / satisfecho con el servicio	CONSTRUCCION	VITACURA	ADMINISTRATIVO
jDzAg4ap8Hj2	MICRO	Mas	SANTIAGO	Hombre	6	PORQUE NO ES PERFECTO NO RECUERDA LOS DETALLES MUCHOS GIGAS Y GENERALMENTE NO LO OCUPA TODO	Faltan cosas por mejorar / no es perfecta	COMERCIALIZACION DE ALIMENTOS PARA ANIMALES EN GENERAL	EN LO PRADO	REPRESENTANTE LEGAL
Sqw6MVmkBua4	PEQUEÑA	Mas	SANTIAGO	Hombre	7	PORQUE EL SERVICIO ES BUENO, RESPONDEN Y NUNCA FALLAN	Buen servicio / conforme / satisfecho con el servicio,Funciona bien /sin problemas	TELECOMUNICACIONES	BUIN	DUEÑO
yJ6ZH4iFdprf	MICRO	Mas	REGIONES	Hombre	5	PORQUE TIENE IREGULARIDADES EN LA SEÑAL	Mala señal / pérdida de señal / interferencias	ELECTRONICA COMERCIO	NAVIDAD SEXTA REGION	DUEÑO
vOjgExN5Rhqx	PEQUEÑA	Mas	REGIONES	NA	5	POR EL TEMA DE COSTO, DOS COSAS EN REALIDAD, EL COSTO Y EL TEMA DE LA SEÑAL, EL COSTO PORQUE TE DAS CUENTA QUE SI MIRAS PAL LADO Y COMPARAS LA COMPETENCIA HAY PLANES SIMILARES Y EL COSTO ES BASTANTE MENOR, ENTEL LO QUE ES LA COBERTURA A BAJADO CONSIDERABLE	Precios altos / es caro / alzas de precio,Mala señal / pérdida de señal / interferencias,Mala / poco cobertura	METALMECANICA	SAN ANTONIO	GERENTE
ShrZ2mGGpJvV	PEQUEÑA	Mas	SANTIAGO	Hombre	7	EL SERVIVIO ES BUENO , LA CALIDAD DEL PRODUCTO ES BUENO	Buen servicio / conforme / satisfecho con el servicio	COMERCIALIZACION	GUECHURABA	REPRESENTANTE LEGAL
ZqSnDfBw85Ix	MEDIANA	Mas	REGIONES	Hombre	6	PORQUE SIEMPRE PUEDE SE PUEDE MEJORAR, LA RAPIDEZ EL ANCHO DE BANDAS EN PRECIO Y CALIDAD	Faltan cosas por mejorar / no es perfecta,Lentitud / ineficiencia en solución de problemas,Precios altos / es caro / alzas de precio	AGRICOLA	CHINMARONGO	GERENTE AGRICOLA
qi04niGulND6	MICRO	Mas	REGIONES	Hombre	5	PORQUE EN ALGUNAS OPORTUNIDADES SE PIERDE LA COBERTURA Y ESO NO ME PERMITE TRABAJAR INTERMITENTE DURANTE UNA SEMANA ES COMPLICADO YO SOY DE UNA COMUNA RURAL Y NO HAY BUENA RECEPCIÓN A COMPARACIÓN DE LA CIUDAD Y DEBERÍAN LLEGAR A MÁS SECTORES RURALES Y DE MEJOR CALIDAD LA SEÑAL	Mala / poco cobertura,Mala señal / pérdida de señal / interferencias	ACUCULTURA	COCHAMO DÉCIMA REGIÓN	GERENTE DE VENTAS Y ADQUISICIONES
OdE9nUq5D4zm	MICRO	Mas	SANTIAGO	NA	6	PORQUE EN GENERAL ES BUENA PERO UN POCO CARA	Buen servicio / conforme / satisfecho con el servicio,Precios altos / es caro / alzas de precio	INFORMATICA	PROVIDENCIA	GERENTE
vn3VGm6SNK1j	MICRO	Mas	REGIONES	Hombre	7	PORQUE ES BUENA EN SEÑAL	Buena señal / no hay caídas de la señal / señal nítida	SERVICIOS PRODUCCION DE EVENTOS	COMUNA SANTA CRUZ	JEFE TECNICO
ihjVHpObOXHF	MICRO	Mas	SANTIAGO	Hombre	7	POR QUE LA COBERTURA A SIDO BUENA Y NO HA TENIDO PROBLEMA DE CONECTIVIDAD SIEMPRE EL CELULAR HA TENIDO BUENA SEÑAL A ESO ME REFIERO	Buena cobertura,Buena conectividad,Buena señal / no hay caídas de la señal / señal nítida	PRODUCCIÓN DE TELEVISIÓN	MAIPU SANTIAGO	PRODUCCIÓN EJECUTIVA
0EAKDyWUyzv6	MICRO	Mas	REGIONES	Hombre	4	Por la cobertura que tiene Entel,aparezco sin ningun punto,muy pocos Beneficios.	Mala / poco cobertura,Pocos beneficios	Transporte.	San Antonio.	El dueño.
Ra14KSTEfCoc	PEQUEÑA	MP	SANTIAGO	Hombre	5	MAS QUE NADA PORQUE DE REPENTE SE VA LA COBERTURA TELEFONICA	Mala / poco cobertura	FABRICACION DE MUEBLES	SAN JOAQUIN	GESTOR DE NEGOCIOS
fjXBkSenP1hI	PEQUEÑA	Mas	SANTIAGO	Hombre	7	PORQUE EL SERVICIO ES BUENO NO TIENE PROBLEMA CON LA SEÑAL Y EL INTERNET ES BUENO	Buen servicio / conforme / satisfecho con el servicio,Buena señal / no hay caídas de la señal / señal nítida,Buen funcionamiento de Internet / velocidad / estabilidad	CONSTRUCCIÓN	SANTIAGO , SAMBERNARDO	REPRESENTANTE LEGAL
yYKsKIsM0Ada	PEQUEÑA	Mas	REGIONES	Hombre	5	POR QUE LA SEÑAL NO ES BUENA DONDE ESTOY QUE SE CORTAN LAS LLAMADAS, NO ES REGULAR LA SEÑAL SUCEDE A DIARIO EN FORMA INTERMITENTE	Mala señal / pérdida de señal / interferencias,Mal servicio de telefonía/ se cortan las llamadas	CONSTRUCCION DE OBRAS MENORES	PUERTO VARAS	GERENTE
oEpwPeAhvCy6	GGEE	AP	REGIONES	Hombre	7	PORQUE ME FUNCIONA PERFECTO EL TELEFONO Y EL INTERNET NUNCA HE TENIDO PROBLEMAS DE COBERTURA TODO BIEN	Buen servicio de telefonía,Buen funcionamiento de Internet / velocidad / estabilidad,Buena cobertura	CONSTRUCCION	VALDIVIA	GERENTE
QphavL9uGUCb	MICRO	Mas	REGIONES	Mujer	7	PORQUE NUNCA HE TENIDO NINGUN TIPO DE PROBLEMA ME SIRVE QUE ESTE TODO EL TIEMPO FUNCIONANDO Y EL INTERNET MAS QUE NADA	Funciona bien /sin problemas,Continuidad del servicio,Buen funcionamiento de Internet / velocidad / estabilidad	MONTAJE ELECTRICO	RANCAGUA	REPRESENTANTE LEGAL
hl7cxd82Q3Yo	GGEE	MV	SANTIAGO	NA	6	NO HE TENIDO QUEJAS DE LOS EJECUTIVOS QUE QUIENES MANEJAN LOS TELÉFONOS MÓVILES SON LOS EJECUTIVOS DE VENTAS DE MI EMPRESA	Funciona bien /sin problemas	FACTORING	LO BARNECHEA	TESORERO
QvyTqC5HjUIl	MICRO	Mas	SANTIAGO	Hombre	6	ME HA RESPONDIDO A LAS EXIGENCIAS EN PROBLEMAS CON POST VENTA, BUENA COBERTURA Y CALIDAD DE COMUNICACIÓN	Buen soporte / servicio técnico,Buena cobertura,Buena conectividad	ASESORIAS	SANTIAGO	DIRECTOR
G2cqTpO3rqRq	PEQUEÑA	Mas	REGIONES	Hombre	5	MAS QUE NADA LA VARIACION DE LA SEÑAL SI BIEN ES CIERTO QUE ESTA A NIVEL NACIONAL PERO EL INTERNET LLEGA BAJISIMA Y TAMBIEN SE CORTAN LAS LLAMADAS Y HAY QUE  VOLVER A LLAMAR	Mala señal / pérdida de señal / interferencias,Internet lento / inestable,Mal servicio de telefonía/ se cortan las llamadas	SERVICIO MINEROS	ANTOFAGASTA	GERENTE
3UtgXZDCLIhx	MICRO	Mas	SANTIAGO	Hombre	5	PORQUE TIENE BUENA CONECTIVIDAD PERO NO SE ADACTA BIEN A LAS NECESIDADES	Buena conectividad,No satisface necesidades	SALUD	PROVIDENCIA SANTIAGO	REPRESENTANTE LEGAL
TdKXtI7OVliR	MICRO	MasPrem	SANTIAGO	Hombre	7	POR QUE LLEVO MAS DE 20 AÑOS CON ELLOS	Es cliente antiguo/ lleva años	NO LO DARÁ	PUERTO BARAS	EL DUEÑO
iQL0ZMUGSaQ6	PEQUEÑA	Mas	SANTIAGO	Hombre	7	PORQUE NUNCA HA TENIDO PROBLEMAS Y EL PRECIO ES EL DEL MERCADO	Funciona bien /sin problemas,Buenos precios / económicos / barato	ARRIENDO MAQUINARIAS	STGO	GERENTE DE ADMINISTRACIONES Y FINANZAS
Gp5x9KQzEmsX	PEQUEÑA	MP	REGIONES	NA	6	PORQUE TENGO LA COBERTURA NECESARIA Y FUNCIONA RELATIVAMENTE BIEN	Buena cobertura,Buen servicio / conforme / satisfecho con el servicio	AGRICOLA	6TA REGION OHIGGINS	GERENTE
KlHJScQO1JWc	GGEE	AV	SANTIAGO	Hombre	6	se le ha hecho un poco complicado las solicitudes, mucha documentacion.	Tramitan / Burocracia	importacion y exportacion de equupos y repuestos	SAN BERNARDO SANTIAGO	JEFE DE TI
S5MtzPJrKK4z	MICRO	Mas	REGIONES	Hombre	7	PORQUE EL SERVICIO CUESTA MENOS Y ES ECONOMICO	Buenos precios / económicos / barato	TRANSPORTES EN LOCOMOCION MAYOR	RANCAGUA	DUEÑO
6iMeJIxLT1M3	MICRO	Mas	SANTIAGO	Mujer	6	PORQUE EN GENERAL RESPONDE BIEN SALVO CUANDO UNO TIENE PROBLEMAS	Funciona bien /sin problemas	SERVICIOS	LAS CONDES	REPRESENTANTE LEGAL
JY3GBT6EiJmN	MEDIANA	Mas	SANTIAGO	Hombre	6	PORQUE ES EL SERVICIO ES BUENO, NO TIENE PROBLEMAS PARA COMUNICARSE, EL SERVICIO DEL TELÉFONO MOVIL ES RÁPIDO.	Buen servicio / conforme / satisfecho con el servicio,Buena conectividad,Buen funcionamiento de Internet / velocidad / estabilidad	PLÁSTICOS	ESTACIÓN CENTRAL	GERENTE  COMERCIAL
gXBZaE79AtCR	MICRO	Mas	REGIONES	NA	6	PORQUE FALTA COBERTURA EN LA 8VA REGION CORONEL	Mala / poco cobertura	FABRICACION UNIFORMES	CORONEL	REPRESENTANTE LEGAL
XxdwnJ0yre16	PEQUEÑA	Mas	REGIONES	Hombre	6	PORQUE HACE TIEMPO TENIA 4 LINEAS Y SALIO COMO 150MIL PESOS Y DESPUES FUI A BAJAR LA CUOTA Y AGREGE OTRA CUOTA Y ME BAJO A 111MIL PESOS Y CON LOS MIMOS BENEFICIOS	Problemas para realizar cambio de plan	TRANSPORTE	PEDRO AGUIRRE CERDA	DUEÑO
9HPvmwK7dsQW	MICRO	Mas	REGIONES	Mujer	7	ME HAN SOLUCIONADO TODOS LO PROBLEMAS CUANDO HE TENIDO ME HAN SUBIDO GIGA ME HAN BAJADO EL VALOR DEL PLAN . NUNCA PASO SIN SERVICIO DE INTERNET SIEMPRE TENGO	Responden / resuelven requerimientos,Buenas ofertas,Buen funcionamiento de Internet / velocidad / estabilidad,Continuidad del servicio	ASESORIAS DE DISEÑO ARQUITECTURA	LIBERTADOR B OHIGGINS	ADMINISTRADORA
iOC4S62h03wl	PEQUEÑA	Mas	SANTIAGO	Hombre	6	POR QUE ES BUEN SERVICIO EN GENERAL	Buen servicio / conforme / satisfecho con el servicio	PUBLICIDAD	RECOLETA	GERENTE GENERAL
q0VdTLGtQLlw	MICRO	Mas	REGIONES	NA	5	LLEVO 20 AÑOS Y NO PESAN NADA NO HAY CONFIANZA NI SERVICIO TÉCNICO NI ME DAN FACILIDAD DE CAMBIOS ES COMO QUE NO LE IMPORTARA LA ANTIGÜEDAD A LA EMPRESA	Pocos beneficios para clientes antiguos,Empresa poco seria / poco confiable,Mal soporte / servicio técnico,Problemas para realizar cambio de plan	COMUNICACIONES	VIÑA DEL MAR	DUEÑO Y REPRESENTANTE LEGAL
0m7dPaPyyfAV	PEQUEÑA	Mas	SANTIAGO	Mujer	7	NO HAN TENIDO PROBLEMAS CON INTERNET NI FACTUIRAS	Funciona bien /sin problemas,Buen funcionamiento de Internet / velocidad / estabilidad,Transparencia / claridad en las cuentas / facturas / exactitud en cobros	TRANSPOTE	LA FLORIDA	JEFE DE OPERACIONES
5RaaXKOh40EN	MICRO	Mas	REGIONES	Hombre	6	HAY PROBLEMAS DE COBERTURA EN ALGUNAS ZONA DENTRO DE TALCA NO LLEGA SEÑAL LAS ATENCION DE SUCURSAL EMPRESA ESTA RESTRINGIDA EN EL TIEMPO	Mala / poco cobertura,Mala señal / pérdida de señal / interferencias,Mala post venta /atención	SERVICIOS MEDICOS	TALCA	DIRECTOR
