encriptado	SEG_CORFO	SEG_GOL	Regionx	sex_enc	P3 Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?	P4 ¿Por qué evalúa con esa nota?	Rubro	Ciudad_comuna
oA6hAJrS4mky	Pequeña	MP	Regiones	NA	6	PORQUE HAY SECTORES QUE NO HAY COBERTURAS EN ZONAS RURALES MUCHOS CAMPOS 8VA REGION CAMINO SANTA JUANA	NA	NA
TBVgFERVqFWg	Pequeña	MasPrem	Santiago	Hombre	3	PORQUE EL SERVICIO QUE DAN ES MUY CARO	NO ENTREGA INFORMACION	LAS CONDES
SIasoxz1te95	Mediana	Mas	Santiago	NA	5	PORQUE GENERALMENTE NO TENEMOS PROBLEMAS TIENE INCONVENIENTES A LA HORA DE COMUNICARSE CON EL EJECUTIVO DEMORA LA RESPUESTA EN GESTION A CONSULTA	NA	NA
Ufh71aaqPVMA	Mediana	AP	Regiones	NA	6	NOSOTROS TRABAJAMOS EN FAENA Y LA SEÑAL SE PIERDE	NA	NA
pGDiDQ0uGInd	GGEE	AP	Regiones	Hombre	6	PORQUE NOSOTROS VIAJAMOS Y TIENE MEJOR COBERTURA PARA EL NORTE Y SUR QUE OTRAS COMPAÑÍAS NO CUBREN Y PIERDEN LA SEÑAL	SERVICIOS INDUSTRIALES	CONCON
joeORl0fyuBZ	Mediana	AV	Santiago	Hombre	7	POR QUE TENGO MCOMUNCIACION CON EL EJEVCUTIV O ME MANDAN OFERTAS Y ES MUY COMPLETO Y TENGO DESCUENTOS CON LOS EQUIPOS	TRANSPORTE	LO ESPEJO
7tbUd1Y86BLH	GGEE	AP	Santiago	NA	6	PORQUE EL SERVICIO ES MUY BUENO, NO NADA	NA	NA
VTmcp0EanHHB	Micro	MasPrem	Regiones	Mujer	7	POR QUE TENGO BUENA SEÑAL EN LA OFICINA Y EN MI CASA POCAS INTERRUPCIONES Y UNA BUENA ATENCION DE PARTE DE LOS OPERADORES CUANDO TENGO QUE LLAMAR A EMPRESAS AL 789 TAMBIEN CUANDO ACUDO A LA SUCURSAL	CORRETAJE DE PROPIEDADES	IQUIQUE
CmDuyp02Pv2X	Pequeña	MasPrem	Santiago	Hombre	7	PORQUE RESPONDENEL EJECUTIVO DE ENTEL RAPIDO CUANDO SOLICITAMOS LINEAS EQUIPOS O PLANES SIEMPRE TENEMOS SEÑAL	CORRETAJES DE PROPIEDADES	PROVIDENCIA
QgeA6YQIbzkB	Pequeña	MasPrem	Regiones	Hombre	3	POR LA COBERTURA DE LA SEÑAL EN CIERTOS SECTORES DONDE TRABAJAMOS NO HAY COBERTURA COMO REQUINO A LA SEXTA REGION UNA VEZ A LA SEMANA HAY OTROS SECTORES FUIMOS A RENOVER UN EQUIPO QUE YA HABIA CUMPLIDO Y AHORA NO DAN LOS EQUIPOS SIN COSTOS TUVE QUE PAGAR PAR RENOVAR	COMPRA Y VENTA ARTICULOS	DOÑIGUE
idWDGpJFN7Tj	Micro	MasPrem	Regiones	Hombre	6	PORQUE LA CALIDAD DEL SERVICIO Y LAS COBERTURAS	TRANSPORTES Y COMUNICACIONES	TALCA
w4kyLF4gmRgw	Mediana	MP	Regiones	Mujer	7	NO HEMOS TEN MAYORES INCONVENIENTES CON EL PRECIO Y LA CALIDAD SEÑAL COBERTURA	INGENIERIA Y CONSTRUCCION	ANTOFAGASTA
5TJ77bDa8I7f	Micro	Mas	Regiones	Mujer	5	BUENO LA VERDAD NO TENGO UN MOTIVO, CONTRATE HACE POCO, EL NORMAL LA APRECIACION ES NORAL	EXPORTADORA PRODUCTOS AGRICOLA	VIÑA DEL MAR
5YaO9CYe4t6c	Pequeña	MasPrem	Regiones	Mujer	5	BASICAMENTE PORQUE CUANDO VIAJAMOS PEDIMOS DEJAR EL ROAMING BLOQUEADO EN CASO DE EMERGENCIA PERO EN UNOS VIAJES OCURRIO UNA EMEJERCICIA, NO HUBO FORMA DE ACTIVARLO, Y ESO QUE NOS HABIAMOS COMUNICADO CON ELLOS	ALIMENTACION	ANTOFAGASTA
IfsHOiHNaRay	Pequeña	MP	Santiago	Hombre	6	PORQUE NADA EN LA VIDA ES PERFECTO TODO ESTA BIEN FALTA MAS COMUNICACION DE PARTE DEL EJECUTIVO	VENTAS RETAIL	SANTIAGO
coGt34fx5MQx	Pequeña	MP	Santiago	Hombre	5	PORQUE PERSONALMENTE USO LOS TELEFONOS DE LA EMPRESA EN ALGUNOS LUGARES NO TENGO CONEXION EN MI APARTAMENTO VITACURA SIEMPRE DEBO BUSCAR LUGARES COMO EL VENTANAL QUE DA A LA CALLE ESO ME PASA EN LA CASA	CORREO  Y CORRESPONDENCIA	CONCHALI
z2BiTILD9Drx	Micro	MasPrem	ns/nr	Mujer	3	PORQUE NO HAY SEÑAL SE LE VA EL INTERNET SE COLAPSA LA LINEA TIENE SEÑAL NO BAJAN LOS ARCHIVOS LO LE BAJAN LAS PAGINAS	SERVICIOS	PUERTO MONTT
7s8000Wmuq4x	Micro	MasPrem	Santiago	NA	6	PORQUE LA VERDAD NO HE TENIDO, MUCHOS PROBLEMAS, LA PAGUINA PARA PAGAR LA FACTURACION SE PEGA, NO LO CALIFICO EL SERVICIO NO ES MALO, ME HA PASADO DOS VECES, NADA ES PREFECTO, NO TENGO PROBLEMAS CONCURRENTES	NA	NA
VJH3LVBi5P0s	GGEE	AV	Santiago	Mujer	6	EN REALIDAD LA CALIDAD DEL SERVICIO ES BUENO PERO NADA ES PERFECTO	RECURSOS HUMANOS	ÑUÑOA
muPL9qtBZqsw	Pequeña	Mas	ns/nr	Hombre	6	PORQUE A VECES TIENE FALLAS DE COBERTURA EN ALGINAS PARTES SE PIERDE LA SEÑAL EN ALGUNAS PARTES COMO EN LA PIRAMIDE  DESDE LAS CONDES BAJANDO A RECOLETA	PRODUCCION DE EVENTOS	LO BARNECHEA
cZsWRVH7aBTT	GGEE	MV	ns/nr	Mujer	5	PORQUE EL SISTEMA QUE TIENE DE ATENCION AL CLIENTE Y POST VENTA ES MALO HICE UNA SOLICITUD DE 4 MESES NO PODEMOS REVISAR POR SEIS MESES CUANDO YO HICE MI REQUERIMIENTO ESTABA EN PLAZO Y ME DIJERON QUE ESTABA EN FUERA DE PLAZO Y ERA CILPA DE ELLOS	OBRAS DE INGENIERIA	SANTIAGO CENTRO
Wn0GudHfdMZq	Pequeña	MasPrem	Regiones	Mujer	7	PORQUE LA SEÑAL ES BUENA, LOS SERVICIO LLEGAN PRONTO, LA PLATAFORMA DE PAGO ES BUENA, EL SOPORTE TECNICO ES BUENO, EL SOPORTE EMPRESAS ES MUY BUENO.	CAPACITACION	COYHAIQUE
kdK7J4XiqhPM	Micro	Mas	Santiago	Mujer	5	PORQUE EL SERVICIO EN GENERAL NO ES MALO, TIENE BUENA COBERTURA, PERO EN TEMA DE ADMINISTRACION NO ES BUENA , NO ES TAN BUENA	INVESTIGACIONES	LAS CONDES
t1huccO9nXrn	Mediana	MP	Regiones	Hombre	5	POR PROBLEMAS PUNTUALES HAY DIAS CON INTERMITENCIA  EN INTERNET	IMPORTADORA Y EXPORTADORA	IQUIQUE
rLgqBVL3MeRX	Micro	MasPrem	Regiones	Hombre	7	PORQUE TIENE SEÑAL EN TODODS LADOS PATRA HABALER EN INTERNET	CONTRUCCION	VALPARAISO
Okccky5eEtMx	Micro	MasPrem	Regiones	NA	5	POR COMO FUNCIONA LA BANDA ANCHA.	NA	NA
som0ELDLmXVB	Mediana	MP	Regiones	Mujer	7	PORQUE ES RAPIDO EN LA ATENCION Y LAS SOLUCIONES DE PROBLEMAS EL NUMERO ES PREFERENCIAL LOS PROBLEMAS LOS SOLUCIONAN DE INMEDIATO	ESTACIONES DE SERVICIO	ANTOFAGASTA
P3qpAJ0ZFJPC	Mediana	AP	Regiones	Mujer	6	PORQUIE SIEMOPRE FALTA MAS OSEA AVECES SE CAE EL SISTEMA IGUAL TIENE FALENCIAS POR LO MISMO NO LE PUEDE PONER UN 7	DISTRIBUIDORES MARCA NACIONAL E  INTERNACIONAL	8 REGION
bSGFchcNTGgU	Pequeña	MasPrem	Santiago	Hombre	7	PORQUE TENGO VEINTICINCO AÑOS CON ENTEL Y EL SERVICIO NUNCA HA FALLADO BUEN SERVICIO	INGENIERIA Y CONTRUCCION	SAN MIGUEL
OHvZrhC8vp8d	Micro	Mas	Santiago	Hombre	6	PORQUE SI FUERA MAS BARATO SERIA UN 7	MARQUETING	SANTIAGO
jQxgQo6oXAVn	Mediana	MV	Santiago	Hombre	7	NO TENEMOS PROBLEMAS Y CUANDO NECSITAMOS ALGO EN 24 HORAAS SOLUCIONAN	LABORATORIO	PROVIDENCIA
IXW2FiWPs0Gn	Micro	MP	ns/nr	Hombre	7	YO TENGO AÑOS Y NO TENGO PROBLEMAS HA ANADADO BIEN LA COMPAÑIA NO HE TENIDO PROBLEMAS	SOPORTE	SAN FELIPE
mhtqjmTwW71a	Micro	MasPrem	Regiones	Hombre	7	POR BUEN SERVICIO, TODO BIEN	SERVICIOS DE CONSTRUCCIÓN	5TA REGIÓN
U5bO0sPrJxsz	Micro	Mas	Regiones	Mujer	7	POR QUE NO TENGO PROBLEMAS CON ENTEL Y LA ATENCION ES BUENA EN TIEMPO EN LA DISPONIBILIDAD QUE TIENEN SE DEMORAN POCO EN ATENDERTE TE DAN TODAS LAS FACILIDADES	CORRETAJE DE PROPIEDADES	IQUIQUE
pqLWLR5rj4rr	Pequeña	MasPrem	ns/nr	Mujer	7	PORQUE TENEMOS BUENA COBERTURA Y CADA VEZ QUE QUIERE CAMBIAR LOS EQUIPOS NO TIENE PROBLEMAS ME FUNCIONA EN TODOS LOS LUGARES EN DONDE YO ANDO ME ACOMODAN LOS PLANES	SERVICIOS MEDICOS	PUERTO VARAS
MoYncoUVfym8	Micro	MV	Regiones	Hombre	5	PORQUE TIENE ALGUNOS DÉFICIT DE SEÑAL PRECISAMENTE EN MI CASA, NO TOMA EL TELÉFONO Y TENGO QUE SALIR DE MI CASA ESTO ES EN TALCA	TRANSPORTE	TALCA
gzMVFPu7Lms7	Pequeña	MP	ns/nr	Hombre	3	PORQUE LAS VECES QUE HE NECESITADO RESOLVER UN EQUIPO DE TELEFONO NO LO PUDE RESOLVER ES QUE NO HE PODIDO LLAMAR A UN TELEFONO FIJO NO ME ENTRAN LLAMADA HAY COMO UN BLOQUEO DEL TELEFONO Y EL TELEFONO ES MIO	DISTRIBUIDORA DE GAS Y EMPRESA CONSTRUCTORA	PUERTO MONTT
SdSVPyz0TUoi	Mediana	AV	Regiones	Mujer	5	PORQUE AVECES HAY LENTIUD EN LAS RESPUESTAS A ALGUNOS PROBLEMAS QUE HEMOS TENIDO	SERVICIOS DE INGENIERIA ELECTRICA	TALCA
5llYJhYbvHkl	Pequeña	MasPrem	Regiones	Hombre	6	PORQUE PARA EL UNO QUE QUEDE PENDIENTE SIGAN MEJORANDO EN LA PARTE DE CELULARES  CAMBIARON TANTO LA POLITICA DE LOS ARRIENDO Y DESCUENTOS Y SE ENFOCAN EN LOS CLIENTE NUEVOS NOMAS LOS QUE SE ESTAN PORTANDO O SACANDO UN PLAN  EN COMPRACION A ELLOS	TRASPORTE Y SERVICIOS	IQUIQUE
8GIYtmg3SRt4	Pequeña	AP	Regiones	Hombre	6	PORQUE HAY VECES QUE ME FALLA DEMASIADO EL INTERNET, MUY LENTO, HAY VECES QUE ES MUY BUENO Y OTROS MALO, HAY SECTORES QUE NO TIENE SEÑAL	SUMINISTRO DE PERSONAL	CURICO
PVCqVPsNHB3D	Micro	MasPrem	Regiones	Mujer	6	PORQUE SIEMPRE HAY QUE MEJOR EN LOS PRECIOS	CENTRO DE EVENTOS	LA SERENA
s876wm4qPcj7	Pequeña	MasPrem	Regiones	NA	6	PORQUE A VECES SE LES CAE LA SEÑAL, ENTIEDE QUE ES POR QUE ESTA EN UN SECTOR NO TAN CENTRAL	NA	NA
h0dUZ0tufy4d	Pequeña	AP	Regiones	NA	5	POR LA COBIERTURA DE INTERNET Y LAS LLAMDAS Y NO HAY BUENA SEÑAL Y ESTOY EN UN SECTOR CENTRICO EN CASTRO  Y PIERDO AMBAS SEÑALES	NA	NA
XlDltZqqM6zK	Micro	MP	Santiago	NA	7	PORQUE ES BUENA NO ME FALLA TIENE BUENA ATENCION AL CLIENTE BUENA COBERTURA	NA	NA
RakT2zFhPsAE	Pequeña	MV	Santiago	Mujer	6	PORQUE EN GRAL TIENE BUENA SEÑAL Y BUENA COBERTURA	GASFITERIA Y CALEFACCION	EN LA FLORIDA
Cd5SdW70JUXt	Micro	MV	Regiones	Hombre	4	PORQUE ES UNA EMPRESA LO UNICO QUE HACE ES MENTIR, LA ATENCION DE LA OFICINA ES PESIMA	CONTROL DE PLAGAS Y OBRAS MENORES	LOS ANGELES
MhbHJT3djW1j	Micro	MasPrem	Regiones	Hombre	6	PORQUE REALMENTE EL SERVICIO ES BUENO HAY LUGARES NO HAY COBERTURA, POR ESO NO LLEGO EL SIETE	CONSTRUCCION	CONCEPCION
vFtsvJhKaFZx	Pequeña	MasPrem	Regiones	Mujer	7	PORQUE NUNCA HE TENIDO PROBLEMAS DE SEÑAL CUANDOME QUIERO COMUNICAR CON ELLOS NO HE TENIDO PROBLEMAS	PUBLICIDAD	CONCEPCION
2SBWHbVHOQRx	GGEE	AV	Santiago	Hombre	5	POR LOS PRECIOS.	CHOCOLATES	QUILICURA
LZ2RBtrlTvSn	Pequeña	MP	Santiago	Hombre	5	POR TEMA DE PRECIO EN CUANTO AL VALOR DE LAS CUENTAS, CUESTA CONTACTARSE CON EL CALL CENTER	CONTRUCCION	SAN MIGUEL
VSk26CVQFr58	Pequeña	MasPrem	Regiones	Hombre	5	PORQUE HACEN MUCHO TRAMITE PARA LOS CAMBIOS DE PLANES Y EQUIPOS SOLICITAN MUCHOS PAPELES HAY QUE ESPERAR Y SE DEMORAN COMO UNA SEMANA EN GENERARLOS	ASESORIAS AGRICOLA	LAUTARO 9 REGION
lpKS5S7ySQGT	Mediana	MP	Regiones	Mujer	6	PORQUE SE PODRIA MEJORAR EL SERVICIO OFRECIENDO MEJORES PLANES O MEJORES APARATOS	OBRAS DE INGENIERIA	ARICA
bQvKvYU3JgxX	GGEE	AP	ns/nr	Hombre	6	PORQUE LE FUNCIONA BIEN SIMPLENTE FUNCIONA BIEN NO HA TENIDO PROBLEMAS	CONSTRUCCION	HUECHURABA
IJFxc8QndeZj	Pequeña	MP	Santiago	Mujer	7	PORQUE LLEVO MUCHOS AÑOS CON ELLOS Y NO HE TENIDO NINGUN PROBLEMA CON COBERTURA, SIEMPRE ESTAN AL DIA CON LOS EQUIPOS, LA PAGINA ES BUENA, ES AMABLE	PUBLICIDAD	SAN MIGUEL
2o5yAnkkQDm8	Micro	MasPrem	Santiago	Hombre	6	PORQUE TENGO BUEN COBERTURA, BUENA SEÑAL, LAS CUENTAS SON MUY CLARAS, ME ESPERAN Y NO ME CORTAN DE INMEDIATO	ASESORIAS FINACIERAS Y CONTABLES	SANTIAGO, PEÑALOLEN
lJovKLmRND57	Micro	MV	Regiones	NA	6	CREO QUE HAY COSITAS QUE SE PUEDEN MEJORAR, POR EJEMPLO PROACTIVAMENTE TE OFREZCAN MEJORAS DE PLANES	NA	NA
bH5BeD8ht4aW	Mediana	MP	Santiago	Hombre	6	PORQUE NO HE TENIDO PROBLEMAS EN RECEPCION Y HABILIDAD DEL SERVICO Y CARGOS INDEVIDOS SIEMPRE ME ESTAN LLAMANDO Y TENGO UN EJECUTIVO HA CAGRO	DISTRIBUCION DE ALIMENTOS	PEDRO AGUIRRE CERDA
ABwJI0g2dT3d	Mediana	MP	Regiones	Hombre	7	PORQUE ESTOY SUPER SATISFECHO CON ELLOS EN TODOS LOS SERVICIOS POR EL BUEN SERVICIO	FORESTAL	CONCEPCION
3BQBTHvQAZMZ	Micro	MasPrem	Santiago	Mujer	6	PORQUE HAY ALGUNOS PEROS QUE HE TENIDO, ALGUNAS VECES TENGO PROBLEMAS CON ELLOS, NADA TRAJICO, DE REPENETE EL INTERNET ESTA MUY LENTO Y NO TENGO REPUESTA RAPIDO	PREVENSION DE RIESGOS	LA FLORIDA
WTpRZOgj5CFL	Micro	MasPrem	Regiones	Hombre	6	POR EL TEMA DE LOS PLANES	VENTAS DE AUTOS	SAN ANTONIO
tbsqc3cTsoKV	Micro	MP	Regiones	NA	6	TIENE BUENA SEÑAL Y BUEN SERVICIO EN TODO CON EL EJECUTIVO PLATAFORMA INTERNET	NA	NA
E7jIT0VfIgz5	Micro	MV	Regiones	Mujer	5	PODRÍAN OFRECER PROMOCIÓN QUE NOS LLAME LA ATENCIÓN	OBRAS DE INGENIERIA	VIÑA DEL MAR
FXJrqKEoi38P	Mediana	MV	Regiones	Hombre	6	PORQUE HAY ALGUNOS INCONVENIENTES PERO ME LOS ESTAN SOLUCIONANDO	SERVICIO A LA MINERIA	ANTOFAGASTA
RxiM7RaeiTgp	Micro	MasPrem	Santiago	Hombre	6	NO ESTOY NI EXELENTEMENTE CONFORME NI MAL ATENCION DEL CALL CENTER MUCHA LA ESPERA	TRANSPORTE	SAN BERNARDO
VQOanU4MGbIS	Micro	MasPrem	Regiones	Hombre	6	POR LO GENERALES LOS SERVICIOS SON CONSTANTES Y SIN INTERRUPCIONES	IMPORTACION Y EXPORTACION	IQUIQUE
2Oh99VCSSoE9	Pequeña	MasPrem	Santiago	Hombre	6	POR LA POCA CLARIDAD DE LOS COBROS EN SERVICIOS QUE UNO NO SSABE QUE TIENE CONTRATADO Y LOS COBRA	ARRIENDO DE MAQUINARIAS	ISLA DE MAIPO
2fERWCeGZ1S9	Pequeña	MasPrem	ns/nr	Mujer	5	PORQUE LA SEÑAL Y EL INTERNET SE LES CAE ESTA COMO LENTO NO ENTRAN LAS LLAMADAS Y EL INTERNET ESTA LENTO NO LE CARGAN LAS PAGINAS	COMERCIALIZADORA	SAN MIGUEL CASA MATRIZ
KGzWLZom4n8Y	Micro	Mas	Regiones	Hombre	5	CONSIDERO QUE NO OFRECE NADA NUEVO PARA LA EMPRESA NO HAY CAMBIOS DE EQUIPOS Y TODO ES BASICO Y SOLO LA LLEVA LA COBERTURA	SERVICIOS	VALPARAISO
v6gauMZTZEHO	Micro	MasPrem	Santiago	Mujer	4	PORQUE LA SEÑAL ES PESIMO  HAY QUE COLGARSE DE UN ARBOL PARA HABLAR POR TELEFONO	ASESORIA	SANTIAGO
prGyO2rPpRKI	Micro	MasPrem	Santiago	Mujer	6	SON SUPER BUENOS PERO SON MUY CAROS TIENEN MUY BUEN SERVICIO EN GENERAL LA ATENCION Y LA RAPIDEZ PARA SOLUCIONAR ALGO SON LOS MEJORES QUE HAY YO HE ESTADO EN TODAS LAS COMPAÑIAS Y SON DISTINTOS A OTRAS COMPAÑIAS	ASEO INDUSTRIAL	MAIPU
UXXFmW7y2NaY	Micro	MasPrem	ns/nr	Hombre	6	PORQUE HAY COSAS QUE PODRIAN SER MAS FACILES CUANDO SE ADMINISTRA LA CUENTA CUANDO ME CORTAN LA CUENTA NO SE PUEDE COMUINICAR CON ENTEL LO TENGO QUE HACER A TRAVEZ DE OTRO TELEFONO	ESTACIONAMIENTO	CONCEPCION
BBTHOG8KNhyo	Pequeña	MasPrem	Santiago	Mujer	7	PORQUE NUNCA HE TENIDO NINGUN PROBLEMA Y SI LO QUE TENIDO ME LO SOLUCIONAN INMEDIATAMENTE  PORQUE ES CO LA UNICA QUE HE ESTADO NO HE TENIDO OTRA	IMPRENTA	RECOLETA
epNetVWYOKEa	Mediana	AP	Regiones	Hombre	5	PORQUE HAY PROBLEMAS, NO ATIENDEN TAN RAPIDO LA SEÑAL SE CORTA EN CIE4RTOS LUGAR EN IQUIQUE NO HAY SEÑAL EN LUGARES	TRANSPORTE Y ARRIEBNDO DE MAQUINARIA	IQUIQUE
4rJI4ytenmDM	Micro	MasPrem	Regiones	Hombre	6	PORQUE NO LO ENCUENTRO BARATO TIENE BUENA COBERTURA EL SERVICIO LO ENCUENTRA EL CONJUNTO DEL SERVICIO DE ENTEL ES CARO	TURISMO	quinta region
7TRBzEJad5fj	Pequeña	MP	Regiones	Mujer	6	HE TENIDO PROBLEMAS CON LOS EQUIPOS Y CAMBIO DISPONIBILIDAD	SERVICIOS MANOS DE OBRA	PUERTO MONTT
TfZYdKwwC0Wq	Pequeña	MasPrem	Regiones	Mujer	5	PORQUE A VECES HAY MALA SEÑAL, MALA COBERTURA, EN LOS NUMEROS DE EMPRESA, ACA EN LA COMUNA	AGRICOLA	COLBUN REGIÓN DEL MAULE
mZDABYXc84fH	Mediana	AP	Santiago	NA	6	ESTA BIEN AUNQUE TENGO 4 LINEAS Y CON MOVISTAR SON 55 LINEAS	NA	NA
G6kCiYqIe9mO	Micro	Mas	Regiones	Hombre	7	PORQUE NO PRESENTA PROBLEMAS PORQUE RESPONDE EN FORMA PRESENCIAL Y TELEFONICAS A TODAS MIS  INQUETUDES	DISTRIBUCION Y COMERCIALIZACION VTAS INDUSTRIALES	RANCAGUA Y TEMUCO
q3fRuYmSQGDw	Pequeña	MasPrem	Santiago	Hombre	6	PORQUE EN ALGUNAS HE HECHO SOLICITUDES Y HA TARDADO	VENTAS DE INTERNET	QUILIN, SANTIAGO
tNZdL6tJYQf1	Micro	MasPrem	Regiones	Mujer	1	PORQUE HACE 8 MESES TENEMOS PROBLEMAS CON LA COMPAÑIA TENEMOS QUE SEGUIR POR OTRAS RAZONES HACE 8 MESES LA SEÑAL ES PESIMA	TRANSPORTES DE TRABAJADORES	CALAMA
zii48E8YpWXe	Mediana	MP	Regiones	Hombre	5	NO ME TIENE INFORMADO DE MEJORES PLANES DONDE A MI ME SALGA MAS BARATO O UN PLAN MAS ADECUADO A MIS CONSUMOS	VENTA DE COMBUSTIBLE	CONCEPCION
xbFzkqFDxpOm	Pequeña	MasPrem	Regiones	Hombre	6	POR TEMAS DE COSTO PODRIA SER MÁS BARATO	SERVICIOS Y MANTENCION DE EQUIPOS	CALAMA
glMvqFO43xUl	Micro	Mas	Santiago	Hombre	7	POR LA SEÑAL POR LA CAPACIDAD DE LA EMPRESA QUE CUANDO NECESITA ALGO TE DAN UN TIPO DE RESPUESTA	GASTRONOMIA	SECTOR NORTE CONCHALI
BrTnJDvCaiaV	GGEE	AP	Regiones	Mujer	7	PORQUE ESTA BIEN EN CUANTO A SERVICIO A CLIENTE PERO HAY LUGARES DONDE NO HAY SEÑAL	FORESTAL	CONCEPCION
E9IEjpP8iTJb	Pequeña	MP	Santiago	Mujer	6	PORQUE A VECES NO TENGO CONECCION SE CORTA Y PASA MUY A MENUDO	SERVICIOS FINANCIEROS Y CONTABLES	LAS CONDES
pZDEUF5t19G9	Pequeña	MasPrem	ns/nr	NA	6	PORQUE IGUAL TIENE PROBLEMAS A VECES SE CAE UN POCO EL SERVICIO LA COBERTURA EN GENERAL	NA	NA
oXXb3AtIe5lk	Pequeña	MV	Regiones	Hombre	4	nunca me quisieron cambiar los equipos hace tiempo de forma repetitiva y es muy caro precios muy altos por cosas que se pueden hacer	consultoria	CONCEPCIO
h3C8M2vmnupu	Pequeña	MasPrem	Santiago	NA	7	PORQUE EN GENERAL SIEMPRE HE TENIDO BUENA ATENCION CUANDO  TENGO QUE HACER CAMBIO DE EQUIPO Y LA SEÑAL ES BASTANTE BIEN POR ESO NO ME CAMBIO	NA	NA
okKrF06PsuUG	Pequeña	MasPrem	Regiones	Mujer	6	PORQUE NO DAN MUCHAS FACILIDADES PARA COMPRAR TELEFONOS BARATOS ,LOS TELEFONOS SON MUY CAROS, NO MIRAN A LAS PERSONA QUE LLEVAMOS MUCHO TIEMPO Y QUE SOMOS PUNTUALES EN LOS PAGOS ,NO HAY DESCUENTOS NO HAY NADA DE ESO	ALIMENTACION EN FORMA INDUSTRIAL	CURANILAHUE
7aU6jPJHP6F6	Pequeña	MasPrem	Santiago	Hombre	6	PORQUE DAN BUEN SERVICIO, UN POCO MAL LA COBERTURA	CONTRATISTA	SANTIAGO
vx9miY8LCEfP	Micro	Mas	Regiones	Mujer	5	PORQUE A PESAR DE TENER MAYOR COBERTURA TIENE MUCHO SUSPENSION MUCHA CAIDA	EXPORTACION DE MADERAS	CONCEPCION
BMVH46XdZgqw	Mediana	AP	Regiones	Hombre	7	PORQUE NO HEMOS TENIDO PROBLEMAS Y CUANDO SE HA SUSCITADO ALGUN PROBLEMA LA EJECUTIVA LO HA SOLUCIONADO	COMERCIO	TEMUCO
8tXUSrXKMycf	Pequeña	MV	Santiago	Mujer	5	PORQUE CON EL INTERNET HAN TENIDO PROBLEMA EN EL ULTIMO AÑO, SE CAE.	TELECOMUNICACIONES	QUILICURA
atrMegj43NXX	GGEE	MV	Regiones	Hombre	5	PORQUE SE CORTA LA COMUNICACION PORQUE REACCION ANTE PAGO Y OTRAS COSAS COMERCIALES NO SON TAN RAPIDOS MUY BUROCRATICOS COMO 4 DIAS SE DEMORARON SOBRE PAGOS	COMERCIO RITAIL	LA LIGUA 5REGION
pqa18gacXv6N	Micro	Mas	Regiones	Mujer	6	PORQUE NO ME DEJAN SACAR OTRO PLAN,NO ME DEJAN AMPLIAR EL ,QUIERO AMPLIARLO Y NO ME LO PERMITEN	SERVICIO DE LAVADO	COQUIMBO
qJvba9sxE6Vb	Pequeña	Mas	Santiago	Hombre	5	PORQUE LOS SERVICIOS NO PRESENTAN MAYOR PERO TAMPOCO SON TAN EFICIENTES	IMPRESOS	SANTIAGO
NEofVjWbS0Yj	Mediana	MV	Santiago	Mujer	7	BUENO PORQUE EN REALIDAD NO HE RECIBIDO QUEJAS DE LOS USUARIOS EN CUANTO A COBERTURA Y PLANES	ELECTRICO	LA CISTERNA
7mgFqOfTlROz	Pequeña	MasPrem	Regiones	Hombre	3	MUY CARO Y MALA CALIDAD DE ATENCIÓN EN TODOS EN GENERAL NO SOLUCIONA LAS COSAS NO HAY RESPUESTAS CLARAS NI DIRECTAS SI NO APARECE LA INFORMACIÓN EN EL COMPUTADOR NO SABEN QUE HACER TIENE PROBLEMA DE SERVICIOS ELLOS ME LLAMAN POR UN SERVICIO DE UN RUT QUE NO ES MIO Y NO ME PUEDO CONECTAR Y ME SIGUEN LLAMANDO POR UN SERVICIO QUE NO TENGO PROBLEMAS DE COMUNICACIÓN Y NO RESUELVEN NADA Y TIENE EL OPERADOR MAS CARO EN TELEFONIA MOVIL	INGENIERIA	VIÑA DEL MAR
kVt28KUBxSfu	Pequeña	Mas	Santiago	Hombre	6	PORQUE TIENE BUEN SERVICIO EN GENERAL ROAMING EN ARGENTINA Y BOLIVIA NO FUNCIONA	ARQUITECTURA	PROVIDENCIA
B89JGL5KAwCO	GGEE	AV	Santiago	Hombre	6	LOS PRECIOS HAN IDO MEJROANDO LA COBERTURA TAMBIEN PERO LOS EQUIPOS ESTAN MAS CARO	SERVICIO TRANSITORIOS	PROVIDENCIA
IxmsyWXxawvM	Micro	Mas	Regiones	Hombre	5	PORQUE DE REPENTE SE CAE LA SEÑAL LA OTRA VEZ TUVE CHILLAN Y 2 DIAS CON SEÑAL INTERMITENTE Y LO OTRO QUE LA NAVEGACIO NES MUY LENTA SOLO EN CHILLAN	VENDEMOS BICICLETAS	VIÑA DEL MAR
WFfING8pgzr5	Mediana	MasPrem	Santiago	Mujer	6	PORQUE TIENE PROBLEMAS ADMINISTRATIVOS PARA HACER GESTIONES EN LA EMPRESA CUANDO QUEREMOS CAMBIAR LOS APARATOS	DISTRIBUIDORA	EL BOSQUE
StqOmecW6XE9	Micro	MasPrem	ns/nr	Hombre	5	EL SERVICIO LA SEÑAL Y EL INTERNET INESTABILIDAD DEL SISTEMA	TRANSPORTE	RANCAGUA
