encriptado	SEG_CORFO_FINAL	CL_SEG_GOL_original	Regionx	sex_enc	ISO_FINAL_A	F1	P1	P2[{_1}].Rp	P2[{_2}].Rp	P2[{_3}].Rp	P2[{_1}].Rp._98	P2[{_2}].Rp._98	P2[{_3}].Rp._98	P3	P4	P4_COD	P5[{_a}].Rp	P5[{_b}].Rp	P5[{_c}].Rp	P5[{_d}].Rp	P5[{_e}].Rp	P6_aux	P6	P7[{_1}].Rp	P7[{_2}].Rp	P7[{_3}].Rp	P8	P9	P10[{_1}].Rp	P10[{_2}].Rp	P10[{_3}].Rp	P10[{_4}].Rp	P10[{_5}].Rp	P10[{_6}].Rp	P10[{_7}].Rp	P10[{_8}].Rp	P11[{_1}].Rp	P11[{_2}].Rp	P11[{_3}].Rp	P11[{_4}].Rp	P11[{_5}].Rp	P11[{_6}].Rp	P11[{_7}].Rp	P11[{_8}].Rp	P12[{_1}].Rp	P12[{_2}].Rp	P12[{_3}].Rp	P12[{_4}].Rp	P12[{_5}].Rp	P12[{_6}].Rp	P12[{_7}].Rp	P12[{_8}].Rp	P13[{_1}].Rp	P13[{_2}].Rp	P13[{_3}].Rp	P13[{_4}].Rp	P14	P15[{_1}].Rp	P15[{_2}].Rp	P15[{_3}].Rp	P15[{_4}].Rp	P16[{_1}].Rp	P16[{_2}].Rp	P16[{_3}].Rp	P16[{_4}].Rp	P17	P18	P19	P19_COD	P20	P21	P22	P23	P24	P25	P27	P28	P29	P30	P32
RgPWMSvVFFYn	PEQUEÑA	Mas	SANTIAGO	Hombre	No	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	POR UN TEMA DE CAPACIDAD YA QUE SOLO TENEMOS CIERTO LIMITE DE CAPACIDAD DE TRANSFERENCIA DE DATOS DE 150 GIGAS, DE SUBIDA Y BAJADA, NO NOS HAN PODIDO OFRECER MÁS POR UN TEMA CREO DE LOCALIZACIÓN.	Mal servicio internet/ se cae/ lento/ falla	6	6	5	5	5	INTERNET BANDA ANCHA	6	6	6	6	6	7	No	Sí	No	No	Sí	No	No	No	NA	3	NA	NA	7	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800,A través de la web con clave Mi Entel Empresas	NA	NA	A través del Call center, empresa línea 600, línea 800,A través de la web con clave Mi Entel Empresas	NA	NA	NA	NA	6	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7	Ha mejorado	8	6	PUBLICIDAD	10 AÑOS	LAS CONDES	SOCIO GERENTE
txDEFKnH1eOM	MEDIANA	MV	SANTIAGO	Hombre	No	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel,Telefónica/ Movistar	NA	NA	NA	7	"PORQUE TIENE EXCELENTE SERVICIO; CASI NUNCA HE TENIDO PROBLEMAS, Y CUANDO HE TENIDO PROBLEMAS, LA SOLUCIÓN ES INMEDIATA."	Buenos servicios,No ha tenido problemas/ conforme/ todo bien,Soluciones rápidas	7	7	7	7	NS/NR	INTERNET BANDA ANCHA	7	7	6	6	7	7	No	No	No	No	No	Sí	Sí	No	NA	NA	NA	NA	NA	7	7	NA	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	NA	7	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Equipo de ejecutivos llamado Círculo de Atención Preferente  que es el *106 desde móvil y <br/>6003600106 desde red fija que atiende sus requerimientos de post-venta	Sí	NA	Sí	NA	7	NA	7	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Está Igual	10	25	MAESTRANZA	12 AÑOS	SAN BERNARDO	ADMINISTRADOS
LM4QbeU7dtxR	MEDIANA	AV	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,VTR	NA	Entel	NA	NA	NA	7	POR QUE SIEMPRE CUMPLE LOS SERVICIOS QUE OCUPAMOS HAN ESTADO FUNCIONANDO BIEN, LO QUE OFRECEN EL SERVICIO, LA NAVEGACIÓN, LA GIGAS, UNA BUENA RELACIÓN, BUENA ATENCIÓN POST-VENTA, RESPUESTA RÁPIDA A LOS REQUERIMIENTOS.	Buenos servicios,Internet funciona bien,Buena atención/ amables,Buen servicio de los ejecutivos/ apoyo/ atención,Soluciones rápidas	7	7	7	7	7	INTERNET BANDA ANCHA	7	7	7	7	7	7	Sí	Sí	No	Sí	Sí	Sí	Sí	No	5	5	NA	5	5	7	5	NA	Ejecutivo asignado	Ejecutivo asignado	NA	Ejecutivo asignado	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	7	6	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	Sí	NA	NA	7	7	NA	NA	Cumple las necesidades que usted tiene como administrador	Sí	SE CAEN LOS TELÉFONOS, NO FUNCIONA.	Cobertura para hacer y recibir llamadas/ se cortan las llamadas/ caída de líneas	Sí	Si fue solucionado	7	7	Está Igual	10	120	METAL MECÁNICA	19 AÑOS	ALTO PISO	GERENTE DE ADMINISTRACION
yddvzRDgJf1T	PEQUEÑA	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,Telefónica/ Movistar	NA	Entel,Telefónica/ Movistar	NA	NA	NA	7	PORQUE TENGO EL SERVICIO QUE QUIERO, NO TENGO PROBLEMAS, OCUPO INTERNET, EL TELÉFONO FUNCIONA, NINGÚN PROBLEMA. NOSOTROS OCUPAMOS EL TELÉFONO FIJO E INTERNET, NADA MÁS, Y NO TENEMOS PROBLEMAS PARA OCUPARLO POR LO TANTO MI EVALUACIÓN ES OPTIMA.	No ha tenido problemas/ conforme/ todo bien,Buen servicio de internet/ rápido/ estable,Buen servicio de telefonía	6	7	7	7	6	INTERNET BANDA ANCHA	7	7	7	7	7	6	No	No	No	No	No	Sí	No	Sí	NA	NA	NA	NA	NA	6	NA	1	NA	NA	NA	NA	NA	A través de la web con clave Mi Entel Empresas	NA	A través de la web con clave Mi Entel Empresas	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7	Está Igual	10	5	COMPUTACIÓN.	TUVIMOS UNA INTERRUPCIÓN POR UN MAL ENTENDIDO, YO DIRÍA QUE UN PAR DE AÑOS Y SE RECONTINUÓ HACE UNOS CINCO MESES ATRÁS, SEIS MESES ATRÁS.	SANTIAGO	GERENTE GENERAL Y DUEÑO.
1xMYDqVDeOdb	GGEE	AV	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Claro/ Telmex,Entel	NA	NA	NA	6	PORQUE EL 7 ES EXCELENTE Y EL INTERNET ES INESTABLE, EN LA VELOCIDAD.	No es perfecto/ podría ser mejor,Mal servicio internet/ se cae/ lento/ falla	7	7	7	6	NS/NR	INTERNET BANDA ANCHA	6	6	5	6	7	7	No	No	No	Sí	No	Sí	Sí	No	NA	NA	NA	7	NA	7	6	NA	NA	NA	NA	Ejecutivo asignado	NA	A través de la web con clave Mi Entel Empresas	A través del Call center, empresa línea 600, línea 800	NA	7	5	7	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	Sí	NA	NA	7	7	NA	NA	Cumple las necesidades que usted tiene como administrador	Sí	INTERMITENCIA EN EL INTERNET	Problemas con internet/ caídas/ internet lento	Sí	Si fue solucionado	7	7	Ha mejorado	10	80	INGENIERÍA	10 AÑOS	TARAPACA	ADMINISTRATIVA EN FINANZAS
VrqNgiha7N8M	GGEE	AV	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel	Entel	NA	NA	NA	7	POR EL BUEN SERVICIO, EN CUANTO A QUE LA CONECTIVIDAD ES BUENA, LA VELOCIDAD TAMBIÉN, NO TIENE CAÍDAS, EN CUANTO A TELEFONÍA Y BANDA ANCHA.	Buen servicio/ eficiente,Servicio estable/ no se cae,Buen servicio de internet/ rápido/ estable,Buen servicio de telefonía	6	6	7	5	5	MPLS	5	6	6	6	6	7	No	No	No	No	No	No	Sí	No	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	Ejecutivo asignado	NA	7	NA	NA	NA	No tiene Ejecutivo <b>(NO LEER)</b>	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	CAÍDA DE INTERNET, INESTABILIDAD, COSAS DE ESE ÍNDOLE, MÁS QUE NADA DE INTERNET.	Problemas con internet/ caídas/ internet lento	Sí	Si fue solucionado	6	6	Ha mejorado	8	140	FORESTAL	6 AÑOS	CONCEPCION	ENCARGADO DE TEGNOLOGIA E INFORMACION
VwSpML5NLOgU	MEDIANA	AP	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7	NO HE TENIDO INCONVENIENTES CON ELLOS.	No ha tenido problemas/ conforme/ todo bien	7	7	7	7	7	INTERNET BANDA ANCHA	7	6	6	6	7	7	Sí	Sí	No	No	Sí	Sí	Sí	Sí	7	7	NA	NA	7	7	7	7	Ejecutivo asignado	Ejecutivo asignado	NA	NA	A través de la web con clave Mi Entel Empresas	A través de la web con clave Mi Entel Empresas	Ejecutivo asignado	Ejecutivo asignado	7	NA	6	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	Sí	NA	NA	7	7	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	7	Ha mejorado	9	15	CONTRATISTA FORESTAL	7 AÑOS	LOS ÁNGELES	ENCARGADO DEL ÁREA DE INFORMÁTICA
66JloyCm4Il7	PEQUEÑA	Mas	NS/NR	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	PORQUE ES UN SERVICIO ESTABLE PERO NO CUMPLE CIEN POR CIENTO DE LO QUE YO ANDO BUSCANDO, PERO IGUAL ES ESTABLE POR ESO LO TENGO.	Servicio estable/ no se cae,Ha tenido problemas	7	5	5	1	1	INTERNET BANDA ANCHA	5	5	4	4	4	4	No	Sí	No	No	No	No	Sí	No	NA	2	NA	NA	NA	NA	4	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	5	Está Igual	5	20	ESCUELA DE ARTES	MAS DE 7 AÑOS, 8 AÑOS.	PROVIDENCIA	GERENTE
xH6BjCPxS7kY	GGEE	AP	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,Telefónica/ Movistar	NA	Entel,Telefónica/ Movistar	NA	NA	NA	4	PORQUE HEMOS TENIDO RESPECTO AL INTERNET TIEMPOS DE MUCHA LENTITUD, COMO QUE ESTÁ MUY SATURADO, EN VELOCIDAD, DE PRONTO ES COMO SI NO TUVIERAN INTERNET, ESTÁ CONECTADO, PERO, NO PUEDES ENTRAR A UNA PÁGINA.	Mal servicio internet/ se cae/ lento/ falla,Mal servicio internet,Problemas de conectividad/ conexión/ comunicación	6	6	5	5	6	INTERNET BANDA ANCHA	5	4	6	5	4	6	No	No	No	Sí	No	No	No	Sí	NA	NA	NA	5	NA	NA	NA	5	NA	NA	NA	Ejecutivo asignado	NA	NA	NA	Ejecutivo asignado	5	NA	NA	NA	Ejecutivo de Atención que atiende sus requerimientos Post-Venta	NA	Sí	NA	NA	NA	5	NA	NA	No cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	5	Está Igual	6	51	CONSTRUCCIÓN	4AÑOS	ÑUÑOA (SANTIAGO)	RECURSOS HUMANOS
8La4zh8ZH8iV	MEDIANA	MP	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,Telefónica/ Movistar	NA	Telefónica/ Movistar	NA	NA	NA	5	"PORQUE NO SON PROACTIVOS, LES FALTA PROACTIVIDAD; EN OFRECERNOS MAYORES SERVICIOS O VENTAJA EMPRESARIAL, EL EJECUTIVO QUE NO HABLO CON ÉL HACE MAS DE SEIS MESES"	No tiene contacto con los clientes/ difícil contactarse con la cia.	6	6	4	4	5	INTERNET BANDA ANCHA	5	6	6	6	2	7	Sí	No	No	No	Sí	No	No	No	4	NA	NA	NA	7	NA	NA	NA	Ejecutivo asignado	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	5	6	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Equipo de ejecutivos llamado Círculo de Atención Preferente  que es el *106 desde móvil y <br/>6003600106 desde red fija que atiende sus requerimientos de post-venta	Sí	NA	No	NA	5	NA	NA	NA	No cumple las necesidades que usted tiene como administrador	Sí	"NO HEMOS TENIDO SEÑAL; SEÑAL TELEFÓNICA"	Mala señal/ problemas de señal,Cobertura para hacer y recibir llamadas/ se cortan las llamadas/ caída de líneas	Sí	Si fue solucionado	6	5	Está Igual	5	40	SERVICIO	DOCE AÑOS	ILIMARES	ENCARGADA DEL DEPARTAMENTO DE DESARROLLO Y TECNOLOGÍA
7nj94vClt3io	PEQUEÑA	Mas	REGIONES	Mujer	No	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel	Telefónica del Sur	NA	NA	NA	4	PORQUE DE REPENTE SE CAE LA SEÑAL, NO HAY BUEN SERVICIO YA QUE SE CAE LA SEÑAL Y LAS FACTURAS NO LLEGAN.	Mala señal,Mal servicio,No llegan las facturas	6	2	2	2	6	INTERNET BANDA ANCHA	5	2	6	6	1	1	No	No	No	No	No	Sí	No	No	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	CON LA FACTURACIÓN YA QUE NO ME LLEGA LA FACTURA, NI ME AVISAN POR CORREO.	No llegan las facturas/ atraso en la factura	Sí	Está en trámite	NA	5	Ha empeorado	4	6	LIBRERÍA	3 AÑOS	PUERTO VARAS	DUEÑA
gRVEgz5iiXSX	PEQUEÑA	Mas	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	6	PORQUE NO HE TENIDO PRECISAMENTE NUNCA PROBLEMA, PERO CUANDO SE HA SUSCITADO ME HA DEJADO DE ESCOBA, CUANDO SE HA CAÍDO EL SISTEMA.	No ha tenido problemas/ conforme/ todo bien,Se cae el servicio/ se corta/ intermitente	7	7	7	6	6	INTERNET BANDA ANCHA	5	6	7	6	6	5	No	No	No	No	No	Sí	No	No	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800,A través de la web con clave Mi Entel Empresas	NA	NA	NA	7	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7	Está Igual	10	15	JURÍDICA	16 AÑOS	SANTIAGO	SECRETARIA ADMINISTRATIVA
WzCqeqyvkYRE	GGEE	MV	REGIONES	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel,Telefónica del Sur	Entel,Telefónica del Sur	NA	NA	NA	1	PORQUE HEMOS TENIDO MUCHAS CAÍDAS DEL SER SERVICIO DE INTERNET Y DE TELEFONÍA LA ULTIMA FUE DE 5 DÍAS  Y NADIE SE HIZO CARGO REALMENTE DEL PROBLEMA QUE SE TENIA, HICIMOS UN MONTÓN DE REQUERIMIENTOS, FINALMENTE  PASO TANTO TIEMPO CON LA CAÍDA  LINEA QUE ERA UN PROBLEMA CON LA ALARMA Y UN MONTÓN DE DIFICULTADES. TIENE PÉSIMA CALIDAD DE SERVICIO	Mal servicio internet/ se cae/ lento/ falla,Mal servicio de telefonía/ se cortan las llamadas,Demora en soluciones,Mal servicio	1	1	1	1	1	INTERNET BANDA ANCHA	1	1	1	1	1	2	No	Sí	No	No	Sí	No	Sí	Sí	NA	1	NA	NA	1	NA	1	1	NA	Ejecutivo asignado,A través del Call center, empresa línea 600, línea 800,A través de la web con clave Mi Entel Empresas,En tienda/ sucursales	NA	NA	A través del Call center, empresa línea 600, línea 800,A través de la web con clave Mi Entel Empresas,En tienda/ sucursales	NA	Ejecutivo asignado,A través del Call center, empresa línea 600, línea 800,A través de la web con clave Mi Entel Empresas,En tienda/ sucursales	Ejecutivo asignado,A través del Call center, empresa línea 600, línea 800,A través de la web con clave Mi Entel Empresas,En tienda/ sucursales	2	1	1	1	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Equipo de ejecutivos llamado Círculo de Atención Preferente  que es el *106 desde móvil y <br/>6003600106 desde red fija que atiende sus requerimientos de post-venta	Sí	NA	Sí	NA	1	NA	1	NA	No cumple las necesidades que usted tiene como administrador	Sí	PROBLEMAS DE CONECTIVIDAD, DE SERVICIOS DE BAJAS DEL SERVICIO PROPIOS QUE ELLOS VENDEN, NOS COBRAN SERVICIOS QUE EN EL FONDO NO ENTREGAN, SE HACEN LOS RECLAMOS LOS REQUERIMIENTOS Y NO SE ESCALAN NOS PONEN A LLAMAR QUE AL 105 QUE LLAME AL 107, QUE LLAME AL 600 AL 800, QUE EL EJECUTIVO NO ESTA DISPUESTO O NO TIENE LA CAPACIDAD E HACERLO, NOS DERIVAN AL CIRCULO DE ESPECIALISTAS Y TAMPOCO TIENE IDEA, NO SIRVE DE NADA	Conectividad/ conexión,No cumplen lo que prometen,No solucionan problemas,Ejecutivo no da soluciones/ inoperante,Mal servicio post venta	Sí	No fue solucionado	NA	1	Ha empeorado	0	100	FARMACIA	MAS DE 10 AÑOS	ANGON NOVENA REGIÓN	JEFE DE FINANZAS
2690ZUirvrOY	GGEE	AV	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha"	Entel	NA	NA	NA	NA	NA	5	"PORQUE LA VERDAD QUE A VECES NOS CUESTA RECIBIR RESPUESTAS A LO QUE MEDIMOS, ES POR ESO, CUANDO SOLICITAMOS UNA EVALUACIONES DE PLANES, QUE NOS EXPLIQUEN ALGUNOS CONCEPTOS, HEMOS TENIDO ALGUNOS RETRASOS; HEMOS TENIDO ALGUNOS PROBLEMAS TÉCNICOS, EN QUE NO HEMOS RECIBIDO RESPUESTA OPORTUNA, NO ES FRECUENTE PERO HA PASADO, SEÑALES DE COMUNICACIÓN DE INTERNET"	No tiene contacto con los clientes/ difícil contactarse con la cia.,No solucionan problemas,Falta información,Mal servicio internet	7	6	6	6	NS/NR	INTERNET BANDA ANCHA	5	5	6	NS/NR	5	7	No	Sí	No	No	No	No	Sí	No	NA	6	NA	NA	NA	NA	5	NA	NA	Ejecutivo asignado	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	6	6	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	No	No	NA	NA	NA	NA	NA	NA	Cumple las necesidades que usted tiene como administrador	Sí	LOS CORTES DE SEÑAL, EN QUE PERDEMOS LA SEÑAL, Y NO TENEMOS INTERNET	Mala señal/ problemas de señal,Problemas con internet/ caídas/ internet lento	Sí	Si fue solucionado	7	7	Está Igual	10	80	TRANSFORMACIÓN DE POLIESTIRENO TRAMBIO	10 AÑOS	QUIMICURRA	GERENTE DE OPERACIONES
QrWO2JWhseWn	MICRO	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7	PORQUE NO TENIDO NINGÚN PROBLEMA EN LA CONEXIÓN Y EN EL FORMATO.	No ha tenido problemas/ conforme/ todo bien	7	7	6	7	6	INTERNET BANDA ANCHA	7	7	6	7	6	7	Sí	No	No	Sí	No	No	Sí	No	5	NA	NA	5	NA	NA	6	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7	Está Igual	9	99	MINERÍA	1 AÑO	SANTIAGO - LA FLORIDA	GERENTE
GMxtXyBOokgV	PEQUEÑA	Mas	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel	Entel	NA	NA	NA	7	PORQUE LLEVAMOS MUCHO TIEMPO Y NO TENEMOS PROBLEMAS CON ELLOS, EL SERVICIO ES BUENO EN GENERAL.	No ha tenido problemas/ conforme/ todo bien,Buenos servicios	7	7	7	7	7	INTERNET BANDA ANCHA	7	7	7	7	7	7	No	No	No	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7	Está Igual	6	3	SERVICIOS FINANCIEROS	6 AÑOS	IQUIQUE	JEFE DE OPERACIONES.
q5jau4HvKzKB	MEDIANA	AV	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	VTR	NA	NA	NA	6	PORQUE ME RESPONDEN RÁPIDAMENTE TENGO CONTRAPARTE Y LLEVAMOS UN MES TAMBIÉN ASÍ QUE ME ESCUCHAN O SEA PRIMERO TENGO UNA CONTRAPARTE QUIERE DECIR QUE TENGO CONOZCO MI EJECUTIVO, TENGO MI EJECUTIVO PERSONAL, TENGO MI EJECUTIVO VIRTUAL LAS CONOZCO Y ME UBICAN ME DEVUELVEN EL LLAMADO PORQUE ATIENDEN LO QUE YO MIS INQUIETUDES, RESPONDEN MIS INQUIETUDES	Soluciones rápidas,Buen servicio de los ejecutivos/ apoyo/ atención	6	6	5	5	5	INTERNET BANDA ANCHA	6	6	7	6	6	5	Sí	No	No	No	Sí	No	No	No	6	NA	NA	NA	5	NA	NA	NA	Ejecutivo asignado,A través de la web con clave Mi Entel Empresas	NA	NA	NA	A través de la web con clave Mi Entel Empresas	NA	NA	NA	6	NA	6	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	Sí	NA	NA	6	6	NA	NA	Cumple las necesidades que usted tiene como administrador	No	NA	NA	NA	NA	NA	6	Ha mejorado	7	250	INSTALACIONES ELECTRICAS	1 MES	VIÑA DEL MAR	GERENTE GENERAL
PTBwlwD1vyZU	PEQUEÑA	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7	PORQUE DAN UN MUY BUEN SERVICIO Y NO HA HABIDO FALLAS RESPONDE Y RESUELVE RÁPIDAMENTE LAS DUDAS	Buenos servicios,No ha tenido problemas/ conforme/ todo bien,Soluciones rápidas	7	7	7	7	5	INTERNET BANDA ANCHA	7	7	7	7	7	7	Sí	Sí	No	No	No	No	No	No	7	7	NA	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	NA	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7	Está Igual	10	2	MEDICO	10 AÑOS	LAS CONDES	MEDICO
MKlNYG2q0TV3	GGEE	AP	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel	Entel	NA	NA	NA	5	PORQUE ME A COSTADO COMUNICARME MUCHO CON LOS EJECUTIVOS PARA MEJORAS DE SERVICIOS	No tiene contacto con los clientes/ difícil contactarse con la cia.	6	5	5	6	4	MPLS	6	5	4	5	4	6	Sí	Sí	No	Sí	Sí	No	Sí	No	3	3	NA	5	5	NA	6	NA	Ejecutivo asignado,A través del Call center, empresa línea 600, línea 800	Ejecutivo asignado,A través del Call center, empresa línea 600, línea 800	NA	Ejecutivo asignado,A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	A través del Call center, empresa línea 600, línea 800	NA	4	5	NA	NA	Sabe que tiene un ejecutivo pero desconoce su función <b>(NO LEER)</b>	NA	NA	NA	Sí	NA	NA	NA	4	No cumple las necesidades que usted tiene como administrador	Sí	TUVE PROBLEMAS CON EL MPLS, CORTE DE COMUNICACIÓN	Problemas con el modem/ router,Caída del sistema/ servicio	Sí	Si fue solucionado	6	5	Está Igual	6	300	PUBLICIDAD	15 AÑOS	LAS CONDES	DIRECTOR DE TECNOLOGÍAS
dg1GfcoUXShM	MEDIANA	MV	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	2	PORQUE TENEMOS PROBLEMAS EN LA CONEXIÓN, O SEA NO ES OPTIMA Y TENEMOS UNA SUCURSAL QUE NO HA HECHO POSIBLE QUE NOS CUMPLAN EL TEMA, SUS EJECUTIVOS TAMPOCO NOS RESPONDEN, POR TODOS LADOS MAL.	Se cae el servicio/ se corta/ intermitente,Problemas de conectividad/ conexión/ comunicación,No solucionan problemas,No tiene contacto con los clientes/ difícil contactarse con la cia.	5	5	2	2	5	INTERNET BANDA ANCHA	2	5	5	4	1	6	Sí	Sí	No	Sí	Sí	No	Sí	Sí	2	2	NA	2	2	NA	2	2	A través del Call center, empresa línea 600, línea 800	Ejecutivo asignado	NA	Ejecutivo asignado	A través del Call center, empresa línea 600, línea 800	NA	A través del Call center, empresa línea 600, línea 800	Ejecutivo asignado	4	2	NA	NA	Equipo de ejecutivos llamado Círculo de Atención Preferente  que es el *106 desde móvil y <br/>6003600106 desde red fija que atiende sus requerimientos de post-venta	NA	NA	Sí	NA	NA	NA	2	NA	No cumple las necesidades que usted tiene como administrador	Sí	DE CONECTIVIDAD, EN MALA SEÑAL Y CORTE DE LA SEÑAL.	Conectividad/ conexión,Mala señal/ problemas de señal,Caída del sistema/ servicio	Sí	No fue solucionado	NA	2	Ha empeorado	2	10	DISTRIBUIDORA	5 AÑOS	RANCAGUA	GERENTE COMERCIAL
