...1	ola - Ola Medicion	F1 - FiltroF1.  ¿Es usted la persona que administra la cuenta que su empresa tiene con el/los operadores de productos o servicios fijos?	"P2__1 - a.	Internet Banda Ancha :"	"P2__2 - b.	Red privada de datos/Transmisión de datos (MPLS) :"	"P2__3 - c.	Telefonía Fija :"	"P3 - Ahora hablaremos de su relación con Entel 
    3.	Pensando en su cuenta empresa, En general, con escala 1 a 7, donde 1 = Muy insatisfecho y 7 = Muy satisfecho, ¿Cuán satisfecho está usted con Entel?"	"P4 - 4.	¿Por qué evalúa con esa nota? Sondear y profundizar"	"P5__A - a)	Entel es una empresa con buena imagen en general :"	"P6 - 6.	Pensando en el funcionamiento del servicio… {#P6_aux}, ¿con qué nota de 1 a 7,evalúa el Funcionamiento de este servicio en general?"	"P7__1 - a)	Precio de los servicios en relación al mercado (Competitividad) :"	P7__2 - b) Competitividad de planes en cuanto a Internet banda ancha :	"P8 - 8.	Y en lo que respecta a Servicio a Clientes, en escala de 1 a 7 ¿cuán satisfecho está usted con ENTEL?"	P9__1 - Contratación de nuevos servicios : RU cada una	P9__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) : RU cada una	P9__3 - Consultas del contrato/ alcances del contrato/ condiciones del contrato : RU cada una	P9__4 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' : RU cada una	P9__5 - Reclamos por fallas técnicas de los servicios fijos : RU cada una	P10__1 - Contratación de nuevos servicios : RU cada una	P10__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) : RU cada una	P10__3 - Consultas del contrato/ alcances del contrato/ condiciones del contrato : RU cada una	P10__4 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' : RU cada una	P10__5 - Reclamos por fallas técnicas de los servicios fijos : RU cada una	P11__1 - Contratación de nuevos servicios : RM cada una	P11__2 - Solicitar aumentos o disminuciones  de velocidad (cambios de plan) : RM cada una	P11__3 - Consultas del contrato/ alcances del contrato/ condiciones del contrato : RM cada una	P11__4 - 'Consultas de la factura, como fecha pago, montos, detalles de cobros' : RM cada una	P11__5 - Reclamos por fallas técnicas de los servicios fijos : RM cada una	"P11_1__1 - a)	La facilidad para reportar el reclamo a Entel : RU cada una"	"P11_1__2 - b)	la Rapidez de respuesta a su reclamo por parte de Entel : RU cada una"	P12__1 - Ejecutivo asignado :	P12__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P12__3 - Call Center Empresa :	P12__4 - Página Web Empresa :	P12__5 - Tiendas/ Sucursales :	P13__1 - Ejecutivo asignado :	P13__2 - Equipo de ejecutivos llamado Círculo de Atención Preferente - CAP :	P13__3 - Call Center Empresa :	P13__4 - Página Web Empresa :	P13__5 - Tiendas/ Sucursales :	"P14 - FACTURACIÓN 
       14.	En cuanto a la Facturación de todos los servicios fijos que tiene con ENTEL, en una escala de 1 a 7 ¿Cómo evalúa …? 
        
       El Proceso de Facturación en general"	"P15 - MODULO INCIDENCIAS 
         15. En los últimos 3 meses, ¿ha tenido su empresa algún problema con el servicio entregado por ENTEL?"	P16 - 16. ¿Qué problema ha tenido? Sondear	"P17 - LEALTAD 
         17. Utilizando una escala de 1 a 7, donde 1 significa nada dispuesto y 7 significa muy dispuesto, ¿Qué tan dispuesto estaría usted a continuar con Entel?"	P18 - 18. Pensando en este periodo de crisis Covid-19 ¿Cuan satisfecho está con ENTEL como proveedor de servicios de telecomunicaciones? Escala de 1 a 7, 99= No sabe/no responde	P19 - 19. ¿Aceptaría que Entel conozca sus respuestas y lo contactara para entender en profundidad sus requerimientos/necesidades?	SEG_CORFO	"P22 - 22.	¿Cuál es el rubro de su empresa?"	"P24 - 24.	¿Ciudad o Comuna de Ubicación de su Empresa?"	"P27 - 27.	Sexo  (No preguntar):"	"P28 - 28.	REGION (no preguntar):"	EMPTY LABEL - No Information Provided...52	EMPTY LABEL - No Information Provided...53	EMPTY LABEL - No Information Provided...54	EMPTY LABEL - No Information Provided...55
lduB4MENmap4	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	PORQUE FUNCIONAN BIEN, PERO NO PERFECTO. PORQUE FUNCIONA BIEN EN EL SERVICIO QUE PRESTAN.	5	7. Muy satisfecho	5	5	6	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NA	5	No	NA	7	7	Sí	MICRO	BOUTIQUE	VITACURA	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
NTnWbzXlarGM	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	5	A veces tiene problemas de conexión se cae las conexión y tiene problemas de velocidad, se cae dos veces a la semana pero necesitamos internet el sistema de ventas genera problemas a veces.	5	5	3	3	6	No	No	No	Sí	Sí	NA	NA	NA	6	5	NA	NA	NA	A través del Call Center empresa	A través del Call Center empresa	6	5	NA	NA	Sí	Sí	No	NA	NA	6	5	NA	5	Sí	Fallas de velocidad y caída del servicio, pierde velocidad la transferencia de datos es demasiado lenta, a veces no funciona hay que esperar mucho rato, se demora mucho internet.	5	3	Sí	PEQUEÑA	ferreteria	viña del mar	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
lMXTVR2iAUEX	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	POR LA VELOCIDAD EL SISTEMA NO SE PEGA, FUNCIONA BIEN, LA BOLETA SE EMITE DE MANERA RAPIDA, NO TENGO PROBLEMAS CON LOS SERVICIOS	7. En absoluto acuerdo	7. Muy satisfecho	7	7	7	No	No	Sí	Sí	No	NA	NA	7	7	NA	NA	NA	A través del Call Center empresa	A través del Call Center empresa	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NA	7	No	NA	7	7	Sí	PEQUEÑA	VENTA DE CALZADO	CONCEPCION	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
RPdZjfNWfB2d	MEDICION SEPTIEMBRE 2020	Sí	Entel,Telefónica/ Movistar	NA	Entel,Telefónica/ Movistar	3	Porque no responde cuando uno uno los llama, me tienen el intenet pesimo en el local	5	5	4	4	5	No	No	No	No	Sí	NA	NA	NA	NA	5	NA	NA	NA	NA	A través del Call Center empresa	4	4	NA	NA	Sí	No	No	NA	NA	4	NA	NA	6	Sí	La baja de internet, se me cae el internet, se me cae el internet en el local comercial donde trabajo	3	7	Sí	PEQUEÑA	Articulos médicos	Providencia	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
Ty2OUZubZr1x	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	PORQUE A VECES, RARA VEZ HAY INTERMITENCIA EN INTERNET EN QUE BAJA COMO LA COBERTURA Y SE PONE LENTO O HAY PROBLEMA DE SEÑAL.	7. En absoluto acuerdo	6	7	7	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	NA	No	Sí	No	7	NA	NA	7	NA	7	No	NA	7	7	Sí	MEDIANA	OBRAS CIVILES Y FERRETERÍA	COPIAPÓ	Mujer	REGIONES	AP	GGEE	EMPRESAS	Stock Fijo
Qukl4T5OwsLL	MEDICION SEPTIEMBRE 2020	Sí	Entel,Telefónica/ Movistar,VTR	NA	NA	6	NUNCA SON ESTABLES LAS PRESTACIONES DE SERVICIO, HAY VECES QUE LA BANDA ANCHA ANDA LENTO.	6	6	5	4	5	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	Sí	Sí	NA	NA	3	5	3	6	No	NA	7	7	Sí	PEQUEÑA	SERVICIOS ODONTOLOGICOS	CALAMA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
9GUeM9j2R6GH	MEDICION SEPTIEMBRE 2020	Sí	Entel	Entel	NA	1. Muy insatisfecho	POR QUE ENTEL ES PURA  PUBLICIDAD ENGAÑOSA ,POR QUE NO FUNCIONA EL  INTERNET,  NI EL  WIFI, ME HICIERON UN CONTRATO DE 3 AÑOS Y DESPUES ME SALIERON DICEINDOME QUE ERA POR 2 AÑOS,NO ME RESPODINDEN, NO ME SOLUCIONAN,  ESTAMOS INSATISFECHOS CON LA EMPRESA//NO DA MAS INFORMACION	2	4	1	1	1	Sí	Sí	Sí	Sí	Sí	7	1	1	7	1	Ejecutivo asignado	Ejecutivo asignado	Ejecutivo asignado	A través del Call Center empresa	A través del Call Center empresa	1	1	Sí	NA	Sí	Sí	No	1	NA	7	1	NA	1	Sí	PROBLEMAS CON EL WIFI, LA USUARIA DEL SERVICIO DE ENTEL, AL MOMENTO DE CONTRATARLOS NOS DIO UNA INFORMACION TOTALMENTE DISTINTA AL SERVICIO QUE SOLICITAMOS//NO DA  MAS INFORMACION	1	1	Sí	GGEE	CORPORACION	ARICA	Hombre	REGIONES	AV	GGEE	GRANDES CUENTAS	Stock Fijo
CHmNcEGihVsM	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	5	PORQUE LA VELOCIDAD CAE Y DERREPENTE CAIDAS DE SEÑAL DE INTERNET DERREPENTE NO TENEMOS INTERNET PORQUE SE CAE EL SISTEMA DIGAMOS	6	5	6	6	6	No	Sí	No	No	Sí	NA	6	NA	NA	5	NA	A través del Call Center empresa	NA	NA	A través del Call Center empresa	6	5	NA	NA	Sí	No	No	NA	NA	6	NA	NA	4	Sí	LA CAIDA DEL SERVICIO LA PERDIDA DE CADA INTERNET DIGAMOS SE HA CAIDO DURANTE MAS DE MEDIO DIA	5	6	Sí	PEQUEÑA	CONSTRUCCION	SANTIAGO	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
mzfmuUJXN7Gv	MEDICION SEPTIEMBRE 2020	Sí	NA	Entel	GTD/ Manquehue	6	ALGUNOS ASPECTOS COMERCIALES CON PROBLEMAS	7. En absoluto acuerdo	7. Muy satisfecho	6	1	7	Sí	Sí	Sí	Sí	Sí	6	5	7	7	7	Ejecutivo asignado	Ejecutivo asignado	Ejecutivo asignado	A través de la web con clave	A través de la web con clave	7	7	Sí	NA	No	Sí	No	6	NA	NA	6	NA	6	Sí	CORTE DE SERVICIO	6	7	Sí	GGEE	AGROINDUSTRIA	SANTIAGO	Hombre	SANTIAGO	AV	GGEE	GRANDES CUENTAS	Stock Fijo
CLASNdvKlENF	MEDICION SEPTIEMBRE 2020	Sí	Entel	Entel	Entel	5	PORQUE HA MEJORADO LA ATENCIÓN, PERO LA RED NO ES MUY ESTABLE AVECES.	5	6	4	5	5	No	Sí	No	No	No	NA	5	NA	NA	NA	NA	En tienda/ sucursales	NA	NA	NA	NA	NA	NA	NA	No	No	Sí	NA	NA	NA	NA	5	5	Sí	CON EL WIFI SE PONE MUY LENTO	5	5	Sí	PEQUEÑA	CLINICA	LAS CONDES	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
ImmYQF7us23Y	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	"PORQUE NO TENGO NINGÚN PROBLEMA CON EL SERVICIO, SI CON LA FACTURACIÓN HE TENIDO ALGUNOS PROBLEMAS; QUE SE HAN DUPLICADO EL COBRO."	6	5	4	3	3	No	Sí	No	Sí	No	NA	5	NA	5	NA	NA	A través de la web con clave	NA	A través del Call Center empresa	NA	NA	NA	NA	NA	No	Sí	No	NA	NA	NA	4	NA	4	No	NA	4	1	Sí	PEQUEÑA	TECNOLOGÍA	SANTIAGO CENTRO	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
KWUXyQhtUUYK	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	PORQUE NO HA DADO MUY BUEN SERVICIO Y TIENE COBERTURA DONDE TRABAJAMOS NUNCA NOS HA FALLADO EL SERVICIO	7. En absoluto acuerdo	7. Muy satisfecho	7	7	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	Sí	No	NA	NA	7	7	NA	7	No	NA	7	7	Sí	PEQUEÑA	SERVICIOS DE INSTALCIONES	IQUIQUE	Mujer	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
L5bg0u84u33Y	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	por que nunca a tenido a problemas con entel es una excelente compañia cualquier incoveniente lo solucionan rapidamente	7. En absoluto acuerdo	7. Muy satisfecho	7	7	7	No	Sí	Sí	Sí	No	NA	7	7	7	NA	NA	A través del Call Center empresa	A través del Call Center empresa	A través del Call Center empresa	NA	NA	NA	NA	NA	Sí	No	Sí	NA	NA	7	NA	5	7	No	NA	7	7	Sí	MICRO	publicidad	santiago	Mujer	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
aQl4cjpIEBnG	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	4	porque me ofrecieron unos productos y después terminaron siendo de otra manera.	5	7. Muy satisfecho	5	5	1	No	No	Sí	Sí	No	NA	NA	1	1	NA	NA	NA	A través del Call Center empresa	A través del Call Center empresa	NA	NA	NA	Sí	NA	No	No	No	1	NA	NA	NA	NA	2	No	NA	5	6	Sí	PEQUEÑA	capacitación	providencia	Mujer	SANTIAGO	AV	GGEE	GRANDES CUENTAS	Stock Fijo
uN6FOGiIrBX1	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	NA	2	HOY DIA ESTUVIMOS 3 HORAS SIN SERVICIO, EL SERVICIO DE ENTEL, CAYO, MUCHA IMPROVISACION DE LA PARTE TECNICA, MAL HORARIO DE TRABAJO. EN OTROS PAISES MAS DESARROLLADOS ESTO SE REALIZA ES EN LAS NOCHES SIENDO QUE TRABAJAN 24/7 Y LO HICIERON MAL. A LAS 11 O 12 AM. ESO ES UN MAL SERVICIO.	2	1. Muy insatisfecho	5	5	1	Sí	Sí	Sí	Sí	Sí	1	7	2	7	1	A través del Call Center empresa	NS/NR <b>(NO LEER)</b>	NS/NR <b>(NO LEER)</b>	A través del Call Center empresa	A través del Call Center empresa	5	5	NA	NA	Sí	Sí	No	NA	NA	2	5	NA	7	Sí	HEMOS DETECTADO ERRORES EN LA RED DE ENTEL, ESTAN CONECTANDO A OTRO CALL CENTER DE CHILE, PEDIMOS UN SERVICIO DE BGP, LLENAMOS UN FORMULARIO, VINIERON UN DIA Y DIJERON QUE NO SE PODIA HACER, LE DEMOSTRAMOS QUE SI SE PODIA HACER, BUSCARON A OTRAS PERSONAS Y LO HICIERON, PERO TODAVIA NO ESTA COMPLETO, HAY 2 PROBLEMAS CON CONFIGURACION DE CALL CENTER DE CHILE, TENEMOS 3 HORAS SIN SISTEMA POR SOLUCIONAR OTRO PROBLEMA, LA IMPROVISACION CON RESPECTO A LA SOLICITUD DE BGP.  PROBLEMAS TECNICOS, DE QUE NO TIENEN CLARIDAD DE COMO SE HACEN LAS COSAS Y LAS HAN ECHO ANTES, VENDEN EL PRODUCTO Y NO SABEN COMO HACERLO. TRATARAN DE SER MAS INTERNACIONAL, QUE SEAN NOTABLE.	6	1	Sí	MICRO	TELECOMUNICACION, INFORMATICA DATA CENTER	VALDIVIA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
V9aq1mHVaKmx	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	3	PORQUE EL PLAN QUE ME PROMETIERON, NO ES EL QUE ME INSTALARON. ENTONCES, LUEGO TUVE QUE RECLAMAR INCONTABLES VECES, HASTA QUE, FINALMENTE, HACE 1 MES ATRÁS HICIMOS UN AJUSTE EN LA TARIFA EN BAJARME EL PRECIO.	4	6	6	5	3	No	No	Sí	No	No	NA	NA	4	NA	NA	NA	NA	A través del Call Center empresa	NA	NA	NA	NA	NA	NA	Sí	Sí	Sí	NA	NA	4	4	6	5	Sí	"EXIGÍ EL AJUSTE DE MI PLAN Y ME OFRECIERON UNA REBAJA EN LA TARIFA; TODO LO QUE TENGO CON ENTEL ES DE EMPRESA. EL AJUSTE DEL PLAN QUE SE VERÁ REFLEJADO EN LA PRÓXIMA FACTURACIÓN. A VER, ELLOS ME VENDIERON UN PLAN QUE NO CUMPLIERON, POR ENDE, PASADO EL TIEMPO; ME DÍ CUENTA Y ME AJUSTARON LA TARIFA PARA COMPENSARME Y ES LA QUE SE VERÁ REFLEJADA EN LA PRÓXIMA FACTURA. EN TODOS LOS SERVICIOS ME BAJARON EL VALOR UN 30 POR CIENTO."	3	4	Sí	MICRO	ALIMENTACIÓN	LAS CONDES	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
rJ2wHjKGNnM1	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	5	PORQUE CREO QUE EN EL CASO DE ENTEL ELLOS DEBERIAN DE ALGUNA MANERA IR EVALUANDO A LSO CLIENTES DE ACUERDO A SUS REQUERIMIENTOS Y NO QUEDARSE CON LA IDEA QUE CUANDO UNO ESTA DE ALGUNA MANERA CONTRADO CON ELLOS ESTA COARTADA, ESO ES OBVIAMENTE ES UNA MALA GESTION COMERCIAL QUE NO HAY PREOCUPACION CON LOS NUEVOS PRODUCTO ETCETERA ETCETERA.	5	6	4	5	3	No	No	No	Sí	Sí	NA	NA	NA	7	4	NA	NA	NA	A través de la web con clave	A través del Call Center empresa	5	5	NA	NA	Sí	Sí	No	NA	NA	5	6	NA	5	Sí	CON EL TEMA DE INTERNET, SE HA CAIDO O NO TIENE LA VELOCIDAD QUE UNO SUPUESTAMENTE CONTRATA POR LA CUAL UNO PAGA.	5	5	Sí	PEQUEÑA	SERVICIOS	SANTIAGO CENTRO	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
I4TFWEWdZ5ZN	MEDICION SEPTIEMBRE 2020	Sí	Entel	Entel	Entel	6	PORQUE SI NO FUERA QUE LA SEÑAL SE CAE DARIA 7 SE HA CAIDO UNAS VECES EL INTERNET, EL SERVICIO TECNICO NO ES EXPEDITO SE DEMORAN	6	6	6	5	6	Sí	Sí	Sí	No	Sí	7	7	6	NA	5	NS/NR <b>(NO LEER)</b>	NS/NR <b>(NO LEER)</b>	NS/NR <b>(NO LEER)</b>	NA	A través del Call Center empresa	5	4	NA	NA	Sí	No	No	NA	NA	5	NA	NA	6	Sí	CORTE DE FIBRA QUE NO LLEGARA LOS MEGABITES CONTRADOS	7	6	Sí	MICRO	VENTAS AL POR MAYOR	ESTACION CENTRAL	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
hdoBegBIIkA9	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	6	"PORQUE ME PRESTAN EL SERVICIO QUE CORRESPONDE EN QUE, POR EJEMPLO, LA BANDA ANCHA CUANDO TENÍA VTR; LO CONECTABA Y ANDABA A 1 POR HORA Y CON ENTEL NO HE TENIDO ESE PROBLEMA DEL INTERNET DE SUBIDA Y BAJADA."	6	6	6	6	6	Sí	Sí	Sí	No	No	6	7	6	NA	NA	Ejecutivo asignado	Ejecutivo asignado	Ejecutivo asignado	NA	NA	NA	NA	Sí	Sí	No	No	Sí	6	6	NA	NA	5	7	No	NA	7	7	Sí	PEQUEÑA	ASESORÍAS TRIBUTARIAS Y LEGALES	PROVIDENCIA	Hombre	SANTIAGO	MV	Mediana	MEDIANAS	Stock Fijo
FJdBRsS9p4XI	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel,Telefónica/ Movistar	7. Muy satisfecho	PORQUE NO HE TENIDO PROBLEMAS, NO HE TENIDO PROBLEMAS DE TRANSMISIÓN DE DATOS, NO TENIDO PROBLEMAS CORTES, TODO BUEN SERVICIO.	7. En absoluto acuerdo	7. Muy satisfecho	5	5	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	NA	No	Sí	No	7	NA	NA	7	NA	7	No	NA	7	7	Sí	GGEE	TECNOLOGÍA	SANTIAGO CENTRO	Hombre	SANTIAGO	AV	GGEE	GRANDES CLIENTES	Stock Fijo
eoT09GWKaXZM	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Telefónica/ Movistar	6	AVECES HAY SITUACIONES QUE NO TIENEN LA SOLUCION QUE COMO EMPRESA REQUIRIERAMOS POR EJEMPLO HACER ALGUNOS CAMBIOS DE RED FIJA A RED MOVIL	7. En absoluto acuerdo	7. Muy satisfecho	6	7	7	Sí	Sí	Sí	Sí	No	7	7	7	7	NA	A través del Call Center empresa,A través de la web con clave	A través del Call Center empresa,A través de la web con clave	Ejecutivo asignado,A través del Call Center empresa	A través de la web con clave	NA	NA	NA	Sí	NA	Sí	Sí	No	7	NA	7	7	NA	7	No	NA	7	7	Sí	MEDIANA	SERVICIOS FORESTALES	ECHICOLANTE	Hombre	REGIONES	AP	GGEE	EMPRESAS	Stock Fijo
ZImEJebUtfm6	MEDICION SEPTIEMBRE 2020	Sí	Entel	Entel	Entel	7. Muy satisfecho	PRESTAN BUEN SERVICIO POR LA CALIDAD DEL SERVICIO DEL INTERNET Y TODO	7. En absoluto acuerdo	7. Muy satisfecho	7	7	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	No	No	No	NA	NA	NA	NA	NA	7	No	NA	7	7	Sí	GGEE	INGENIERIA DE EXPLOTACION	LAS CONDES	Hombre	SANTIAGO	AV	GGEE	GRANDES CUENTAS	Stock Fijo
Ojn05SDpuOAS	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	PORQUE HA SIDO BUENA LA EXPERIENCIA CON ELLOS AL SERVICIO	7. En absoluto acuerdo	6	6	NS/NR	6	No	No	Sí	No	Sí	NA	NA	7	NA	7	NA	NA	A través del Call Center empresa	NA	A través del Call Center empresa	7	7	NA	NA	Sí	No	No	NA	NA	7	NA	NA	7	Sí	SE CORTA DE REPENTE LA BANDA ANCHA	7	6	Sí	MICRO	INGENIERIA Y DESARROLLO	SAN MIGUEL	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
drhKdelKgLZ8	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	Porque el servicio es de muy buena calidad, es estable nunca se cae buena velocidad.	7. En absoluto acuerdo	7. Muy satisfecho	7	7	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	No	No	NA	NA	NA	NA	NA	7	No	NA	7	7	Sí	PEQUEÑA	Sondajes	Copiapo	Hombre	REGIONES	MP	Mediana	MEDIANAS	Stock Fijo
Wi14JCDAE7d8	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	PORQUE ESTOY MUY SATISFECHO UY TANTAS COSAS SERVICIO	5	6	6	7	7	Sí	Sí	Sí	Sí	Sí	5	6	7	7	7	A través del Call Center empresa	A través del Call Center empresa	A través del Call Center empresa	A través del Call Center empresa	A través del Call Center empresa	7	7	NA	NA	Sí	Sí	No	NA	NA	6	5	NA	7	No	NA	7	7	Sí	PEQUEÑA	SERVICIOS INFORMATICOS	SANTIAGO PROVIDENCIA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
tpGM6m2I9xEI	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	ATENCION, RESPONSABLES. CUANDO NECESITA ALGO LA ATIENDEN ENSEGUIDA.	7. En absoluto acuerdo	6	6	6	7	Sí	Sí	No	No	No	7	7	NA	NA	NA	En tienda/ sucursales	A través del Call Center empresa	NA	NA	NA	NA	NA	Sí	NA	Sí	Sí	Sí	7	NA	7	7	7	7	No	NA	7	7	Sí	PEQUEÑA	SERVICIOS DE INGENIERIA	SAN PEDRO DE LA PAZ	Mujer	REGIONES	AV	GGEE	GRANDES CUENTAS	Stock Fijo
jhAKprFis8j7	MEDICION SEPTIEMBRE 2020	Sí	Entel,GTD/ Manquehue	GTD/ Manquehue	GTD/ Manquehue	6	"PORQUE TIENE MUCHA INTERMITENCIA EN EL SERVICIO; SE CAE MUCHO EL SERVICIO."	7. En absoluto acuerdo	5	5	5	6	No	No	Sí	Sí	No	NA	NA	7	7	NA	NA	NA	A través del Call Center empresa	A través del Call Center empresa	NA	NA	NA	No	Sí	Sí	No	No	NA	6	6	NA	NA	6	No	NA	5	5	Sí	MEDIANA	CONSULTORIA IT SOLUCIONES SAP	LAS CONDES	Mujer	SANTIAGO	MP	Mediana	MEDIANAS	Stock Fijo
OOs24CjNQD7W	MEDICION SEPTIEMBRE 2020	Sí	Entel,Telefónica/ Movistar	NA	Telefónica/ Movistar	7. Muy satisfecho	NO HE TENIDO INCONVENIENTE CON EL SERVICIO, AUNQUE COMO AHORA ESTAMOS TRABAJANDO DESDE CASA NO HEMOS PODIDO PROBARLO MUY BIEN EN LOS ÚLTIMOS MESES, PERO SI HA FUNCIONADO.	7. En absoluto acuerdo	6	7	6	6	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NA	6	No	NA	7	5	Sí	PEQUEÑA	INFORMÁTICA	PROVIDENCIA	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
I581lpZ5IJEd	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	5	UN POCO LENTO SOBRETODO EN ESTE PERIODO, LENTO, NO ES LA VELOCIDAD QUE UNO REQUIRIERA.	5	5	6	6	5	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	NA	NA	6	No	NA	5	4	Sí	PEQUEÑA	SERVICIO	TALCÁ	Hombre	REGIONES	Mas	Masivo	MICRO Y SOHO	Stock Fijo
ERPOd5eqZC9Y	MEDICION SEPTIEMBRE 2020	Sí	Entel,Telefónica/ Movistar	NA	Entel,Telefónica/ Movistar	6	PORQUE LE HAN PRESTADO UN BUEN SERVICIO Y NO HA TENIDO INCONVENIENTES, LA RED ES ESTABLE, ENTREGAN LA VELOCIDAD PROMETIDA	7. En absoluto acuerdo	6	6	6	5	Sí	No	Sí	No	No	5	NA	7	NA	NA	A través del Call Center empresa	NA	A través del Call Center empresa	NA	NA	NA	NA	NA	NA	Sí	No	No	NA	NA	6	NA	NA	7	No	NA	7	7	Sí	PEQUEÑA	ASESORIAS CONTABLES	SANTIAGO	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
FCbhVkg1rLRp	MEDICION SEPTIEMBRE 2020	Sí	Entel	NA	Entel	7. Muy satisfecho	PORQUE NO HE TENIDO NINGÚN PROBLEMA, LA ATENCIÓN CUANDO HEMOS TENIDO ALGUNA DISCONTINUIDAD HA SIDO DURANTE EL DÍA Y EN GENERAL LOS VALORES QUE PAGAMOS SON RAZONABLES EN AMBOS, EN EL FIJA Y EN EL INTERNET BANDA ANCHA. NOSOTROS TENEMOS ESE SERVICIO PORQUE ES BASTANTE RÁPIDO, ESTÁ TAN BIE INSTALADO EN EL EDIFICIO, ES COMO EL SERVICIO MAS MASIVO QUE HAY EN EL EDIFICIO ENTONCES POR ESO TAMBIÉN LO TOMAMOS AL PRINCIPIO PERO ESTAMOS CONFORMES CON EL SERVICIO Y CON LA ATENCIÓN TÉCNICA.	7. En absoluto acuerdo	7. Muy satisfecho	7	7	7	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	No	NA	NA	NA	6	NA	7	No	NA	7	6	Sí	PEQUEÑA	ASESORIA A LA MINERIA	PROVIDENCIA	Hombre	SANTIAGO	Mas	Masivo	MICRO Y SOHO	Stock Fijo
