encriptado	SEG_CORFO_FINAL	CL_SEG_GOL_original	Regionx	sex_enc	ISO_FINAL_A	F1	P1	P2[{_1}].Rp	P2[{_2}].Rp	P2[{_3}].Rp	P2[{_1}].Rp._98	P2[{_2}].Rp._98	P2[{_3}].Rp._98	P3	P4	P4_COD	P5[{_a}].Rp	P5[{_b}].Rp	P5[{_c}].Rp	P5[{_d}].Rp	P5[{_e}].Rp	P6_aux	P6	P7[{_1}].Rp	P7[{_2}].Rp	P7[{_3}].Rp	P8	P9	P10[{_1}].Rp	P10[{_2}].Rp	P10[{_3}].Rp	P10[{_4}].Rp	P10[{_5}].Rp	P10[{_6}].Rp	P10[{_7}].Rp	P10[{_8}].Rp	P11[{_1}].Rp	P11[{_2}].Rp	P11[{_3}].Rp	P11[{_4}].Rp	P11[{_5}].Rp	P11[{_6}].Rp	P11[{_7}].Rp	P11[{_8}].Rp	P12[{_1}].Rp	P12[{_2}].Rp	P12[{_3}].Rp	P12[{_4}].Rp	P12[{_5}].Rp	P12[{_6}].Rp	P12[{_7}].Rp	P12[{_8}].Rp	P13[{_1}].Rp	P13[{_2}].Rp	P13[{_3}].Rp	P13[{_4}].Rp	P14	P15[{_1}].Rp	P15[{_2}].Rp	P15[{_3}].Rp	P15[{_4}].Rp	P16[{_1}].Rp	P16[{_2}].Rp	P16[{_3}].Rp	P16[{_4}].Rp	P17	P18Aa[{_1}].Rp	P18Aa[{_2}].Rp	P18Aa[{_3}].Rp	P18B[{_1}].Rp	P18B[{_2}].Rp	P18B[{_3}].Rp	P18	P19	P19_COD	P20	P21	P22	P23	P24	P25	P27	P28	P29	P30	P32	Fecha Enc
Bltzht9ef5lk	GGEE	AP	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha"	Entel	NA	NA	NA	NA	NA	5	A VECES ES DIFICIL COMUNICARME CON EL EJECUTIVO Y TIENE SOLO UNA LINEA Y AHI TE PASAN AL EJECUTIVO	Mal servicio de los ejecutivos/ atención/ contacto	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	5	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	NA	NA	NA	NA	NA	CASTRO SILUE	NA	V2. POST CRISIS
k2PSFRelROLJ	GGEE	AV	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel,Telefónica/ Movistar	Entel	Entel	NA	NA	NA	7. Muy satisfecho	EL BUEN SERVICIO, DEL EJECUTIVO Y LOS CANALES POS VENTA, POR LO ESTABLE DEL SERVICIO DE INTERNET.	Buen servicio/ eficiente,Buen servicio de internet/ rápido/ estable,Buen servicio de los ejecutivos/ apoyo/ atención	7. En absoluto acuerdo	NA	NA	NA	NA	MPLS	6	6	7	7	7	5	Sí	Sí	NA	Sí	Sí	Sí	Sí	Sí	7	7	NA	7	6	5	6	7	Ejecutivo asignado,A través del Call center, empresa línea 600, línea 800,A través de la web con clave Mi Entel Empresas,En tienda/ sucursales	Ejecutivo asignado	NA	Ejecutivo asignado	Ejecutivo asignado	Ejecutivo asignado	A través del Call center, empresa línea 600, línea 800	Ejecutivo asignado	7	7	6	7	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	Sí	NA	NA	7	5	NA	NA	Cumple las necesidades que usted tiene como administrador	NA	NA	NA	NA	NA	NA	Sí	SE CORTÓ EL MPLS, FALLAS EN EL MPLS.	Otros	Sí	Si fue solucionado	7	7. Muy dispuesto	Está Igual	8	180	FERRETERIA	6 AÑOS	CONSTITUCIÓN	JEFE DE PLATAFORMA	V1. PRE CRISIS
U7Gu3GBoCRkx	PYME	MV	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	PORQUE CREO QUE LE CORRESPONDE HAY UNAS COSAS QUE NO ESTÁN MUY BIEN, CUANDO LO LLAMAN PARA ALGUNA COSA NO NOS ATIENDEN BIEN	Mala atención,Mal servicio de los ejecutivos/ atención/ contacto	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	5	5	5	5	6	Sí	Sí	NA	Sí	No	No	No	No	5	5	NA	5	NA	NA	NA	NA	En tienda/ sucursales	A través del Call center, empresa línea 600, línea 800	NA	Ejecutivo asignado	NA	NA	NA	NA	6	5	NA	5	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios	Sí	NA	NA	NA	6	NA	NA	NA	Cumple las necesidades que usted tiene como administrador	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	5	Está Igual	5	10	AGENCIA Y SERVICIO	6 AÑOS	SANTIAGO REGION METROPOLITANA	DUEÑO	V1. PRE CRISIS
Cygza37LNL4R	PYME	Mas	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	5	PORQUE EL INTERNET NORMALMENTE SE ESTÁ CAYENDO Y TIENE PROBLEMAS, INTERNET SOBRE TODO LA VELOCIDAD DISMINUYE MUCHO Y EL INTERNET SE CAE DEFINITIVAMENTE.	Mal servicio internet/ se cae/ lento/ falla	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	5	6	6	6	6	6	No	No	NA	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	6	Está Igual	8	20	CONSTRUCCIÓN	30 AÑOS	LA SERENA	DUEÑO	V1. PRE CRISIS
cSdWcEnZBeRx	PYME	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel	Entel	NA	NA	CTC	7. Muy satisfecho	"PORQUE ME HAN ATENDIDO MUY BIEN Y CUANDO HE TENIDO ALGUNA NECESIDAD ME HAN CUMPLIDO AL TIRO; TUVE QUE LLAMAR A UN CONSULTOR PORQUE NO ME ESTABA FUNCIONANDO UN SISTEMA Y VINO EN FORMA INMEDIATA Y LO DEJO LISTO."	Buena atención/ amables,Soluciones rápidas	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	6	7	6	7	7	No	No	NA	No	Sí	No	Sí	No	NA	NA	NA	NA	7	NA	7	NA	NA	NA	NA	NA	A través de la web con clave Mi Entel Empresas	NA	NS/NR <b>(NO LEER)</b>	NA	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	Está Igual	10. Muy probable	6	INVERSIONES	20 AÑOS	PROVIDENCIA, SANTIAGO	GERENTE GENERAL	V1. PRE CRISIS
xZoFwJCV7zdL	GGEE	AV	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7. Muy satisfecho	PORQUE NO TENGO PROBLEMAS EN CONECTIVIDAD DE SERVICIO, TANTO EN TELEFONÍA COMO EN INTERNET NO TENGO PROBLEMAS DE FALLAS.	Buen servicio de internet/ rápido/ estable,Buen servicio de telefonía	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	7	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	Sí	NA	NA	7	No	NA	NA	NA	NA	NA	7. Muy dispuesto	NA	NA	NA	NA	NA	LAMPA	NA	V2. POST CRISIS
ncU3zoPKYffM	GGEE	AV	SANTIAGO	Hombre	No	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel	Entel	NA	NA	NA	6	PORQUE PARA TENER UN CHEQUE TOCA SER ESPECTACULAR, PORQUE NO QUIERO COLOCARLE EL SIETE, NO MÁS, PÓNGALE EL SEIS, ESA ES MI RESPUESTA.	Ns/ nc	6	NA	NA	NA	NA	MPLS	7. Muy satisfecho	NS/NR	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	Sí	Sí	6	5	6	Sí	SE CORTO LA FIBRA ÓPTICA	Con la fibra óptica	Sí	Si fue solucionado	NA	6	NA	NA	NA	NA	NA	PROVIDENCIA SANTIAGO	NA	V2. POST CRISIS
owvF9dINFy0X	PYME	MP	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	6	PORQUE DE REPENTE SE CORTA EL SISTEMA DE INTERNET	Mal servicio internet/ se cae/ lento/ falla	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	5	5	5	NS/NR	4	3	No	Sí	NA	No	No	Sí	Sí	Sí	NA	5	NA	NA	NA	4	4	3	NA	A través del Call center, empresa línea 600, línea 800	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	A través del Call center, empresa línea 600, línea 800	NA	4	NA	NA	No tiene Ejecutivo <b>(NO LEER)</b>	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	SE CAE EL SISTEMA DE TELEFONO E INTERNET, NO ME LLEGA LAS FACTURAS, NO SE QUIEN ES MI EJECUTIVA O EJECUTIVO, EN LA SUCURSALES A LA EMPRESA LA ATIENDEN MAL, A VECES ME ATIENDEN OTRAS VECES HASTA LAS DOS DE LA TARDE	Problemas con internet/ caídas/ internet lento,Problemas con el servicio telefónico,No tiene ejecutivo,Mala atención	No	NA	NA	4	Ha empeorado	3	12	SERVICIOS DE INGENIERIA Y MONTAJE ELECTRICOS Y CLIMATIZADOS	20 AÑOS	SANTIAGO	GERENTE GENERAL	V1. PRE CRISIS
JGvaZ3EOcYoS	GGEE	AV	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Claro/ Telmex,Entel,Telefónica/ Movistar	Telefónica/ Movistar	Claro/ Telmex,Entel,Telefónica/ Movistar	NA	NA	NA	7. Muy satisfecho	PORQUE EL SERVICIO HA SIDO MUY BUENO Y EXCELENTE, EN ATENCIÓN, EN LA TELEFONÍA MÓVIL, Y EL INTERNET, EN EL SOPORTE CUANDO HEMOS TENIDO PROBLEMAS EN EL SERVICIO, NOS HAN ATENDIDO, LAS 24 HORAS	Buen servicio/ eficiente,Buena atención/ amables,Buen servicio de internet/ rápido/ estable,Soluciones rápidas	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	7	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	No	Sí	7	NA	7	No	NA	NA	NA	NA	NA	7. Muy dispuesto	NA	NA	NA	NA	NA	LAS CONDES	NA	V2. POST CRISIS
qzx2kO0QVIlK	PYME	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	1. Muy insatisfecho	PORQUE NO MANDAN LAS CUENTAS NUNCA Y DESPUES TE LAS COBRAN TODAS JUNTAS O TE CORTAN EL SERVICIO INTERNET Y EL SERVICIO ES MALO PORQUE TAMBIEN SE CORTA A CADA RATO HAN OFRECIDO VARIAS SOLUCIONES Y DESPUES NO LAS HAN DADO NO CONTESTAN PESIMO.	No llegan las facturas,Mal servicio,Mal servicio internet/ se cae/ lento/ falla	3	NA	NA	NA	NA	INTERNET BANDA ANCHA	1. Muy insatisfecho	NS/NR	NS/NR	NS/NR	2	1	No	No	NA	No	No	Sí	Sí	No	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	A través de la web con clave Mi Entel Empresas	A través de la web con clave Mi Entel Empresas	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	EN INTERNET, MALA LA SEÑAL Y SE CAE A CADA RATO	Mala señal/ problemas de señal,Problemas con internet/ caídas/ internet lento	Sí	No fue solucionado	NA	4	Está Igual	1	9	SERVICIO ODONTOLOGICO	4 AÑOS	SANTIAGO PROVIDENCIA	SOCIO	V1. PRE CRISIS
zW1nxosTvMDw	MICRO	Mas	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	6	ESTOY SATISFECHO CON EL SERVICIO PERO SIEMPRE HAY COSAS QUE MEJORAR, NO, SIEMPRE ESTOY SATISFECHO CON EL SERVICIO PERO SIEMPRE HAY UNAS COSAS QUE HAY MEJORAR EN TEMAS DE LA FACTURACIÓN ELECTRÓNICA SI ME HAN DESPACHADO, ENTONCES CUANDO UNO QUIERE HACER ALGÚN TIPO DE RECLAMO, NO LE RESULTA MUCHO PORQUE LA CUENTA VA DESPACHADA DOS MESES DESPACHADA HACIA ACÁ.	Buen servicio/ eficiente	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	7	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	Sí	NA	4	7	Sí	SOLO CON EL TEMA DE FACTURACIÓN, ME EMITIERON UNA NOTA DE CREDITO, PERO NO APARECE ACREDITADA EN EL SISTEMA, ENTONCES ME ESTÁN COBRANDO UNA FACTURA DOS VECES	Cobros indebidos en facturación	Sí	Está en trámite	NA	6	NA	NA	NA	NA	NA	LOS CONDES	NA	V2. POST CRISIS
VFQyX0TEL0bd	GGEE	AP	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Telefónica/ Movistar	NA	NA	NA	6	BUENO TENEMOS BUEN SERVICIO CON ENTEL, NO TENEMOS NADA QUE DECIR, TENEMOS ALTA CONECTIVIDAD, BUENA RELACIÓN CON EL EJECUTIVO, LA CONECTIVIDAD ES SIEMPRE PERMANENTE, POR LO MENOS EL SERVICIO SE AJUSTA A LO QUE NOSOTROS TENEMOS CONTRATADO	Buen servicio/ eficiente,No ha tenido problemas/ conforme/ todo bien,Buena señal,Buen servicio de los ejecutivos/ apoyo/ atención	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	7	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	Sí	No	NA	7	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	NA	NA	NA	NA	NA	PULICO	NA	V2. POST CRISIS
FHA5eFr5RkUo	PYME	Mas	NS/NR	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	6	LA VERDAD ES QUE HE TENIDO BUEN SERVICIO SIEMPRE SE PUEDE MEJORAR UN POCO MAS LA VELOCIDAD MAS QUE NADA ES UN POCO LENTA LA VELOCIDAD A VECES SE PRESENTAN ALGUNAS INCONSISTENCIAS  O NO FUNCIONAN ALGUNAS COSAS PERO FINALMENTE SE SOLUCIONAN	Buen servicio/ eficiente	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	6	6	6	7	7	No	No	NA	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	Está Igual	8	4	VENTA DE MUEBLES	4 AÑOS	CONSEPCION	ADMINISTRADOR	V1. PRE CRISIS
qRoN1UEBHYvF	GGEE	MV	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Telefónica/ Movistar	NA	NA	NA	6	"PORQUE SIEMPRE SE PUEDE MEJORAR; HAY VECES QUE EL INTERNET SE CAE, LA VELOCIDAD NO ES LA CONTRATADA, PERO EN LINEAS GENERALES FUNCIONA BIEN."	No es perfecto/ podría ser mejor	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	NS/NR	NS/NR	NS/NR	6	5	No	No	NA	No	No	Sí	No	No	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	A través de la web con clave Mi Entel Empresas	NA	NA	NA	NA	6	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios	Sí	NA	NA	NA	6	NA	NA	NA	Cumple las necesidades que usted tiene como administrador	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	6	Está Igual	8	40	AGROINDUSTRIA	10 AÑOS	SANTIAGO	REPRESENTANTE LEGAL	V1. PRE CRISIS
R1v4csaeQ6wQ	GGEE	AV	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel	Telefónica/ Movistar	NA	NA	NA	5	PROBLEMAS CON POS VENTA ESTAMOS CREANDO NUEVAS EMPRESAS	Mal servicio post venta	5	NA	NA	NA	NA	MPLS	6	4	5	4	6	6	No	No	NA	No	No	No	Sí	No	NA	NA	NA	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	Ejecutivo asignado	NA	6	NA	NA	NA	Ejecutivo Comercial que lo asesora en términos comerciales para nuevos negocios,Ejecutivo de Atención que atiende sus requerimientos Post-Venta	Sí	Sí	NA	NA	6	6	NA	NA	Cumple las necesidades que usted tiene como administrador	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	5	Está Igual	6	270	AGENCIA ADUANA	4 AÑOS	SANTIAGO BUDAGUEL	ASISTENTE DE SOPORTE	V1. PRE CRISIS
5Qm2ofQOM1qm	GGEE	AV	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel	Entel	NA	NA	NA	7. Muy satisfecho	EL SERVICIO DE POST VENTA, LA COBERTURA, LAS COORDINACIONES SON MUY BUENAS DE PARTE DE ENTEL, ATIENDEN A MIS REQUERIMIENTOS, SON PROACTIVOS, ME HACEN LOS FORMULARIOS ELLOS, BÁSICAMENTE NO TENGO QUE HACER, NO TENGO QUE GESTIONAR YO CON ELLOS, ELLOS GESTIONAN POR MI.	Buena cobertura,Buen servicio post venta,Solucionan problemas	7. En absoluto acuerdo	NA	NA	NA	NA	MPLS	7. Muy satisfecho	5	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	Sí	No	7	7	NA	No	NA	NA	NA	NA	NA	7. Muy dispuesto	NA	NA	NA	NA	NA	LOS CONDES	NA	V2. POST CRISIS
WGwdgXKr8g44	PYME	AP	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel	Entel	Entel	NA	NA	NA	5	POR EL PRECIO EN EL VALOR DEL ENLACE EN EL FONDO QUE EN VARÍAS OPORTUNIDADES SE HAN COMUNICADO Y YO HE HECHO LOS INTENTOS TAMBIÉN DE BAJAR ESO DADO LA COMPETENCIA Y LA VERDAD ES QUE LES DA LO MISMO, BÁSICAMENTE ESO PORQUE SOMOS CLIENTES DE HACE MUCHOS AÑOS ENTONCES ES RARO QUE TENGA UN COMPORTAMIENTO ASÍ CON UN CLIENTE, ES A EMPRESA PROVEEDOR DIGAMOS.	Demora en soluciones	7. En absoluto acuerdo	NA	NA	NA	NA	MPLS	6	4	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	No	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	SANTIAGO, COMUNA EL ESPEJO	NA	V2. POST CRISIS
qasLZccEssM9	GGEE	AP	SANTIAGO	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel,Telefónica/ Movistar	NA	Entel,Telefónica/ Movistar	NA	NA	NA	6	PORQUE HE TENIDO ALGUNOS INCONVENIENTES CON LOS TEMAS DE FACTURACIÓN, NO ME ESTÁN FACTURANDO Y ME CORTAN EL SERVICIO NO ES QUE YO NO LO PAGO SI NO QUE LA FACTURA NO ME ESTA LLEGANDO	Problemas de facturación	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	7. Muy satisfecho	5	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	No	NA	NA	NA	Sí	YA TE DIJE CUAL ES EL PROBLEMA QUE TUVE NO HAY NECESIDAD DE REPETIRLO	No sabe, no contesta	Sí	No fue solucionado	NA	7. Muy dispuesto	NA	NA	NA	NA	NA	RANCAGUA SAN FERNANDO	NA	V2. POST CRISIS
Nwr0GDXtOu5u	PYME	Mas	REGIONES	Mujer	No	Sí	"a.	Internet Banda Ancha ,b.	Red privada de datos/Transmisión de datos (MPLS),c.	Telefonía Fija"	Entel,Otra ¿Cuál?	Otra ¿Cuál?	Entel	MUNDO PACIFICO	MUNDO PACIFICO	NA	5	PORQUE USTED ME ESTA PIDIENDO QUE LO EVALUÉ PUES YO LO EVALUÓ CON 5, NO ES TAN BUENO NI TAN MALO  ES MAS O MENOS	No es perfecto/ podría ser mejor	5	NA	NA	NA	NA	INTERNET BANDA ANCHA	5	5	5	7	6	7	No	No	NA	No	No	No	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	DE CONECTIVIDAD NO TENIA COBERTURA NO TENIA INTERNET POR EJEMPLO.	Conectividad/ conexión,Problemas con internet/ caídas/ internet lento	No	NA	NA	5	Está Igual	5	25	EDUCACIÓN	10 AÑOS	PLAZA	DIRECTORA	V1. PRE CRISIS
JxocQ9gXe2Yn	PYME	Mas	REGIONES	Hombre	No	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Claro/ Telmex	NA	Entel	NA	NA	NA	5	PORQUE HE TENIDO ALGUNOS PROBLEMAS PERO NORMALES NO IMPORTANTES PERO HE TENIDO ALGUNOS PROBLEMITAS EN CALIDAD DEL SERVICIO HE TENIDO PROBLEMAS CON INTERNET COSAS REGULARES QUE PASAN	Mal servicio internet/ se cae/ lento/ falla	6	NA	NA	NA	NA	INTERNET BANDA ANCHA	5	5	5	5	4	5	No	No	NA	No	No	Sí	No	Sí	NA	NA	NA	NA	NA	5	NA	5	NA	NA	NA	NA	NA	A través del Call center, empresa línea 600, línea 800	NA	A través del Call center, empresa línea 600, línea 800	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	NA	NA	NA	NA	NA	5	Está Igual	4	13	PASTELERIA	3 A 4 AÑOS	VIÑA DEL MAR	GERENTE Y ADMINISTRACION	V1. PRE CRISIS
1kFGsXLye0xb	MICRO	Mas	REGIONES	Hombre	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7. Muy satisfecho	PORQUE FUNCIONA BIEN, EN LOS SERVICIOS FIJOS DE LA EMPRESA, INTERNET, TELEFONÍA, EN LO QUE YO LO OCUPO.	Funciona bien,Buen servicio de internet/ rápido/ estable,Buen servicio de telefonía	7. En absoluto acuerdo	NA	NA	NA	NA	INTERNET BANDA ANCHA	6	6	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	No	No	NA	NA	NA	Sí	EL INTERNET ESTÁ BAJO, NO ES LO QUE NOSOTROS TENEMOS CONTRATADO, NO FUNCIONA BIEN, SE CORTA DE REPENTE, NO HAY CONECTIVIDAD FIJOS.	Problemas con internet/ caídas/ internet lento,Conectividad/ conexión	No	NA	NA	6	NA	NA	NA	NA	NA	VIÑA DEL MAR, 5TA REGIÓN.	NA	V2. POST CRISIS
9HCzMTnRluY8	GGEE	AV	SANTIAGO	Mujer	Sí	Sí	"a.	Internet Banda Ancha ,c.	Telefonía Fija"	Entel	NA	Entel	NA	NA	NA	7. Muy satisfecho	"LOS SERVICIOS SON LO QUE ELLOS OFRECEN; INTERNET, TELEFONÍA FIJA; POR LA RÁPIDA COMUNICACIÓN QUE TENGO CON EL EJECUTIVO FIJO Y MÓVIL"	Buen servicio de los ejecutivos/ apoyo/ atención,Buen servicio/ eficiente,Buen servicio de internet/ rápido/ estable,Buen servicio de telefonía	5	NA	NA	NA	NA	INTERNET BANDA ANCHA	5	5	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Sí	Sí	Sí	7	7	7	Sí	"FACTURACIÓN Y CONECTIVIDAD; ERROR EN LOS COBROS Y CAÍDAS DEL ENLACE"	Conectividad/ conexión,Cobros indebidos en facturación	Sí	Si fue solucionado	NA	7. Muy dispuesto	NA	NA	NA	NA	NA	ANTOFAGASTA	NA	V2. POST CRISIS
